case_id,matched_R0,period,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_Sharpe,delta_net_pnl,incremental
R2_RP100_S15_F0,R0_RP100_S15_F0,DISCOVERY,0.00183492497494811,0.0002335241059521001,0.00010936121209190013,0.005660792991809771,48899.02774126548,False
R2_RP100_S15_F1,R0_RP100_S15_F1,DISCOVERY,0.0010316548310738,0.00023468669461899905,0.0001165195590401005,-0.007940837155449465,27529.462384342216,False
R2_RP100_S20_F0,R0_RP100_S20_F0,DISCOVERY,0.00183492497494811,0.0002335241059521001,0.00010936121209190013,0.005660792991809771,48899.02774126548,False
R2_RP100_S20_F1,R0_RP100_S20_F1,DISCOVERY,0.0010316548310738,0.00023468669461899905,0.0001165195590401005,-0.007940837155449465,27529.462384342216,False
R2_RP125_S10_F0,R0_RP125_S10_F0,DISCOVERY,0.0032208913414993046,0.0006002650441091981,0.0001035031773808006,0.020624552847505306,91085.56304213125,False
R2_RP125_S10_F1,R0_RP125_S10_F1,DISCOVERY,0.002012219521425107,0.0006004866338421011,0.00010072437047519908,0.007292411440233515,57015.334732268006,False
R2_RP125_S15_F0,R0_RP125_S15_F0,DISCOVERY,0.0032208913414993046,0.0006002650441091981,0.0001035031773808006,0.020624552847505306,91085.56304213125,False
R2_RP125_S15_F1,R0_RP125_S15_F1,DISCOVERY,0.002012219521425107,0.0006004866338421011,0.00010072437047519908,0.007292411440233515,57015.334732268006,False
R2_RP125_S20_F0,R0_RP125_S20_F0,DISCOVERY,0.0032208913414993046,0.0006002650441091981,0.0001035031773808006,0.020624552847505306,91085.56304213125,False
R2_RP125_S20_F1,R0_RP125_S20_F1,DISCOVERY,0.002012219521425107,0.0006004866338421011,0.00010072437047519908,0.007292411440233515,57015.334732268006,False
R2_RP150_S10_F0,R0_RP150_S10_F0,DISCOVERY,0.002711222541906977,0.0006893409829587041,0.0001308532641330993,0.005346263947641816,80958.46201645583,False
R2_RP150_S10_F1,R0_RP150_S10_F1,DISCOVERY,0.0020644860136654064,0.0006988474547763024,0.0001427208489126995,-0.003143756296913214,61724.85931946896,False
R2_RP150_S15_F0,R0_RP150_S15_F0,DISCOVERY,0.002711222541906977,0.0006893409829587041,0.0001308532641330993,0.005346263947641816,80958.46201645583,False
R2_RP150_S15_F1,R0_RP150_S15_F1,DISCOVERY,0.0020644860136654064,0.0006988474547763024,0.0001427208489126995,-0.003143756296913214,61724.85931946896,False
R2_RP150_S20_F0,R0_RP150_S20_F0,DISCOVERY,0.002711222541906977,0.0006893409829587041,0.0001308532641330993,0.005346263947641816,80958.46201645583,False
R2_RP150_S20_F1,R0_RP150_S20_F1,DISCOVERY,0.0020644860136654064,0.0006988474547763024,0.0001427208489126995,-0.003143756296913214,61724.85931946896,False
R1_RP100_S10_F0,R0_RP100_S10_F0,VALIDATION,0.006921612748652606,-0.0002418501189292016,-6.813829942129996e-05,0.15460302939950243,117379.57271408662,True
R1_RP100_S10_F1,R0_RP100_S10_F1,VALIDATION,0.006707534178079996,-0.0005568151513714002,-8.302688543310004e-05,0.15708312405923364,110818.31255737517,True
R1_RP75_S10_F0,R0_RP75_S10_F0,VALIDATION,0.005168726275464899,-0.00017600643369050303,-4.857404613999982e-05,0.1550275649157722,77202.19618861191,True
R1_RP75_S10_F1,R0_RP75_S10_F1,VALIDATION,0.0050076445533642,-0.0004203242173692022,-6.006962031100075e-05,0.15759379280655583,71450.12864491809,True
