case_id,matched_R0,period,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_Sharpe,delta_net_pnl,incremental
R1_RP75_S10_F0,R0_RP75_S10_F0,DISCOVERY,0.0017432102697661073,0.0001960205643641022,8.288395780070047e-05,0.0077073028590315396,43266.10510924086,False
R1_RP75_S10_F1,R0_RP75_S10_F1,DISCOVERY,0.0003800730393321988,0.00019603411823250136,7.47369771744999e-05,-0.01343261163612297,9431.86835948471,False
R1_RP75_S15_F0,R0_RP75_S15_F0,DISCOVERY,0.0017432102697661073,0.0001960205643641022,8.288395780070047e-05,0.0077073028590315396,43266.10510924086,False
R1_RP75_S15_F1,R0_RP75_S15_F1,DISCOVERY,0.0003800730393321988,0.00019603411823250136,7.47369771744999e-05,-0.01343261163612297,9431.86835948471,False
R1_RP75_S20_F0,R0_RP75_S20_F0,DISCOVERY,0.0017432102697661073,0.0001960205643641022,8.288395780070047e-05,0.0077073028590315396,43266.10510924086,False
R1_RP75_S20_F1,R0_RP75_S20_F1,DISCOVERY,0.0003800730393321988,0.00019603411823250136,7.47369771744999e-05,-0.01343261163612297,9431.86835948471,False
R1_RP100_S10_F0,R0_RP100_S10_F0,DISCOVERY,0.002313423931954009,0.00016940709120370073,0.00010392251275060001,0.010121025829444186,61690.56463278923,False
R1_RP100_S10_F1,R0_RP100_S10_F1,DISCOVERY,0.0014009256412788051,0.00023439561539479598,8.987343049830007e-05,0.005103492371550278,37402.0646045655,False
R1_RP100_S15_F0,R0_RP100_S15_F0,DISCOVERY,0.002313423931954009,0.00016940709120370073,0.00010392251275060001,0.010121025829444186,61690.56463278923,False
R1_RP100_S15_F1,R0_RP100_S15_F1,DISCOVERY,0.0014009256412788051,0.00023439561539479598,8.987343049830007e-05,0.005103492371550278,37402.0646045655,False
R1_RP100_S20_F0,R0_RP100_S20_F0,DISCOVERY,0.002313423931954009,0.00016940709120370073,0.00010392251275060001,0.010121025829444186,61690.56463278923,False
R1_RP100_S20_F1,R0_RP100_S20_F1,DISCOVERY,0.0014009256412788051,0.00023439561539479598,8.987343049830007e-05,0.005103492371550278,37402.0646045655,False
R1_RP125_S10_F0,R0_RP125_S10_F0,DISCOVERY,0.003617686403962511,0.0006017311636137002,0.00011011463316130086,0.02323413708556954,102360.74317293894,False
R1_RP125_S10_F1,R0_RP125_S10_F1,DISCOVERY,0.0024083468022227106,0.0006009543261365977,0.00010740593659910001,0.009885744503430605,68275.32412434462,False
R1_RP125_S15_F0,R0_RP125_S15_F0,DISCOVERY,0.003617686403962511,0.0006017311636137002,0.00011011463316130086,0.02323413708556954,102360.74317293894,False
R1_RP125_S15_F1,R0_RP125_S15_F1,DISCOVERY,0.0024083468022227106,0.0006009543261365977,0.00010740593659910001,0.009885744503430605,68275.32412434462,False
R1_RP125_S20_F0,R0_RP125_S20_F0,DISCOVERY,0.003617686403962511,0.0006017311636137002,0.00011011463316130086,0.02323413708556954,102360.74317293894,False
R1_RP125_S20_F1,R0_RP125_S20_F1,DISCOVERY,0.0024083468022227106,0.0006009543261365977,0.00010740593659910001,0.009885744503430605,68275.32412434462,False
R1_RP150_S10_F0,R0_RP150_S10_F0,DISCOVERY,0.0031729161207880996,0.0006846863695824032,0.00013852264082230004,0.00807856854437139,94801.96544475667,False
R1_RP150_S10_F1,R0_RP150_S10_F1,DISCOVERY,0.0025272705405731954,0.0006931279934885015,0.00015033391678339995,-0.00039590397761113394,75607.00321887806,False
R1_RP150_S15_F0,R0_RP150_S15_F0,DISCOVERY,0.0031729161207880996,0.0006846863695824032,0.00013852264082230004,0.00807856854437139,94801.96544475667,False
R1_RP150_S15_F1,R0_RP150_S15_F1,DISCOVERY,0.0025272705405731954,0.0006931279934885015,0.00015033391678339995,-0.00039590397761113394,75607.00321887806,False
R1_RP150_S20_F0,R0_RP150_S20_F0,DISCOVERY,0.0031729161207880996,0.0006846863695824032,0.00013852264082230004,0.00807856854437139,94801.96544475667,False
R1_RP150_S20_F1,R0_RP150_S20_F1,DISCOVERY,0.0025272705405731954,0.0006931279934885015,0.00015033391678339995,-0.00039590397761113394,75607.00321887806,False
R2_RP75_S10_F0,R0_RP75_S10_F0,DISCOVERY,0.0016033487466291102,0.00019601937331630015,8.03089358756004e-05,0.006216063054484078,39787.04934717808,False
R2_RP75_S10_F1,R0_RP75_S10_F1,DISCOVERY,0.00024070680700429004,0.00019603292718479992,7.209217070869994e-05,-0.01489895405845365,5972.210118697956,False
R2_RP75_S15_F0,R0_RP75_S15_F0,DISCOVERY,0.0016033487466291102,0.00019601937331630015,8.03089358756004e-05,0.006216063054484078,39787.04934717808,False
R2_RP75_S15_F1,R0_RP75_S15_F1,DISCOVERY,0.00024070680700429004,0.00019603292718479992,7.209217070869994e-05,-0.01489895405845365,5972.210118697956,False
R2_RP75_S20_F0,R0_RP75_S20_F0,DISCOVERY,0.0016033487466291102,0.00019601937331630015,8.03089358756004e-05,0.006216063054484078,39787.04934717808,False
R2_RP75_S20_F1,R0_RP75_S20_F1,DISCOVERY,0.00024070680700429004,0.00019603292718479992,7.209217070869994e-05,-0.01489895405845365,5972.210118697956,False
R2_RP100_S10_F0,R0_RP100_S10_F0,DISCOVERY,0.00183492497494811,0.0002335241059521001,0.00010936121209190013,0.005660792991809771,48899.02774126548,False
R2_RP100_S10_F1,R0_RP100_S10_F1,DISCOVERY,0.0010316548310738,0.00023468669461899905,0.0001165195590401005,-0.007940837155449465,27529.462384342216,False
