case_id,ranking,risk_profile,security_cap,family_cap,architecture,period,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,grade,catastrophe
R0_RP75_S10_F1,R0,0.75,0.1,True,P1_UNIFIED_RISK_ONLY,2024_POST_HOC,2024-01-01,2024-12-31,0.10981400572244682,0.10957707563156749,0.03901483806009165,0.006423376332619093,1.7556265796270725,0.09653149371080513,0.3018065989087231,0.9034685062891948,64513.70846912294,4.468041179672075,-0.01784875098430272,0.018993651965420483,0.25414501804885037,0.32157392938828433,0.13203084772645318,0.13462707101828927,807469.1209579343,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R0_RP75_S10_F1,R0,0.75,0.1,True,P1_UNIFIED_RISK_ONLY,2025_POST_HOC,2025-01-01,2025-12-31,0.068191190641681,0.06823945549412924,0.01146395609029971,0.004582932024366959,2.0607350230027834,0.13432983729360098,0.32729958335301496,0.865670162706399,69878.30730713933,4.812344046677708,-0.003729289242224487,0.01693255106726645,0.2941741077347896,0.18419161121415076,0.09636812765052453,0.0996880019732862,556476.2889528871,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R0_RP75_S10_F1,R0,0.75,0.1,True,P1_UNIFIED_RISK_ONLY,2026_YTD_POST_HOC,2026-01-01,2026-09-04,0.05037232477087472,0.0753782616587837,0.020259304068845685,0.00378778535393857,2.3288156928863066,0.10707150791453067,0.27085816235337723,0.8929284920854692,48062.84138770448,4.395028629795519,-0.010058461628923654,0.015634782110155333,0.25183166509473015,0.2264288055237667,0.13504699955727806,0.13549509995197,439095.89544451237,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R0_RP75_S10_F1,R0,0.75,0.1,True,P1_UNIFIED_RISK_ONLY,FULL,2018-01-01,2026-09-04,0.8667705134061823,0.07459589223374352,0.03901483806009165,0.00509251481842867,1.9231021856182566,0.10085286464917302,0.3094450852350535,0.899147135350827,433047.7592466093,3.9289191547642814,-0.01784875098430272,0.018993651965420483,0.7270242556313281,0.06051668809962589,0.025887578236399405,0.02675674200134705,4251320.524265096,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP100_S10_F1,R1,1.0,0.1,True,P3_UNIFIED_RANKING_FAMILY_RISK,2024_POST_HOC,2024-01-01,2024-12-31,0.17335835355361673,0.17297402136966866,0.051523979342355974,0.008579660603730464,1.953929005065192,0.13212466566478057,0.39824911831307885,0.8678753343352195,112824.08705177001,6.478057293052601,-0.02296525936886018,0.024791025278366224,0.42047288371283364,0.3255042916992249,0.11953534497745368,0.1195353449774537,1470303.1892514937,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP100_S10_F1,R1,1.0,0.1,True,P3_UNIFIED_RANKING_FAMILY_RISK,2025_POST_HOC,2025-01-01,2025-12-31,0.09027233418041791,0.09033687686215619,0.015192759481980844,0.006090435868023936,2.0390150682899084,0.1781414860688216,0.43506608183008283,0.8218585139311784,114672.90265301784,6.361860745118092,-0.004962642418598673,0.022479534972472064,0.3916519972597036,0.18554527962816467,0.09761262719813878,0.10088898935792823,898353.9203272928,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP100_S10_F1,R1,1.0,0.1,True,P3_UNIFIED_RANKING_FAMILY_RISK,2026_YTD_POST_HOC,2026-01-01,2026-09-04,0.06622219262141904,0.09946060268577073,0.02690856772736372,0.005067386630586788,2.3035066616133433,0.14146200635628292,0.35464247364290574,0.8585379936437171,80383.6228175339,5.807787977303956,-0.013402957516552405,0.020672277438085314,0.335616203628644,0.2249664819957628,0.13593472481375682,0.13641333639699907,718507.5620170012,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP100_S10_F1,R1,1.0,0.1,True,P3_UNIFIED_RANKING_FAMILY_RISK,FULL,2018-01-01,2026-09-04,1.3586080917444234,0.10395470406188556,0.051523979342355974,0.006785552226011813,1.9740179389540091,0.1346335224694728,0.4189916745565983,0.8653664775305272,672888.4931133942,5.3299341393259825,-0.02296525936886018,0.024791025278366224,0.8770359245935344,0.061904995030401214,0.026812711508533513,0.026946685722631095,6663676.688963501,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP75_S10_F0,R1,0.75,0.1,False,P2_UNIFIED_RANKING,2024_POST_HOC,2024-01-01,2024-12-31,0.12915316190906312,0.12887213970120603,0.039515678090230266,0.0065924160979021675,1.9393031395581564,0.10047675123594531,0.30877081947596424,0.8995232487640547,73859.05452938101,4.938339328529002,-0.01758368237467489,0.018967289425765248,0.3177782584015463,0.3246749274663158,0.1186280932280937,0.1186280932280937,963114.0384514155,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
R1_RP75_S10_F0,R1,0.75,0.1,False,P2_UNIFIED_RANKING,2025_POST_HOC,2025-01-01,2025-12-31,0.06761951596032789,0.0676673635115661,0.011461649342791591,0.004587602358396913,2.0458349739375006,0.1342737361041065,0.3273068263033673,0.8657262638958935,72073.27447738033,4.8107630701642945,-0.003726629401744286,0.01693190351942623,0.2941720972719699,0.18452972483578498,0.09658388609625591,0.09990260355949651,569373.936193129,POST_HOC_ROLLFORWARD_DIAGNOSTIC,False
