case,ETF_requests,max_funded_window_participation,original_admission_sha256,corrected_admission_sha256,physical_fills_and_NAV_unchanged,status
cost/R0_RP75_S10_F1_C150,272,0.5,bbeb59392e4fe8c8d9bf7e06dcbb5f95535d9e0386f3ecf309d7a9a87db770ba,879eee3c17a0a90ceb048c2d92c7276334c37ce4a413572a7ba9ff642eaadae8,PASS,PASS
cost/R0_RP75_S10_F1_C200,272,0.5,d59918f4d3a9ec6755717b92f98668f53ad53922772d4b9f16ecbf4187d0be3d,c22f20cbece7d457388e89918f5dc757e250a5b1e59ec3e56bc3c6e913869942,PASS,PASS
cost/R1_RP100_S10_F1_C150,272,0.5,b9e63b7544ce0bd52b8c02dd3fc3ef68ba5c965b1a10decbd11f2852cb9a480e,85ccb5bc95bbffec0d29adbf4190ab66b6db9dd8a0c6354adcdee3196758911d,PASS,PASS
cost/R1_RP100_S10_F1_C200,272,0.5,2b2802f28ee34d258354d4c2274e122b84c25ceaaddca468f155373b8468371c,48b04ea63e8b9fd05b814d03c0ea3a52872ff0ceef42b7c775340f19d1abacc0,PASS,PASS
cost/R1_RP75_S10_F0_C150,272,0.5,2b46243eeea585ff0596cd4fbce3fb55dd8ae9b7893f569e6d132a3072a87159,32cf40714ebf555a73f16eb45bc671ad55b29c8539d4c848e61d61be376ac39d,PASS,PASS
cost/R1_RP75_S10_F0_C200,272,0.5,feb568f812ff5d6e102fac6f9d9a1fdc8ad4df5d3ffc958f11a1e8abd0f63160,fc66da7d36d7bc63047d7538688a546da8222d3a39234a8524911ad8cdadde95,PASS,PASS
determinism/R0_RP75_S10_F0,104,0.5,6ff653380c2adf70458c7450ee9bca936b82dcfb80bdf407804dd5c0ca2d78ec,178aa7a444e4576dcf637c3691ac6acf6624b723b6e8ef3d234b50d329c14cd2,PASS,PASS
diagnostic/R0_RP75_S10_F1,272,0.5,a711363052dfbf270da7ae9edb94592264d3af6dac10ba324ab92907176e9121,0d078af3039869df067941063632dc488fde3adcd6b8ab683ee612a6aaa4a9fd,PASS,PASS
diagnostic/R1_RP100_S10_F1,272,0.5,df519f85a73d6d3467c88d1b56f232844ac6a2cd814631c92b5cbd05c891bfc3,593daa54e69d12584e6e90424f4ce6b0316a8b3f2a1d8abc824a76a944765c3c,PASS,PASS
diagnostic/R1_RP75_S10_F0,272,0.5,467b294b184af647b8db2a70d30516a19684859365b5e30d765eb885370e3aed,dd1ca6b2463fe4f1894f0511106c37bf9ca16201fd0d56377ec73334d3821fe3,PASS,PASS
discovery/R0_RP100_S10_F0,104,0.5,d5134cc1b3e9ae2bb7104b42a4a963f0629dda39c82c4ee3feb9112cb603496b,946589ef0cc1c9c9b3035e22234ccb02fde993f453c7117bca8680e746f8e37b,PASS,PASS
