case_id,period,group,requests,known_lifecycle,median_native_return,median_capital_days
R1_RP75_S15_F1,DISCOVERY,REJECTED,2309,943,0.0610012546017837,21.524485750720785
R1_RP75_S20_F0,DISCOVERY,FUNDED,1216,1030,0.04673257445926075,21.33629040140378
R1_RP75_S20_F0,DISCOVERY,REJECTED,2355,970,0.06026507799134765,21.452681176865724
R1_RP75_S20_F1,DISCOVERY,FUNDED,1253,1048,0.04662170382560585,21.276172342483342
R1_RP75_S20_F1,DISCOVERY,REJECTED,2309,943,0.0610012546017837,21.524485750720785
R1_RP100_S10_F0,DISCOVERY,FUNDED,1247,1067,0.0495567992794997,21.195772014078017
R1_RP100_S10_F0,DISCOVERY,REJECTED,2300,931,0.0580047759242538,21.586160782200515
R1_RP100_S10_F1,DISCOVERY,FUNDED,1241,1058,0.0511818607384986,21.24062882478154
R1_RP100_S10_F1,DISCOVERY,REJECTED,2309,938,0.0563295943324588,21.585019745808438
R1_RP100_S15_F0,DISCOVERY,FUNDED,1247,1067,0.0495567992794997,21.195772014078017
R1_RP100_S15_F0,DISCOVERY,REJECTED,2300,931,0.0580047759242538,21.586160782200515
R1_RP100_S15_F1,DISCOVERY,FUNDED,1241,1058,0.0511818607384986,21.24062882478154
R1_RP100_S15_F1,DISCOVERY,REJECTED,2309,938,0.0563295943324588,21.585019745808438
R1_RP100_S20_F0,DISCOVERY,FUNDED,1247,1067,0.0495567992794997,21.195772014078017
R1_RP100_S20_F0,DISCOVERY,REJECTED,2300,931,0.0580047759242538,21.586160782200515
R1_RP100_S20_F1,DISCOVERY,FUNDED,1241,1058,0.0511818607384986,21.24062882478154
R1_RP100_S20_F1,DISCOVERY,REJECTED,2309,938,0.0563295943324588,21.585019745808438
R1_RP125_S10_F0,DISCOVERY,FUNDED,1249,1058,0.0511818607384986,21.24062882478154
R1_RP125_S10_F0,DISCOVERY,REJECTED,2301,938,0.0563295943324588,21.585019745808438
R1_RP125_S10_F1,DISCOVERY,FUNDED,1245,1058,0.0511818607384986,21.24062882478154
R1_RP125_S10_F1,DISCOVERY,REJECTED,2305,938,0.0563295943324588,21.585019745808438
R1_RP125_S15_F0,DISCOVERY,FUNDED,1249,1058,0.0511818607384986,21.24062882478154
R1_RP125_S15_F0,DISCOVERY,REJECTED,2301,938,0.0563295943324588,21.585019745808438
R1_RP125_S15_F1,DISCOVERY,FUNDED,1245,1058,0.0511818607384986,21.24062882478154
R1_RP125_S15_F1,DISCOVERY,REJECTED,2305,938,0.0563295943324588,21.585019745808438
R1_RP125_S20_F0,DISCOVERY,FUNDED,1249,1058,0.0511818607384986,21.24062882478154
R1_RP125_S20_F0,DISCOVERY,REJECTED,2301,938,0.0563295943324588,21.585019745808438
R1_RP125_S20_F1,DISCOVERY,FUNDED,1245,1058,0.0511818607384986,21.24062882478154
R1_RP125_S20_F1,DISCOVERY,REJECTED,2305,938,0.0563295943324588,21.585019745808438
R1_RP150_S10_F0,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S10_F0,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R1_RP150_S10_F1,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S10_F1,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R1_RP150_S15_F0,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S15_F0,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R1_RP150_S15_F1,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S15_F1,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R1_RP150_S20_F0,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S20_F0,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R1_RP150_S20_F1,DISCOVERY,FUNDED,1227,1032,0.04673257445926075,21.33629040140378
R1_RP150_S20_F1,DISCOVERY,REJECTED,2344,968,0.06026507799134765,21.452681176865724
R2_RP75_S10_F0,DISCOVERY,FUNDED,1217,1030,0.04673257445926075,21.33629040140378
R2_RP75_S10_F0,DISCOVERY,REJECTED,2354,970,0.06026507799134765,21.452681176865724
R2_RP75_S10_F1,DISCOVERY,FUNDED,1224,1034,0.04673257445926075,21.31749485788714
R2_RP75_S10_F1,DISCOVERY,REJECTED,2338,957,0.0591511316988643,21.486634972808
