case_id,validation,risk_engine_gate,ranking_gate,family_gate,post_hoc_status,post_hoc_CAGR,post_hoc_MaxDD,cost_2x_gate,concentration_gate,shadow_qualified
R0_RP75_S10_F1,PASS,True,True,False,MARGINAL,0.08535008973932467,0.03901483806009165,True,True,False
R1_RP100_S10_F1,PASS,True,False,False,MARGINAL,0.1229185294613655,0.051523979342355974,True,True,False
R1_RP75_S10_F0,PASS,True,False,True,MARGINAL,0.09218085478042126,0.039515678090230266,True,True,False
