case_id,strategy,account_multiplier,ratio_type,p50,p75,p90,p95,p99,max,missing_denominator,grade
R0_RP75_S10_F1,ATRDR,1,order_to_daily_amount,0.00030360229341993,0.0006510039494309749,0.001274787946124045,0.0019024457630736733,0.0032047695782382807,0.007926753973859795,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,1,order_to_ADV20,0.0005111563370066636,0.0010772285976574313,0.0018551375114551837,0.0024929818200072713,0.0043333058296797,0.007900586240616129,7,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,2,order_to_daily_amount,0.00060720458683986,0.0013020078988619497,0.00254957589224809,0.0038048915261473465,0.006409539156476561,0.01585350794771959,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,2,order_to_ADV20,0.0010223126740133272,0.0021544571953148626,0.0037102750229103675,0.004985963640014543,0.0086666116593594,0.015801172481232258,7,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,5,order_to_daily_amount,0.0015180114670996499,0.0032550197471548745,0.006373939730620226,0.009512228815368366,0.016023847891191403,0.03963376986929897,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,5,order_to_ADV20,0.002555781685033318,0.005386142988287157,0.00927568755727592,0.012464909100036357,0.0216665291483985,0.03950293120308064,7,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,10,order_to_daily_amount,0.0030360229341992997,0.006510039494309749,0.012747879461240452,0.019024457630736732,0.032047695782382805,0.07926753973859794,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,ATRDR,10,order_to_ADV20,0.005111563370066636,0.010772285976574314,0.01855137511455184,0.024929818200072715,0.043333058296797,0.07900586240616128,7,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,1,order_to_daily_amount,0.000234252593201879,0.000351659785120816,0.000680615057971638,0.0009581194818898926,0.001322749321718703,0.0013437645969586907,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,1,order_to_ADV20,0.0005193123213949719,0.0010626332155467054,0.0017621704905285544,0.002040252826691738,0.0024177019220470637,0.0025701678565413395,3,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,2,order_to_daily_amount,0.000468505186403758,0.000703319570241632,0.001361230115943276,0.0019162389637797852,0.002645498643437406,0.0026875291939173814,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,2,order_to_ADV20,0.0010386246427899438,0.0021252664310934108,0.0035243409810571088,0.004080505653383476,0.004835403844094127,0.005140335713082679,3,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,5,order_to_daily_amount,0.001171262966009395,0.00175829892560408,0.0034030752898581897,0.004790597409449463,0.006613746608593514,0.0067188229847934535,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,5,order_to_ADV20,0.0025965616069748595,0.005313166077733527,0.008810852452642771,0.010201264133458688,0.01208850961023532,0.012850839282706698,3,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,10,order_to_daily_amount,0.00234252593201879,0.00351659785120816,0.0068061505797163795,0.009581194818898926,0.013227493217187029,0.013437645969586907,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,MCB,10,order_to_ADV20,0.005193123213949719,0.010626332155467055,0.017621704905285543,0.020402528266917377,0.02417701922047064,0.025701678565413395,3,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,1,order_to_daily_amount,0.0009207361077162445,0.0017358766738011736,0.002750845396017462,0.0035607614330626716,0.00566851658264643,0.008228576826191374,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,1,order_to_ADV20,0.0007113808627081111,0.00139145866185549,0.0020116397801516373,0.002891412997741713,0.00543843465783928,0.008124803134923808,0,DESCRIPTIVE_NO_IMPACT_MODEL
R0_RP75_S10_F1,OGR,2,order_to_daily_amount,0.001841472215432489,0.0034717533476023472,0.005501690792034924,0.007121522866125343,0.01133703316529286,0.016457153652382747,0,DESCRIPTIVE_NO_IMPACT_MODEL
