artifact,before_sha256,after_sha256,frozen_parameters_unchanged
calibration_frozen.json,6ac33c528f7a81e3451bbbfeec32c5bf9414257afc05766379ccfc64ade6544d,6ac33c528f7a81e3451bbbfeec32c5bf9414257afc05766379ccfc64ade6544d,PASS
risk_references_frozen.json,0a2267f56f7e8d1fd087458296cae78f354b323ea4a6691b6ba4449a0714bd6e,0a2267f56f7e8d1fd087458296cae78f354b323ea4a6691b6ba4449a0714bd6e,PASS
