case_id,ranking,risk_profile,security_cap,family_cap,architecture,start,end,return_,CAGR,MaxDD,CVaR5,Sharpe,average_gross,P95_gross,cash_ratio,fees,turnover,worst_month,max_security,max_family,top5_day_concentration,top5_event_concentration,top5_symbol_concentration,net_pnl,opportunity_count,funded_count,rejected_quality,rejected_risk,liquidity_capped,estimated_risk_utilization
R0_RP75_S10_F0,R0,0.75,0.1,False,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3638192651704999,0.08066032007037882,0.02483224783786131,0.005082464118433682,2.1467096624038287,0.09628373752520146,0.31333672906174675,0.9037162624747985,161916.09975928627,3.6792367644778974,-0.0075652696401339314,0.01546984653003321,0.7270242506190533,0.10073840107866755,0.02702258869932046,0.036694865580503236,1784454.2300639823,3526,1317,665,43,53,0.3000846354618142
R0_RP75_S10_F1,R0,0.75,0.1,True,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3669815057011445,0.08128619855298713,0.024832234283992727,0.005069410326554692,2.16359217194337,0.09647028127291066,0.31523451774988315,0.9035297187270893,162674.15390791575,3.68793484154927,-0.007565272820332591,0.015466411454318645,0.7270242556313281,0.1003560155267121,0.02690162083305363,0.03654780556353581,1799964.330906894,3526,1318,665,42,53,0.3007053983687619
R0_RP75_S15_F0,R0,0.75,0.15,False,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3638192651704999,0.08066032007037882,0.02483224783786131,0.005082464118433682,2.1467096624038287,0.09628373752520146,0.31333672906174675,0.9037162624747985,161916.09975928627,3.6792367644778974,-0.0075652696401339314,0.01546984653003321,0.7270242506190533,0.10073840107866755,0.02702258869932046,0.036694865580503236,1784454.2300639823,3526,1317,665,43,53,0.3000846354618142
R0_RP75_S15_F1,R0,0.75,0.15,True,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3669815057011445,0.08128619855298713,0.024832234283992727,0.005069410326554692,2.16359217194337,0.09647028127291066,0.31523451774988315,0.9035297187270893,162674.15390791575,3.68793484154927,-0.007565272820332591,0.015466411454318645,0.7270242556313281,0.1003560155267121,0.02690162083305363,0.03654780556353581,1799964.330906894,3526,1318,665,42,53,0.3007053983687619
R0_RP75_S20_F0,R0,0.75,0.2,False,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3638192651704999,0.08066032007037882,0.02483224783786131,0.005082464118433682,2.1467096624038287,0.09628373752520146,0.31333672906174675,0.9037162624747985,161916.09975928627,3.6792367644778974,-0.0075652696401339314,0.01546984653003321,0.7270242506190533,0.10073840107866755,0.02702258869932046,0.036694865580503236,1784454.2300639823,3526,1317,665,43,53,0.3000846354618142
R0_RP75_S20_F1,R0,0.75,0.2,True,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.3669815057011445,0.08128619855298713,0.024832234283992727,0.005069410326554692,2.16359217194337,0.09647028127291066,0.31523451774988315,0.9035297187270893,162674.15390791575,3.68793484154927,-0.007565272820332591,0.015466411454318645,0.7270242556313281,0.1003560155267121,0.02690162083305363,0.03654780556353581,1799964.330906894,3526,1318,665,42,53,0.3007053983687619
R0_RP100_S10_F0,R0,1.0,0.1,False,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.499326260532152,0.10655762954895787,0.03168964064460855,0.0067210755697456985,2.1441854174599606,0.12673556712240405,0.41699436634205134,0.8732644328775959,224421.69286783165,4.821499507537771,-0.01005266655876813,0.020587069494016497,0.8765386762045781,0.09931446553527362,0.025976813568984573,0.03604904903909224,2449086.5192942973,3526,1324,665,34,74,0.29660742299527965
R0_RP100_S10_F1,R0,1.0,0.1,True,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.5041889471016163,0.10745375055026707,0.03168847805594144,0.006704155670734693,2.1607686162854507,0.1269832473014636,0.419264508039404,0.8730167526985363,225754.21210805204,4.834829897438959,-0.010052676152201068,0.020580411767973723,0.8765380381734279,0.0990952319672394,0.02586018169624175,0.03590808695089713,2472936.937480067,3526,1323,665,35,74,0.2971481785403892
R0_RP100_S15_F0,R0,1.0,0.15,False,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.499326260532152,0.10655762954895787,0.03168964064460855,0.0067210755697456985,2.1441854174599606,0.12673556712240405,0.41699436634205134,0.8732644328775959,224421.69286783165,4.821499507537771,-0.01005266655876813,0.020587069494016497,0.8765386762045781,0.09931446553527362,0.025976813568984573,0.03604904903909224,2449086.5192942973,3526,1324,665,34,74,0.29660742299527965
R0_RP100_S15_F1,R0,1.0,0.15,True,P1_UNIFIED_RISK_ONLY,2018-01-01,2021-12-31,0.5041889471016163,0.10745375055026707,0.03168847805594144,0.006704155670734693,2.1607686162854507,0.1269832473014636,0.419264508039404,0.8730167526985363,225754.21210805204,4.834829897438959,-0.010052676152201068,0.020580411767973723,0.8765380381734279,0.0990952319672394,0.02586018169624175,0.03590808695089713,2472936.937480067,3526,1323,665,35,74,0.2971481785403892
