case_id,period,delta_CAGR,delta_MaxDD,delta_CVaR5,delta_Sharpe,delta_net_pnl,delta_top5_event_concentration,risk_improves,return_retention
R0_RP75_S10_F0,DISCOVERY,-0.007781579987700599,-0.017035257716461093,-0.0029467951236338778,0.5222226114553654,-194761.5207326552,-0.018073900790103,True,0.9120147805215574
R0_RP75_S10_F1,DISCOVERY,-0.007155701505092288,-0.017035271270329694,-0.0029598489155128775,0.5391051209949069,-179251.41988974344,-0.0181948686563698,True,0.9190914996128173
R0_RP75_S15_F0,DISCOVERY,-0.007781579987700599,-0.017035257716461093,-0.0029467951236338778,0.5222226114553654,-194761.5207326552,-0.018073900790103,True,0.9120147805215574
R0_RP75_S15_F1,DISCOVERY,-0.007155701505092288,-0.017035271270329694,-0.0029598489155128775,0.5391051209949069,-179251.41988974344,-0.0181948686563698,True,0.9190914996128173
R0_RP75_S20_F0,DISCOVERY,-0.007781579987700599,-0.017035257716461093,-0.0029467951236338778,0.5222226114553654,-194761.5207326552,-0.018073900790103,True,0.9120147805215574
R0_RP75_S20_F1,DISCOVERY,-0.007155701505092288,-0.017035271270329694,-0.0029598489155128775,0.5391051209949069,-179251.41988974344,-0.0181948686563698,True,0.9190914996128173
R0_RP100_S10_F0,DISCOVERY,0.018115729490878404,-0.010177864909713896,-0.001308183672321878,0.5196983665114974,469870.7684976598,-0.0191196759204389,True,1.2048319798532356
R0_RP100_S10_F1,DISCOVERY,0.019011850492187607,-0.01017902749838099,-0.001325103571332878,0.5362815653369875,493721.1866834294,-0.019236307793181702,True,1.2149642927130988
R0_RP100_S15_F0,DISCOVERY,0.018115729490878404,-0.010177864909713896,-0.001308183672321878,0.5196983665114974,469870.7684976598,-0.0191196759204389,True,1.2048319798532356
R0_RP100_S15_F1,DISCOVERY,0.019011850492187607,-0.01017902749838099,-0.001325103571332878,0.5362815653369875,493721.1866834294,-0.019236307793181702,True,1.2149642927130988
R0_RP100_S20_F0,DISCOVERY,0.018115729490878404,-0.010177864909713896,-0.001308183672321878,0.5196983665114974,469870.7684976598,-0.0191196759204389,True,1.2048319798532356
R0_RP100_S20_F1,DISCOVERY,0.019011850492187607,-0.01017902749838099,-0.001325103571332878,0.5362815653369875,493721.1866834294,-0.019236307793181702,True,1.2149642927130988
R0_RP125_S10_F0,DISCOVERY,0.039563977776822606,-0.005076064874210091,0.0002455179353280223,0.5038186918012693,1056818.8251653044,-0.0185752171386433,False,1.4473442763084141
R0_RP125_S10_F1,DISCOVERY,0.040899776407749194,-0.005078215757594491,0.00023482522632482274,0.520573164597349,1094500.149967339,-0.0187254130816819,False,1.462447961666252
R0_RP125_S15_F0,DISCOVERY,0.039563977776822606,-0.005076064874210091,0.0002455179353280223,0.5038186918012693,1056818.8251653044,-0.0185752171386433,False,1.4473442763084141
R0_RP125_S15_F1,DISCOVERY,0.040899776407749194,-0.005078215757594491,0.00023482522632482274,0.520573164597349,1094500.149967339,-0.0187254130816819,False,1.462447961666252
R0_RP125_S20_F0,DISCOVERY,0.039563977776822606,-0.005076064874210091,0.0002455179353280223,0.5038186918012693,1056818.8251653044,-0.0185752171386433,False,1.4473442763084141
R0_RP125_S20_F1,DISCOVERY,0.040899776407749194,-0.005078215757594491,0.00023482522632482274,0.520573164597349,1094500.149967339,-0.0187254130816819,False,1.462447961666252
R0_RP150_S10_F0,DISCOVERY,0.06048783977779812,0.0015963326024405061,0.0017925976893468226,0.48096212150867657,1662606.5898794467,-0.0180405232778033,False,1.6839274115331764
R0_RP150_S10_F1,DISCOVERY,0.06129807185714961,0.0015857223324613062,0.0017638617685042223,0.493130995695082,1686740.5690409346,-0.0180969103620866,False,1.6930885905537472
R0_RP150_S15_F0,DISCOVERY,0.06048783977779812,0.0015963326024405061,0.0017925976893468226,0.48096212150867657,1662606.5898794467,-0.0180405232778033,False,1.6839274115331764
R0_RP150_S15_F1,DISCOVERY,0.06129807185714961,0.0015857223324613062,0.0017638617685042223,0.493130995695082,1686740.5690409346,-0.0180969103620866,False,1.6930885905537472
R0_RP150_S20_F0,DISCOVERY,0.06048783977779812,0.0015963326024405061,0.0017925976893468226,0.48096212150867657,1662606.5898794467,-0.0180405232778033,False,1.6839274115331764
R0_RP150_S20_F1,DISCOVERY,0.06129807185714961,0.0015857223324613062,0.0017638617685042223,0.493130995695082,1686740.5690409346,-0.0180969103620866,False,1.6930885905537472
R0_RP100_S10_F0,VALIDATION,0.01519887343397229,-0.0028389339563747416,-0.0010233381550637435,0.3864120191482623,281574.97011383716,0.005579546711473975,True,1.3186943804570475
R0_RP100_S10_F1,VALIDATION,0.0151288124069901,-0.0026159499519842443,-0.001033339185737143,0.3852411928552595,283569.0391919528,0.005705504102718778,True,1.3172253205503859
R0_RP75_S10_F0,VALIDATION,-0.0003811769232192064,-0.009295864420675742,-0.002460847653457043,0.3890016539421819,-24343.908039613627,0.006363681340228675,True,0.992007371867553
R0_RP75_S10_F1,VALIDATION,-0.00042593314456440545,-0.009120695045117443,-0.002467280011585943,0.3876748599677575,-23470.775530884974,0.00648013174274957,True,0.9910689104549245
