route_key,bucket,sample_count,median_return,trimmed_mean_return,CVaR10,median_capital_days,parent_sample_count,parent_CVaR10,effective_median_return,effective_capital_days,conservative_tail_loss,R1,R2,fallback_to_parent,risk_estimate_insufficient,training_latest_exit
BULL,0,292,0.0167853188167679,0.03250512622166344,-0.12962681542274945,21.620931745406907,803,-0.12405244407434424,0.0167853188167679,21.620931745406907,0.12962681542274945,0.0007763457659651383,0.005989083072304575,False,False,2021-12-31 09:30:00
BULL,1,154,0.026289617643047575,0.037326014644235704,-0.13326569882731143,21.57407989559813,803,-0.12405244407434424,0.026289617643047575,21.57407989559813,0.13326569882731143,0.0012185742228762017,0.009143945018104446,False,False,2021-12-31 09:30:00
BULL,2,170,0.0144142264131122,0.039102317792866485,-0.10995109234537141,21.526989258390508,803,-0.12405244407434424,0.0144142264131122,21.526989258390508,0.12405244407434424,0.0006695885913304858,0.005397625144162444,False,False,2021-12-31 09:30:00
BULL,3,187,-0.0186619010041971,0.004949806258993731,-0.11577370162299105,23.785280354100262,803,-0.12405244407434424,-0.0186619010041971,23.785280354100262,0.12405244407434424,-0.0007845987403289126,-0.006324734237873661,False,False,2021-12-31 09:30:00
FAST,0,15,0.09560878243512964,0.06267114120748553,-0.11336227067396305,20.28963716985754,32,-0.06570082601148242,0.0956087824351298,15.387248212963824,0.06570082601148242,0.00621350751686575,0.09457274579439574,True,False,2021-12-02 09:30:00
FAST,1,10,0.09560878243512966,0.08057978805720362,0.020908183632734546,14.858275195449062,32,-0.06570082601148242,0.0956087824351298,15.387248212963824,0.06570082601148242,0.00621350751686575,0.09457274579439574,True,False,2021-12-02 09:30:00
FAST,2,7,0.09560878243512982,0.09560878243512982,0.09560878243512945,9.191869237715045,32,-0.06570082601148242,0.0956087824351298,15.387248212963824,0.06570082601148242,0.00621350751686575,0.09457274579439574,True,False,2021-12-02 09:30:00
GAP,0,51,0.0406632895354223,0.04070834595281802,-0.04189980567311852,6.072737218980899,255,-0.06312747006229631,0.0406632895354223,6.072737218980899,0.06312747006229631,0.006696039704850961,0.10607172595770246,False,False,2021-12-15 09:30:00
GAP,1,51,0.06086427081917809,0.06075483006285822,-0.0315634385834322,6.1232878971025695,255,-0.06312747006229631,0.06086427081917809,6.1232878971025695,0.06312747006229631,0.009939802250352785,0.15745605265891147,False,False,2021-12-15 09:30:00
GAP,2,51,0.07216450428030602,0.06831840053978845,-0.052122509806956006,10.48234266958948,255,-0.06312747006229631,0.07216450428030602,10.48234266958948,0.06312747006229631,0.006884387064512192,0.10905532975927036,False,False,2021-12-15 09:30:00
GAP,3,51,0.08926479577000748,0.08695591170614879,-0.05754063349647639,15.243145933696235,255,-0.06312747006229631,0.08926479577000748,15.243145933696235,0.06312747006229631,0.00585606121979586,0.092765656757936,False,False,2021-12-15 09:30:00
GAP,4,51,0.12062609226495562,0.1229276639901547,-0.0594042494899639,17.70483004479673,255,-0.06312747006229631,0.12062609226495562,17.70483004479673,0.06312747006229631,0.00681317425582441,0.1079272501987002,False,False,2021-12-15 09:30:00
MCB,0,15,-0.027956117839509062,-0.0014377551833138148,-0.137365255304993,22.885658281138884,75,-0.12315580321022074,0.0175821641914726,21.65952949020571,0.12315580321022074,0.0008117518988315573,0.006591259832441171,True,False,2021-12-22 09:30:00
MCB,1,14,-0.0028826626809368198,0.01396899823413835,-0.15378316891222685,21.787157462133848,75,-0.12315580321022074,0.0175821641914726,21.65952949020571,0.12315580321022074,0.0008117518988315573,0.006591259832441171,True,False,2021-12-22 09:30:00
MCB,2,16,0.06193566314234835,0.06968349930713884,-0.05822022289088159,21.6934311851166,75,-0.12315580321022074,0.0175821641914726,21.65952949020571,0.12315580321022074,0.0008117518988315573,0.006591259832441171,True,False,2021-12-22 09:30:00
MCB,3,15,0.017290205912960547,0.050931993759571983,-0.09103578939812278,21.39345781011816,75,-0.12315580321022074,0.0175821641914726,21.65952949020571,0.12315580321022074,0.0008117518988315573,0.006591259832441171,True,False,2021-12-22 09:30:00
MCB,4,15,0.05824560273204899,0.051911677738550197,-0.10483224198479105,21.131409872388012,75,-0.12315580321022074,0.0175821641914726,21.65952949020571,0.12315580321022074,0.0008117518988315573,0.006591259832441171,True,False,2021-12-22 09:30:00
SLOW,0,144,0.09560878243512945,0.05149022661735889,-0.1528325642188834,22.737763505305104,383,-0.10661599624177544,0.09560878243512945,22.737763505305104,0.1528325642188834,0.004204845494712895,0.02751275892152676,False,False,2021-12-13 09:30:00
SLOW,1,86,0.09560878243512957,0.06790859622893382,-0.08571778944408612,16.335442821302625,383,-0.10661599624177544,0.09560878243512957,16.335442821302625,0.10661599624177544,0.005852843016318398,0.054896481040666516,False,False,2021-12-13 09:30:00
SLOW,2,76,0.09560878243512985,0.07809182407931335,-0.04185669656660093,14.518810284844598,383,-0.10661599624177544,0.09560878243512985,14.518810284844598,0.10661599624177544,0.006585166453681863,0.06176527618565357,False,False,2021-12-13 09:30:00
SLOW,3,77,0.0956087824351409,0.08441148473982563,-0.015050012079035887,11.6666411748661,383,-0.10661599624177544,0.0956087824351409,11.6666411748661,0.10661599624177544,0.008195056400732939,0.07686516741961337,False,False,2021-12-13 09:30:00
SMV6,0,77,0.011240246456852204,0.025632358052282693,-0.057484771844793475,22.796477680169808,77,-0.057484771844793475,0.011240246456852204,22.796477680169808,0.057484771844793475,0.0004930694388207993,0.008577392290119314,False,False,2021-12-24 15:00:00
