artifact,gap,rows,status
timeline,IFCGR,10793,PASS
daily,IFCGR,2106,PASS
fills,IFCGR,7859,PASS
account_snapshot_including_capital_days,IFCGR,1,PASS
timeline,OGR,10802,PASS
daily,OGR,2106,PASS
fills,OGR,7889,PASS
account_snapshot_including_capital_days,OGR,1,PASS
