case_id,decile,count,estimated,realized_left_tail,status,coverage
R0_RP75_S10_F1,1,281,0.0592117186302214,0.05948843887331694,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,2,281,0.06312747006229631,0.03590194958839874,WITHIN_ESTIMATE,0.9950407368048175
R0_RP75_S10_F1,3,281,0.07649759296930851,0.15097335001861684,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,4,281,0.11217617898695957,0.14911587035194043,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,5,281,0.12405244407434424,0.1166120661947276,WITHIN_ESTIMATE,0.9950407368048175
R0_RP75_S10_F1,6,280,0.12785496167272065,0.14002535869544458,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,7,281,0.12962681542274945,0.1401827566408633,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,8,281,0.13044265049209963,0.14884051739292015,RISK_UNDERESTIMATION,0.9950407368048175
R0_RP75_S10_F1,9,281,0.1332656988273114,0.12844576651816708,WITHIN_ESTIMATE,0.9950407368048175
R0_RP75_S10_F1,10,281,0.1524843993542647,0.1888561302848979,RISK_UNDERESTIMATION,0.9950407368048175
R1_RP100_S10_F1,1,274,0.05890574329372668,0.0616219094840472,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,2,274,0.06312747006229631,0.07209628908917697,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,3,273,0.08246484351706627,0.14224680371641601,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,4,274,0.11123967645749515,0.15296323698850975,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,5,274,0.12405244407434424,0.11362131947231095,WITHIN_ESTIMATE,0.9949109414758269
R1_RP100_S10_F1,6,273,0.12738073172925282,0.14181314455072364,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,7,274,0.12962681542274945,0.1268471305421233,WITHIN_ESTIMATE,0.9949109414758269
R1_RP100_S10_F1,8,273,0.13022663136855636,0.1603789481009672,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP100_S10_F1,9,274,0.13326569882731143,0.13309970445784403,WITHIN_ESTIMATE,0.9949109414758269
R1_RP100_S10_F1,10,274,0.14933338026199644,0.18708202183198602,RISK_UNDERESTIMATION,0.9949109414758269
R1_RP75_S10_F0,1,271,0.05904640419281087,0.06058494708663808,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,2,271,0.06312747006229633,0.07983829812375953,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,3,271,0.08565656582082881,0.1397535162792631,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,4,271,0.11232031928394627,0.15296323698850972,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,5,271,0.12405244407434424,0.11783193757870902,WITHIN_ESTIMATE,0.9948604992657856
R1_RP75_S10_F0,6,271,0.12763156073346785,0.13906134096295344,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,7,271,0.12962681542274943,0.12812559795354284,WITHIN_ESTIMATE,0.9948604992657856
R1_RP75_S10_F0,8,271,0.13032505135277608,0.15965509822774626,RISK_UNDERESTIMATION,0.9948604992657856
R1_RP75_S10_F0,9,271,0.1332656988273114,0.133099704457844,WITHIN_ESTIMATE,0.9948604992657856
R1_RP75_S10_F0,10,271,0.14951125127418852,0.18708202183198602,RISK_UNDERESTIMATION,0.9948604992657856
