case_id,strategy,p50,p75,p90,p95,max,days_gt25,days_gt50,days_gt75
R0_RP75_S10_F1,ATRDR,0.038202750263595604,0.10759879436693201,0.2083614866088503,0.24203459508794922,0.3265253881216947,86,0,0
R0_RP75_S10_F1,MCB,0.0,0.0,0.0,0.01030869038929656,0.06743663607465672,0,0,0
R0_RP75_S10_F1,OGR,0.0,0.011424762988981142,0.03376347405073735,0.07432526673778511,0.7270242556313281,15,5,0
R0_RP75_S10_F1,SMV6,0.0,0.012291550546335113,0.05526936274582068,0.06413360086817921,0.07800189142457196,0,0,0
R1_RP100_S10_F1,ATRDR,0.050832851684319634,0.14491958795462173,0.2776607884113944,0.3266390045425827,0.44273170057462974,273,0,0
R1_RP100_S10_F1,MCB,0.0,0.0,0.0,0.007768621540375543,0.08918990658323234,0,0,0
R1_RP100_S10_F1,OGR,0.0,0.015285594921055877,0.045389863000446534,0.09913741746501523,0.8770359245935344,39,5,4
R1_RP100_S10_F1,SMV6,0.0,0.016393730835426445,0.07074522038232059,0.08331208550948024,0.10179787073337522,0,0,0
R1_RP75_S10_F0,ATRDR,0.038246108574049933,0.10883389323469536,0.2088917663330579,0.24859587371430844,0.33286319819166527,103,0,0
R1_RP75_S10_F0,MCB,0.0,0.0,0.0,0.005835843504530311,0.07138580885792804,0,0,0
R1_RP75_S10_F0,OGR,0.0,0.011496593326449672,0.03417572176574733,0.07489174344740987,0.7308026642773932,14,5,0
R1_RP75_S10_F0,SMV6,0.0,0.012288315426754742,0.055183909804224156,0.06412852568272229,0.07789552908647893,0,0,0
