from_stage,to_stage,split,incremental_net_pnl,drawdown_reduction,large_loss_count_reduction,large_loss_weighted_return_reduction,winner_pnl_sacrificed,top_decile_winner_pnl_sacrificed,mfe_retained,incremental_mfe_lost,top_decile_mfe_retained,incremental_top_decile_mfe_lost,transaction_cost_impact,exposure_impact,turnover_impact,economic_classification
P0_PRICE_ONLY,P1_TEMPORAL_CONFIRMATION,validation,0.010514951175395693,0.05022409188625365,39,4.301233314071664,12.599041996436632,8.332664027353953,77.83575703659596,34.570168341093535,27.912269240483337,13.109260997836866,-0.0014337986535565284,-0.011894578476368656,-0.7036093643248513,VALUE_CREATING
P0_PRICE_ONLY,P1_TEMPORAL_CONFIRMATION,holdout,0.13088873352960906,0.06742259346946733,20,2.0295909738054654,4.104167594519051,3.455908017716359,42.695386192109936,13.157733759097951,17.867680749852983,5.482326509495529,0.0013089926722899964,-0.009764698826987828,0.05086977017347394,VALUE_CREATING
P1_TEMPORAL_CONFIRMATION,P2_CANONICAL_PERSISTENCE,validation,0.08467192555809255,-0.0017007150052641418,39,3.8904699127146674,20.905952241047398,11.780694181078445,23.694702734388486,54.14105430220748,9.625962856318404,18.28630638416493,-0.0013652398257784915,-0.04263141355158295,-1.0880001326794257,WINNER_DESTRUCTIVE
P1_TEMPORAL_CONFIRMATION,P2_CANONICAL_PERSISTENCE,holdout,0.07011511421632399,0.027964623444284076,31,3.151734130534962,11.14661518744838,8.861995261657789,12.008098017147049,30.687288174962887,4.53680313441795,13.330877615435034,0.002407372818883771,-0.0447910150449532,-0.018479017332349912,WINNER_DESTRUCTIVE
P2_CANONICAL_PERSISTENCE,P3_MASS_PROMINENCE,validation,-0.034415795376027125,0.004314077547116657,10,0.9332290831436063,7.553871008637765,4.941789938103279,6.566250114670138,17.128452619718345,1.7700043637868788,7.855958492531525,-0.0015373952330789697,-0.16106580697252604,-1.175671814570336,WINNER_DESTRUCTIVE
P2_CANONICAL_PERSISTENCE,P3_MASS_PROMINENCE,holdout,-0.044107851895133776,-0.029254396259982496,6,0.5825076037192978,2.3723296246152987,1.77992625597261,4.435296296629012,7.5728017205180365,1.7857451562434308,2.7510579781745186,-0.005228227845087904,-0.10553967458527136,-3.311715837056523,WINNER_DESTRUCTIVE
P3_MASS_PROMINENCE,P4_CHIP_SIZING,validation,0.03136166869538237,-0.0027287829413843445,0,-0.05115055790900874,-0.65690738817124,-0.2825874108400874,8.42845276815858,-1.862202653488442,2.271981407817835,-0.5019770440309561,0.00017673790943956505,0.07240434140417984,0.04171590773487921,VALUE_CREATING
P3_MASS_PROMINENCE,P4_CHIP_SIZING,holdout,0.032706516322952184,-0.0046842160763566065,0,-0.08479285160939659,-0.4473979818767597,-0.3066199975955104,5.693155864624606,-1.2578595679955935,2.2921863228662316,-0.5064411666228008,0.0018369866750040445,0.02134811412025006,0.9481814517311609,VALUE_CREATING
P4_CHIP_SIZING,P5_HEALTHY_HOLDING,validation,0.015271560401832751,-0.0014007635372464966,0,0.0,-0.46189598720781877,0.0,8.728586907887236,-0.3001341397286552,2.271981407817835,0.0,-0.0008353456101634748,0.001639811441097816,-0.6763180722822106,VALUE_CREATING
P4_CHIP_SIZING,P5_HEALTHY_HOLDING,holdout,0.015725257346977495,-0.001497662809617606,0,0.0,-0.30027551809945763,0.0,5.738720237924616,-0.045564373300010175,2.2921863228662316,0.0,0.0006300498999701476,0.005570346790999214,0.2713077365032266,VALUE_CREATING
P5_HEALTHY_HOLDING,P6_DETERIORATION_DERISK,validation,0.004761025874782998,0.0019778163030506057,0,0.0,-0.018803674797676972,0.0,8.728586907887236,0.0,2.271981407817835,0.0,1.895218925802855e-05,-0.0017033072994008247,0.0008602014266188007,VALUE_CREATING
P5_HEALTHY_HOLDING,P6_DETERIORATION_DERISK,holdout,0.01890743890188107,7.419560310029105e-06,1,0.12083637939042141,-0.0051725933702702065,0.0,5.738720237924616,0.0,2.2921863228662316,0.0,0.00017573094413829773,-0.0025785512970319946,0.052388933936647675,VALUE_CREATING
