trade_id,symbol,baseline_entry_date,baseline_exit_date,baseline_exit_reason,baseline_net_return,baseline_mfe,baseline_mae,entry_temporal_state,entry_peak_track_age,entry_peak_track_mass,entry_peak_track_prominence,p1_retained,p2_retained,p3_retained,p4_retained,p4_size_multiplier,p5_exit_date,p5_net_return,p6_retained,p6_size_multiplier,p6_partial_exit_date,p6_partial_exit_fraction,p6_exit_date,p6_net_return,first_removal_stage,removal_reason,p6_loss_mechanism,filtering_economic_loss,sizing_economic_loss,premature_exit_economic_loss
trd_fd82439285536d8d73af,000923.SZ,2020-10-27,2020-11-20,PROFIT_PROTECTION,0.5926686203690146,0.9252873563218391,-0.008210180623973606,VALID_CANONICAL_BASE,47.0,0.4440288996730831,0.013677907365131714,True,True,True,True,1.2836021505376345,2020-11-20,0.5926686203690146,True,1.2836021505376345,,0.0,2020-11-20,0.5926686203690146,RETAINED_THROUGH_P6,NONE,NONE,0.0,-0.16808209529282542,0.0
trd_724ab43018964486e533,000545.SZ,2020-11-04,2020-11-25,PROFIT_PROTECTION,0.5609131108525967,0.9918699186991873,-0.024390243902439046,ENSEMBLE_AMBIGUOUS,,,,True,False,False,False,1.0268817204301075,2020-11-25,0.5609131108525967,False,1.0268817204301075,,0.0,2020-11-25,0.5609131108525967,P2_CANONICAL_PERSISTENCE,P2_REQUIRES_VALID_CANONICAL_NOT_ENSEMBLE_AMBIGUOUS,FILTERING,0.5609131108525967,0.0,0.0
trd_beb24fb05672d027ee4a,000625.SZ,2020-11-13,2020-12-04,PROFIT_PROTECTION,0.4651732454633819,0.6892857142857141,-0.03035714285714297,VALID_CANONICAL_BASE,36.0,0.25753948497231693,0.00713117840556682,True,True,False,False,1.0268817204301075,2020-12-04,0.4651732454633819,False,1.0268817204301075,,0.0,2020-12-04,0.4651732454633819,P3_MASS_PROMINENCE,PROMINENCE_BELOW_DISCOVERY_MEDIAN,FILTERING,0.4651732454633819,0.0,0.0
trd_ea9f223183224b7d8e5c,000516.SZ,2020-12-02,2020-12-30,TIME_EXIT,0.4116870834719075,0.5074798619102416,-0.025316455696202445,ENSEMBLE_AMBIGUOUS,,,,True,False,False,False,1.0268817204301075,2020-12-30,0.4116870834719075,False,1.0268817204301075,,0.0,2020-12-30,0.4116870834719075,P2_CANONICAL_PERSISTENCE,P2_REQUIRES_VALID_CANONICAL_NOT_ENSEMBLE_AMBIGUOUS,FILTERING,0.4116870834719075,0.0,0.0
trd_5fcef8924a4e08ff3c1c,000157.SZ,2020-11-05,2020-12-03,TIME_EXIT,0.39387183572514406,0.405698778833107,-0.006784260515603879,SPLIT,,,,False,False,False,False,0.7701612903225806,2020-12-03,0.39387183572514406,False,0.7701612903225806,,0.0,2020-12-03,0.39387183572514406,P1_TEMPORAL_CONFIRMATION,ENTRY_TEMPORAL_STATE_SPLIT,FILTERING,0.39387183572514406,0.0,0.0
trd_f31ab19c06d4588fbbde,000550.SZ,2020-10-27,2020-11-09,PROFIT_PROTECTION,0.3748631620890319,0.504452926208651,-0.04707379134860057,ENSEMBLE_AMBIGUOUS,,,,True,False,False,False,1.0268817204301075,2020-11-09,0.3748631620890319,False,1.0268817204301075,,0.0,2020-11-09,0.3748631620890319,P2_CANONICAL_PERSISTENCE,P2_REQUIRES_VALID_CANONICAL_NOT_ENSEMBLE_AMBIGUOUS,FILTERING,0.3748631620890319,0.0,0.0
trd_ba052f01d8f1b5133f0f,000521.SZ,2020-12-22,2020-12-31,PROFIT_PROTECTION,0.36025847537269384,0.5783132530120481,-0.012048192771084376,LOST/TRANSITION,,,,False,False,False,False,0.7701612903225806,2020-12-31,0.36025847537269384,False,0.7701612903225806,,0.0,2020-12-31,0.36025847537269384,P1_TEMPORAL_CONFIRMATION,ENTRY_TEMPORAL_STATE_LOST/TRANSITION,FILTERING,0.36025847537269384,0.0,0.0
trd_4045a25ade3c619405b4,000049.SZ,2020-12-01,2020-12-29,TIME_EXIT,0.29015050725711533,0.3251734772552042,-0.03855050115651504,ENSEMBLE_AMBIGUOUS,,,,True,False,False,False,1.0268817204301075,2020-12-29,0.29015050725711533,False,1.0268817204301075,,0.0,2020-12-29,0.29015050725711533,P2_CANONICAL_PERSISTENCE,P2_REQUIRES_VALID_CANONICAL_NOT_ENSEMBLE_AMBIGUOUS,FILTERING,0.29015050725711533,0.0,0.0
trd_c398f3db367334733200,000921.SZ,2020-10-28,2020-11-11,PROFIT_PROTECTION,0.2868931071604155,0.35115131578947345,-0.008223684210526327,VALID_CANONICAL_BASE,158.0,0.16463284860750046,0.005212780976383289,True,True,False,False,1.0268817204301075,2020-11-11,0.2868931071604155,False,1.0268817204301075,,0.0,2020-11-11,0.2868931071604155,P3_MASS_PROMINENCE,MASS_BELOW_DISCOVERY_MEDIAN+PROMINENCE_BELOW_DISCOVERY_MEDIAN,FILTERING,0.2868931071604155,0.0,0.0
trd_fd58406b903395aff70c,000012.SZ,2020-10-21,2020-11-18,PROFIT_PROTECTION,0.2681474669997723,0.36256323777403066,-0.038785834738617075,ENSEMBLE_AMBIGUOUS,,,,True,False,False,False,1.0268817204301075,2020-11-18,0.2681474669997723,False,1.0268817204301075,,0.0,2020-11-18,0.2681474669997723,P2_CANONICAL_PERSISTENCE,P2_REQUIRES_VALID_CANONICAL_NOT_ENSEMBLE_AMBIGUOUS,FILTERING,0.2681474669997723,0.0,0.0
