split,group_dimension,group_value,confirmation_removed,trades,total_baseline_net_return,mean_baseline_net_return,profit_factor,mean_mae,mean_mfe,large_loss_probability,large_winner_probability,winner_probability,mean_peak_track_age,mean_peak_track_mass,mean_peak_track_prominence
discovery,CONFIRMATION_DECISION,REMOVED,True,104,3.02279609033119,0.02906534702241529,2.037500099478105,-0.03987397416742121,0.13482869749449936,0.09615384615384616,0.23076923076923078,0.49038461538461536,45.44,0.24756262628144732,0.012547896086542353
discovery,CONFIRMATION_DECISION,RETAINED,False,469,0.4751945096319873,0.0010132079096630859,1.0464302377385342,-0.029612509706662585,0.08078106102963137,0.02771855010660981,0.0767590618336887,0.3624733475479744,78.0,0.29035798571297416,0.012799170506427149
discovery,TEMPORAL_STATE,ENSEMBLE_AMBIGUOUS,False,288,0.06313270141456817,0.00021921076880058391,1.0096023235411264,-0.030554398120035426,0.08280628724650968,0.027777777777777776,0.0798611111111111,0.3680555555555556,,,
discovery,TEMPORAL_STATE,LOST/TRANSITION,True,58,0.7193527057235319,0.012402632857302275,1.4312099814881374,-0.037788387891387706,0.11134247461593186,0.06896551724137931,0.15517241379310345,0.41379310344827586,30.818181818181817,0.28943361662680506,0.015849487803006254
discovery,TEMPORAL_STATE,MERGE,True,13,1.129161462582756,0.08685857404482739,4.504996659874682,-0.04617352482242665,0.19894384765912415,0.15384615384615385,0.46153846153846156,0.6153846153846154,33.0,0.1822733086107171,0.011610531812592435
discovery,TEMPORAL_STATE,SPLIT,True,33,1.1742819220249028,0.0355843006674213,2.2720222992292363,-0.041057908879387026,0.1508500300647051,0.12121212121212122,0.2727272727272727,0.5757575757575758,60.916666666666664,0.2200624380766578,0.00967766439210876
discovery,TEMPORAL_STATE,VALID_CANONICAL_BASE,False,181,0.4120618082174191,0.002276584575786846,1.1125895123024592,-0.028113814330688113,0.07755860163481942,0.027624309392265192,0.0718232044198895,0.35359116022099446,78.0,0.29035798571297416,0.012799170506427149
discovery,CANONICAL_BASE_STATE,NOT_VALID,False,392,3.0859287917457587,0.007872267325882037,1.3252361953485148,-0.03302693870403574,0.09660815118985387,0.04591836734693878,0.11989795918367346,0.4005102040816326,45.44,0.24756262628144732,0.012547896086542354
discovery,CANONICAL_BASE_STATE,VALID,False,181,0.4120618082174191,0.002276584575786846,1.1125895123024592,-0.028113814330688113,0.07755860163481942,0.027624309392265192,0.0718232044198895,0.35359116022099446,78.0,0.29035798571297416,0.012799170506427149
discovery,AMBIGUITY_STATE,AMBIGUOUS,False,288,0.06313270141456817,0.00021921076880058391,1.0096023235411264,-0.030554398120035426,0.08280628724650968,0.027777777777777776,0.0798611111111111,0.3680555555555556,,,
