variant,split,net_return,profit_factor,weighted_profit_factor,max_drawdown,sharpe,sortino,calmar,exposure,turnover,transaction_costs,completed_trades,portfolio_admitted_entries,top_decile_winners_retained,top_decile_winners,top_decile_mfe_retained_fraction,winner_pnl_retained_fraction,large_losers_removed_or_reduced,large_losers,weighted_mean_return,weighted_mae,weighted_mfe,weighted_large_loss_probability
P0_PRICE_ONLY,validation,0.10865219417555605,1.4961840357335199,1.4961840357335197,-0.12611613807255473,1.5397749868120392,2.1202403304155273,2.957419187396172,0.966984468214279,14.476252775396919,0.02007071712219785,1017,74,102,102,1.0,1.0,0,90,0.014144185725938263,-0.042114488662744906,0.11052696693971435,0.08849557522123894
P0_PRICE_ONLY,holdout,-0.160279876905715,0.6033865884414429,0.6033865884414429,-0.20155041212759228,-2.640095800297094,-3.815069092940173,-2.0332803139020412,0.9681458083857789,16.363554026339393,0.020477196675292922,915,84,92,92,1.0,1.0,0,60,-0.013793261603550431,-0.043603573748740264,0.06104166114886108,0.06557377049180328
I_CONFIRMATION_ONLY,validation,0.11916714535095174,1.603254761241464,1.6032547612414643,-0.07589204618630108,1.6523011865544128,2.7335248983549887,5.447101778816639,0.9550898897379103,13.772643411072067,0.018636918468641323,731,71,68,102,0.6804297420969716,0.7095332731373735,39,90,0.01584144310694363,-0.039283012947799206,0.1064784637983529,0.06976744186046512
I_CONFIRMATION_ONLY,holdout,-0.029391143376105933,0.6098802378464379,0.6098802378464381,-0.13412781865812495,-0.4031598105027791,-0.6452200812546816,-0.6420323195125309,0.9583811095587911,16.414423796512867,0.021786189347582918,732,84,71,92,0.7652109291186365,0.7862487009342072,20,60,-0.01319224091568422,-0.042220880389344254,0.05832703031709008,0.0546448087431694
P6_DETERIORATION_DERISK,validation,0.2208175305050153,1.9848892071628663,1.984889207162867,-0.0754304138200288,3.402352813195593,5.842309890557838,11.219065659568425,0.8237335147596782,10.875229500701593,0.01509462789831798,63,48,5,102,0.05538509642664346,0.07962865718730161,88,90,0.02119291261094373,-0.031271005103477335,0.10793764912271428,0.03174603174603176
P6_DETERIORATION_DERISK,holdout,0.06395533151689503,0.6804314666168177,0.6804314666168175,-0.14159205079948756,1.0766239092980658,1.9633747694043135,1.4533841208821068,0.8323903295427838,14.35610706429503,0.021608101840491275,90,60,6,92,0.0981664072908809,0.1213708365964755,58,60,-0.009510799779805264,-0.03649305488123049,0.0496754840839548,0.022222222222222227
SOFT_S1_MILD,validation,0.08900720009862328,1.4961840357335199,1.566487422037964,-0.10078357479819877,1.6560132510416494,2.390259718061601,2.972472590362838,0.7265418782207937,11.042957540198097,0.015261596614085084,1017,74,102,102,0.7667042111183326,0.7615454275728092,74,90,0.015640444219353383,-0.0410481267895795,0.11031912164408393,0.08085106382978724
SOFT_S1_MILD,holdout,-0.12333754809305941,0.6033865884414429,0.5936543952383042,-0.15523946052526683,-2.5662800209736014,-3.4132378592128494,-2.112217813904492,0.7732802660148203,13.338611538228168,0.017041295013454562,915,84,92,92,0.7470412303939594,0.7559172805552412,46,60,-0.013987536550386263,-0.04306211395505408,0.059330127408095464,0.061246040126715945
SOFT_S2_CONSERVATIVE,validation,0.07396265328628537,1.4961840357335199,1.6529884478272967,-0.0789218919803012,1.7567275973828504,2.760749872538645,3.106721268603411,0.5504699797586508,8.463310004364539,0.011649151381511846,1017,74,102,102,0.6133009867124224,0.5957075368612752,74,90,0.017538276898297126,-0.040204839909559656,0.11125270621807916,0.0743127147766323
SOFT_S2_CONSERVATIVE,holdout,-0.10246664400311489,0.6033865884414429,0.5759991118156527,-0.12506185322761842,-2.6386884644792397,-3.367628200661411,-2.2263343865848593,0.6201408734394342,10.83519464241351,0.014026663403880063,915,84,92,92,0.55277972850826,0.5652723858769304,46,60,-0.014493405545246234,-0.042667318416020526,0.0575324434861972,0.058049886621315196
DETERIORATION_D1_BLOCK_ADDS,validation,0.10865219417555605,1.4961840357335199,1.4961840357335197,-0.12611613807255473,1.5397749868120392,2.1202403304155273,2.957419187396172,0.966984468214279,14.476252775396919,0.02007071712219785,1017,74,102,102,1.0,1.0,0,90,0.014144185725938263,-0.042114488662744906,0.11052696693971435,0.08849557522123894
DETERIORATION_D1_BLOCK_ADDS,holdout,-0.160279876905715,0.6033865884414429,0.6033865884414429,-0.20155041212759228,-2.640095800297094,-3.815069092940173,-2.0332803139020412,0.9681458083857789,16.363554026339393,0.020477196675292922,915,84,92,92,1.0,1.0,0,60,-0.013793261603550431,-0.043603573748740264,0.06104166114886108,0.06557377049180328
DETERIORATION_D2_REDUCE_25_RETAIN_CORE,validation,0.10967578485375196,1.498666708364407,1.4986667083644074,-0.12530582517481437,1.5540117595870087,2.140723732686641,3.0076628795333624,0.966709791833358,14.476708618958599,0.020079204020048893,1017,74,102,102,1.0,1.0000322289834227,0,90,0.014195534942273135,-0.042114488662744906,0.11052696693971435,0.08849557522123894
DETERIORATION_D2_REDUCE_25_RETAIN_CORE,holdout,-0.15658993251592457,0.6029820694514555,0.6029820694514556,-0.19826108053334457,-2.569375386971594,-3.7045031372930466,-2.027352671790847,0.9658132682049673,16.350492670182263,0.020510771261361655,915,84,92,92,1.0,0.9975244240209088,1,60,-0.01378281094229707,-0.043603573748740264,0.06104166114886108,0.06448087431693988
DETERIORATION_D3_PRICE_CONFIRMED_REDUCE_50,validation,0.10865219417555605,1.500398207007515,1.5003982070075155,-0.12611613807255473,1.5397749868120392,2.1202403304155273,2.957419187396172,0.966984468214279,14.476252775396919,0.02007071712219785,1017,74,102,102,1.0,1.0009271793302434,0,90,0.01423773742261394,-0.042114488662744906,0.11052696693971435,0.08849557522123894
DETERIORATION_D3_PRICE_CONFIRMED_REDUCE_50,holdout,-0.15601811011304267,0.6018639234277016,0.6018639234277017,-0.1977161810937158,-2.5597903785240197,-3.6898507648838326,-2.0267452488129343,0.9655752835785725,16.351900043967152,0.02050287412344598,915,84,92,92,1.0,0.9942188861528735,1,60,-0.013806083191237235,-0.043603573748740264,0.06104166114886108,0.06448087431693988
BEST_PREREGISTERED_SOFT_COMBINED,validation,0.08900720009862328,1.500398207007515,1.5721153668123249,-0.10078357479819877,1.6560132510416494,2.390259718061601,2.972472590362838,0.7265418782207937,11.042957540198097,0.015261596614085084,1017,74,102,102,0.7667042111183326,0.7623027014981547,74,90,0.01575536716621968,-0.0410481267895795,0.11031912164408393,0.08085106382978724
BEST_PREREGISTERED_SOFT_COMBINED,holdout,-0.12201648835075463,0.6018639234277016,0.591460379544499,-0.15396647439691946,-2.537654779373163,-3.3669371203239025,-2.109794785582081,0.7720418506598931,13.338784574285727,0.01705819927143079,915,84,92,92,0.7470412303939594,0.7501361667081146,47,60,-0.014014118782332092,-0.04306211395505408,0.059330127408095464,0.059838085181274196
