stage_number,stage,split,baseline_trades,baseline_trades_remaining,baseline_winners,baseline_winners_remaining,baseline_top_decile_winners,baseline_top_decile_winners_remaining,baseline_losers_removed,baseline_large_losers_removed,total_baseline_mfe,total_baseline_mfe_retained,total_baseline_mfe_retained_fraction,total_top_decile_mfe,total_top_decile_mfe_retained,total_top_decile_mfe_retained_fraction,baseline_realized_return_sum,effective_realized_return_sum_retained,incremental_top_decile_winners_lost,incremental_baseline_trades_removed
0,P0_PRICE_ONLY,discovery,573,573,221,221,58,58,0,0,51.908502162325036,51.908502162325036,1.0,16.108292848647515,16.108292848647515,1.0,3.4979905999631775,3.4979905999631775,-0.0,-0.0
1,P1_TEMPORAL_CONFIRMATION,discovery,573,469,221,170,58,35,53,10,51.908502162325036,37.88631762289711,0.7298672865655298,16.108292848647515,8.616608519338438,0.5349175483894872,3.4979905999631775,0.4751945096319873,23.0,104.0
2,P2_CANONICAL_PERSISTENCE,discovery,573,138,221,51,58,9,265,20,51.908502162325036,10.71016969266612,0.20632785086292693,16.108292848647515,2.4159392963259134,0.14998108856263812,3.4979905999631775,0.7048673369901484,26.0,331.0
3,P3_MASS_PROMINENCE,discovery,573,44,221,17,58,1,325,22,51.908502162325036,3.101223004487739,0.0597440279588455,16.108292848647515,0.3362068965517242,0.02087166527891581,3.4979905999631775,0.0017066646930844476,8.0,94.0
4,P4_CHIP_SIZING,discovery,573,44,221,17,58,1,325,22,51.908502162325036,3.980736517857246,0.07668756276975465,16.108292848647515,0.43155589543937717,0.02679091443731801,3.4979905999631775,0.002190678470289864,-0.0,-0.0
5,P5_HEALTHY_HOLDING,discovery,573,44,221,17,58,1,325,22,51.908502162325036,4.246217639686848,0.08180196813247165,16.108292848647515,0.43155589543937717,0.02679091443731801,3.4979905999631775,0.3064050791517662,-0.0,-0.0
6,P6_DETERIORATION_DERISK,discovery,573,44,221,17,58,1,325,22,51.908502162325036,4.246217639686848,0.08180196813247165,16.108292848647515,0.43155589543937717,0.02679091443731801,3.4979905999631775,0.3064050791517662,-0.0,-0.0
0,P0_PRICE_ONLY,holdout,915,915,219,219,92,92,0,0,55.85311995120789,55.85311995120789,1.0,23.350007259348512,23.350007259348512,1.0,-12.620834367248644,-12.620834367248644,-0.0,-0.0
1,P1_TEMPORAL_CONFIRMATION,holdout,915,732,219,175,92,71,139,20,55.85311995120789,42.695386192109936,0.7644225824700165,23.350007259348512,17.867680749852983,0.7652109291186365,-12.620834367248644,-9.65672035028085,21.0,183.0
2,P2_CANONICAL_PERSISTENCE,holdout,915,233,219,47,92,16,510,51,55.85311995120789,12.008098017147049,0.21499422105044572,23.350007259348512,4.53680313441795,0.19429557704319664,-12.620834367248644,-3.6607890833855423,55.0,499.0
3,P3_MASS_PROMINENCE,holdout,915,90,219,19,92,6,625,57,55.85311995120789,4.435296296629012,0.07941000073950379,23.350007259348512,1.7857451562434308,0.07647728484231978,-12.620834367248644,-1.1562589566707961,10.0,143.0
4,P4_CHIP_SIZING,holdout,915,90,219,19,92,6,625,57,55.85311995120789,5.693155864624606,0.1019308477234222,23.350007259348512,2.2921863228662316,0.0981664072908809,-12.620834367248644,-1.4841764833610351,-0.0,-0.0
5,P5_HEALTHY_HOLDING,holdout,915,90,219,19,92,6,625,57,55.85311995120789,5.738720237924616,0.10274663694593679,23.350007259348512,2.2921863228662316,0.0981664072908809,-12.620834367248644,-1.1839009652615775,-0.0,-0.0
6,P6_DETERIORATION_DERISK,holdout,915,90,219,19,92,6,625,57,55.85311995120789,5.738720237924616,0.10274663694593679,23.350007259348512,2.2921863228662316,0.0981664072908809,-12.620834367248644,-1.0987274745621805,-0.0,-0.0
0,P0_PRICE_ONLY,validation,1017,1017,416,416,102,102,0,0,112.4059253776895,112.4059253776895,1.0,41.0215302383202,41.0215302383202,1.0,14.384636883279214,14.384636883279214,-0.0,-0.0
1,P1_TEMPORAL_CONFIRMATION,validation,1017,731,416,304,102,68,174,39,112.4059253776895,77.83575703659596,0.6924524376723376,41.0215302383202,27.912269240483337,0.6804297420969716,14.384636883279214,11.580094911175795,34.0,286.0
2,P2_CANONICAL_PERSISTENCE,validation,1017,214,416,92,102,23,479,78,112.4059253776895,23.694702734388486,0.2107958513287721,41.0215302383202,9.625962856318404,0.23465635729323245,14.384636883279214,4.832924758828136,45.0,517.0
3,P3_MASS_PROMINENCE,validation,1017,63,416,28,102,5,566,88,112.4059253776895,6.566250114670138,0.0584155158423118,41.0215302383202,1.7700043637868788,0.04314817983395051,14.384636883279214,0.9439479442658838,18.0,151.0
4,P4_CHIP_SIZING,validation,1017,63,416,28,102,5,566,88,112.4059253776895,8.42845276815858,0.07498228175995669,41.0215302383202,2.271981407817835,0.05538509642664346,14.384636883279214,1.211653611255268,-0.0,-0.0
5,P5_HEALTHY_HOLDING,validation,1017,63,416,28,102,5,566,88,112.4059253776895,8.728586907887236,0.07765237356090214,41.0215302383202,2.271981407817835,0.05538509642664346,14.384636883279214,1.6735495984630868,-0.0,-0.0
6,P6_DETERIORATION_DERISK,validation,1017,63,416,28,102,5,566,88,112.4059253776895,8.728586907887236,0.07765237356090214,41.0215302383202,2.271981407817835,0.05538509642664346,14.384636883279214,1.7138058968245018,-0.0,-0.0
