variant,split,portfolio_net_return,completed_equal_trade_profit_factor,completed_size_weighted_profit_factor,admitted_completed_equal_trade_profit_factor,realized_period_money_weighted_profit_factor,completed_lifecycle_money_weighted_profit_factor,realized_net_pnl,terminal_unrealized_net_pnl,terminal_open_positions,transaction_costs,average_exposure,sizing_contribution_to_portfolio_return,positive_portfolio_return_with_pf_below_one,reconciliation_explanation
P0_PRICE_ONLY,validation,0.10865219417555605,1.4961840357335199,1.4961840357335197,1.0143854305476638,1.3547149502033018,1.4351709984055354,0.0721769708341439,0.0322940218535911,10,0.02007071712219785,0.966984468214279,0.0,False,NONE
P0_PRICE_ONLY,holdout,-0.160279876905715,0.6033865884414429,0.6033865884414429,0.38413938716110435,0.3371108438917104,0.40823475010574756,-0.20144807288829525,0.030591558798868646,10,0.020477196675292922,0.9681458083857789,0.0,False,NONE
I_CONFIRMATION_ONLY,validation,0.11916714535095174,1.603254761241464,1.6032547612414643,1.4109758044861327,1.567777608844999,1.7067763144345967,0.10300825785612544,0.011285546678377535,10,0.018636918468641323,0.9550898897379103,0.0,False,NONE
I_CONFIRMATION_ONLY,holdout,-0.029391143376105933,0.6098802378464379,0.6098802378464381,0.8671266798510732,0.7690780790777507,0.8151760669144098,-0.0646924134817527,0.03314399541839867,10,0.021786189347582918,0.9583811095587911,0.0,False,NONE
P6_DETERIORATION_DERISK,validation,0.2208175305050153,1.9848892071628663,1.984889207162867,2.900586585367552,3.2213004678677137,3.3828377715271265,0.18359008465587803,0.03050812420821078,8,0.01509462789831798,0.8237335147596782,0.0014309668619394422,False,NONE
P6_DETERIORATION_DERISK,holdout,0.06395533151689503,0.6804314666168177,0.6804314666168175,0.8616053632564409,0.7926824024361446,0.9034333949498532,-0.05348418897296208,0.1291861268047679,7,0.02160810184049128,0.8323903295427838,0.034832501422478845,True,POSITIVE_TERMINAL_MARK_TO_MARKET+CAPACITY_SELECTED_ADMITTED_SUBSET+POSITION_SIZING+TRADE_PF_IS_EQUAL_RETURN_AND_EXCLUDES_OPEN_TRADES
SOFT_S1_MILD,validation,0.08900720009862328,1.4961840357335199,1.566487422037964,1.0143854305476638,1.469852218634462,1.5456948717192842,0.07008355291535445,0.016383333897080826,10,0.015261596614085084,0.7265418782207937,-0.019644994076932765,False,NONE
SOFT_S1_MILD,holdout,-0.12333754809305941,0.6033865884414429,0.5936543952383042,0.38413938716110435,0.3510767892042691,0.395938336694812,-0.15629078886041048,0.025808746809435554,10,0.017041295013454562,0.7732802660148203,0.03694232881265558,False,NONE
SOFT_S2_CONSERVATIVE,validation,0.07396265328628537,1.4961840357335199,1.6529884478272967,1.0143854305476638,1.5765599444009843,1.6465108281903342,0.06411380126305735,0.008310028994765309,10,0.011649151381511846,0.5504699797586508,-0.034689540889270676,False,NONE
SOFT_S2_CONSERVATIVE,holdout,-0.10246664400311489,0.6033865884414429,0.5759991118156527,0.38413938716110435,0.34749907672954383,0.37503534735577615,-0.12657019873009395,0.018814388021787386,10,0.014026663403880063,0.6201408734394342,0.0578132329026001,False,NONE
DETERIORATION_D1_BLOCK_ADDS,validation,0.10865219417555605,1.4961840357335199,1.4961840357335197,1.0143854305476638,1.3547149502033018,1.4351709984055354,0.0721769708341439,0.0322940218535911,10,0.02007071712219785,0.966984468214279,0.0,False,NONE
DETERIORATION_D1_BLOCK_ADDS,holdout,-0.160279876905715,0.6033865884414429,0.6033865884414429,0.38413938716110435,0.3371108438917104,0.40823475010574756,-0.20144807288829525,0.030591558798868646,10,0.020477196675292922,0.9681458083857789,0.0,False,NONE
DETERIORATION_D2_REDUCE_25_RETAIN_CORE,validation,0.10967578485375196,1.498666708364407,1.4986667083644074,1.0196478896859937,1.3592826947568408,1.439718285940701,0.07313399080847331,0.03232120229112185,10,0.020079204020048893,0.966709791833358,0.0,False,NONE
DETERIORATION_D2_REDUCE_25_RETAIN_CORE,holdout,-0.15658993251592457,0.6029820694514555,0.6029820694514556,0.3852692335050399,0.34570725719519774,0.41775772298370367,-0.19801088192949623,0.03093369044544699,10,0.020510771261361655,0.9658132682049673,0.0,False,NONE
DETERIORATION_D3_PRICE_CONFIRMED_REDUCE_50,validation,0.10865219417555605,1.500398207007515,1.5003982070075155,1.0143854305476638,1.3547149502033018,1.4351709984055354,0.0721769708341439,0.0322940218535911,10,0.02007071712219785,0.966984468214279,0.0,False,NONE
DETERIORATION_D3_PRICE_CONFIRMED_REDUCE_50,holdout,-0.15601811011304267,0.6018639234277016,0.6018639234277017,0.38627050036970406,0.34651633187021846,0.4187548213723165,-0.19724323706148844,0.030929717589450116,10,0.02050287412344598,0.9655752835785725,0.0,False,NONE
BEST_PREREGISTERED_SOFT_COMBINED,validation,0.08900720009862328,1.500398207007515,1.5721153668123249,1.0143854305476638,1.469852218634462,1.5456948717192842,0.07008355291535445,0.016383333897080826,10,0.015261596614085084,0.7265418782207937,-0.019644994076932765,False,NONE
BEST_PREREGISTERED_SOFT_COMBINED,holdout,-0.12201648835075463,0.6018639234277016,0.591460379544499,0.38627050036970406,0.3533264730192057,0.39852422604366144,-0.1549320966531303,0.02584763851323827,10,0.01705819927143079,0.7720418506598931,0.03400162176228805,False,NONE
