warning_type,split,warnings,median_lead_sessions,mean_lead_sessions,large_loss_probability,false_warning_rate_profitable_trade,top_decile_winner_warning_rate,mean_mae,mean_mfe,mean_mfe_remaining_after_warning
D2_VALIDATED_DETERIORATION,holdout,8,5.0,4.875,0.125,0.125,0.125,-0.06187037288851255,0.10908006192958031,0.03433776741539507
D2_VALIDATED_DETERIORATION,validation,22,3.0,3.6363636363636362,0.0,0.8181818181818182,0.2727272727272727,-0.03310986847763278,0.2672185951023515,0.09101685511360995
D3_DETERIORATION_PLUS_PRICE,holdout,8,4.5,4.5,0.125,0.125,0.125,-0.06187037288851255,0.10908006192958031,0.03433776741539507
D3_DETERIORATION_PLUS_PRICE,validation,12,1.0,0.9166666666666666,0.0,0.75,0.08333333333333333,-0.036157628653752716,0.13052886417093992,0.005004084967320262
