route,segment,policy,test,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days,remaining_advantage_amount,independent_trigger_dates
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,EXTRA_EXIT_10BP,420,420.0,0.0,420.0,86.0,34.0,33.0,0.0,22.0,-0.0020131388879174733,0.0,-0.032734296931486107,243.0,3.0,3.0,3.0,-0.025432359475011747,22.0,12.0,0.021449890387199022,-0.1359330190663747,-0.12646173892927384,346.0,,
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,DELAY_ONE_SESSION,420,420.0,0.0,420.0,86.0,34.0,28.0,0.0,22.0,-0.0018527110311746314,0.0,-0.02838140663983377,243.0,3.0,3.0,3.0,-0.0246784169637193,22.0,10.0,0.018583496274830986,-0.1359330190663747,-0.1285229496757315,309.0,,
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2021,124,124.0,0.0,124.0,26.0,6.0,6.0,0.0,5.0,-0.005861315053386719,0.0,-0.0260123031943504,84.0,2.0,2.0,2.0,-0.020348141547510114,2.0,0.0,,-0.09279706548888185,-0.11411362353139333,87.0,,
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2022,145,145.0,0.0,145.0,39.0,23.0,22.0,0.0,13.0,0.0008162649690496497,0.0,0.0048479870065209225,78.0,0.0,0.0,0.0,,16.0,10.0,0.020552964156390997,-0.1691682783123335,-0.13161176837025934,221.0,,
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2023,151,151.0,0.0,151.0,21.0,5.0,5.0,0.0,4.0,-0.001376396198986864,0.0,-0.010199158940165971,81.0,1.0,1.0,1.0,-0.0049835969665841875,4.0,2.0,0.0014110888087096316,-0.10297053159540402,-0.10957835466563823,38.0,,
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,420,,,,,,,,,,,,,,,,,,,,,,,-0.037839042778513694,22.0
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,420,,,,,,,,,,,,,,,,,,,,,,,-0.04661866434881937,22.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,EXTRA_EXIT_10BP,49,49.0,0.0,49.0,17.0,9.0,9.0,0.0,7.0,-0.00011364272589698492,0.0,-0.001243403114000639,37.0,1.0,1.0,1.0,-0.006426253366527967,5.0,4.0,0.010976165713661426,-0.18367296032389135,-0.12562728620561656,127.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,DELAY_ONE_SESSION,49,49.0,0.0,49.0,17.0,9.0,9.0,0.0,7.0,-0.00025966286422698736,0.0,-0.001771490453569136,37.0,1.0,1.0,1.0,-0.00425286410739171,5.0,5.0,0.007791362929359116,-0.18367296032389135,-0.14758838405980024,118.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2021,8,8.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,-0.0543166298980986,-0.0543166298980986,0.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2022,38,38.0,0.0,38.0,9.0,8.0,8.0,0.0,6.0,-0.0008829067030190101,0.0,-0.0030012264186894495,29.0,1.0,1.0,1.0,-0.006379296161087559,4.0,3.0,0.008992785934363888,-0.19759034327973246,-0.1272219748048496,107.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,YEAR_2023,3,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.012010432193322202,0.0,0.002161600274786765,1.0,0.0,0.0,0.0,,1.0,1.0,0.002161600274786765,-0.15583819441220914,-0.11980689783224252,20.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_1_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.007122717387754168,7.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,REMOVE_BEST_5_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.010466387925853356,7.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,EXTRA_EXIT_10BP,49,49.0,0.0,49.0,17.0,9.0,8.0,0.0,8.0,-0.0038834848903303645,0.0,-0.010585937469531473,37.0,2.0,2.0,2.0,-0.013138071015814603,5.0,3.0,0.009680759615236378,-0.18367296032389135,-0.13612786580271363,119.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,DELAY_ONE_SESSION,49,49.0,0.0,49.0,17.0,9.0,8.0,0.0,8.0,-0.001675095702335844,0.0,-0.004650495865934841,37.0,2.0,2.0,2.0,-0.008158274869470194,5.0,3.0,0.00797443056902134,-0.18367296032389135,-0.13619491534262315,111.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,YEAR_2021,8,8.0,0.0,8.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,-0.0543166298980986,-0.0543166298980986,0.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,YEAR_2022,38,38.0,0.0,38.0,9.0,7.0,7.0,0.0,6.0,-0.005768963759694868,0.0,-0.012374465308313723,29.0,2.0,2.0,2.0,-0.013040301318744254,4.0,2.0,0.007662827289663482,-0.19759034327973246,-0.13852312439673992,99.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,YEAR_2023,3,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.012010432193322202,0.0,0.002161600274786765,1.0,0.0,0.0,0.0,,1.0,1.0,0.002161600274786765,-0.15583819441220914,-0.11980689783224252,20.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,REMOVE_BEST_1_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.015332420861850393,8.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,REMOVE_BEST_5_TRIGGER_DATES,49,,,,,,,,,,,,,,,,,,,,,,,-0.019931576218717127,8.0
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,EXTRA_EXIT_10BP,49,49.0,0.0,49.0,17.0,18.0,18.0,0.0,12.0,-0.00960318985067527,0.0,-0.023200700794663735,37.0,8.0,8.0,8.0,-0.0353495729482404,5.0,5.0,0.014501056914776036,-0.18367296032389135,-0.16957940902641644,283.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,DELAY_ONE_SESSION,49,49.0,0.0,49.0,17.0,18.0,18.0,0.0,12.0,-0.006534042364949563,0.0,-0.01682678645558819,37.0,8.0,8.0,7.0,-0.03417546129964658,5.0,4.0,0.020484836603595367,-0.18367296032389135,-0.1553920449857655,251.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,YEAR_2021,8,8.0,0.0,8.0,6.0,2.0,2.0,0.0,2.0,-0.01258115348250868,0.0,-0.0031324822581973526,7.0,1.0,1.0,1.0,-0.004860389188434953,0.0,0.0,,-0.0543166298980986,-0.04068704695871417,23.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,YEAR_2022,38,38.0,0.0,38.0,9.0,15.0,15.0,0.0,9.0,-0.009423710395947443,0.0,-0.019576810685994674,29.0,7.0,7.0,7.0,-0.030119498315633972,4.0,4.0,0.01441963801955864,-0.19759034327973246,-0.17777430135141525,246.0,,
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,YEAR_2023,3,3.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0017157760276174446,0.0,0.00030880003925524985,1.0,0.0,0.0,0.0,,1.0,1.0,0.00030880003925524985,-0.15583819441220914,-0.1506908663293568,14.0,,
