route,policy,period,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days
MCB,profit_0,DISCOVERY,714,714,0,714,85,185,178,1,100,-0.006885848844705846,0.0,-0.1046327670055903,460,82,81,73,-0.16933473295762438,31,12,0.023259010621691615,-0.12133123470115399,-0.10999919704736306,1912.0
MCB,profit_0,EVALUATION,294,294,0,294,39,66,64,0,47,-0.0008164681453653689,0.0,-0.0063588072430037475,172,23,23,19,-0.04335940916467381,15,5,0.015897321929176547,-0.12752046071899029,-0.11572929213965696,648.0
