route,year,train_states,test_states,train_events,test_events,train_last_label,test_first_entry,episode_overlap,event_cluster_overlap,train_signal_dates,test_signal_dates,discovery_boundary_excluded_states,status
ATRDR_BULL,2016,4409,1917,310,136,2015-11-16 16:00:00,2016-02-23,0,0,73,38,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2017,6333,1808,446,122,2016-12-21 09:30:00,2017-02-21,0,0,111,32,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2018,8166,1674,570,112,2017-10-20 09:30:00,2018-01-04,0,0,145,21,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2019,9824,2757,681,213,2018-12-25 16:00:00,2019-01-22,0,0,166,32,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2020,11993,2345,855,179,2019-12-31 16:00:00,2020-01-06,0,0,194,30,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2021,14942,1610,1074,124,2020-09-17 09:30:00,2021-03-08,0,0,228,26,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2022,16392,2124,1188,145,2021-12-31 09:30:00,2022-01-05,0,0,252,39,0,PURGED_FORWARD_SPLIT
ATRDR_BULL,2023,18676,2169,1343,151,2022-12-22 09:30:00,2023-01-19,0,0,293,21,0,PURGED_FORWARD_SPLIT
ATRDR_FAST_BEAR,2016,242,358,31,22,2015-08-13 09:30:00,2016-01-21,0,0,4,5,0,PURGED_FORWARD_SPLIT
ATRDR_FAST_BEAR,2017,477,21,48,1,2016-03-15 09:30:00,2017-05-04,0,0,7,1,0,INSUFFICIENT_EVENTS
ATRDR_FAST_BEAR,2018,624,0,55,0,2017-06-06 09:30:00,,0,0,10,0,0,INSUFFICIENT_EVENTS
ATRDR_FAST_BEAR,2019,624,35,55,2,2017-06-06 09:30:00,2019-05-30,0,0,10,2,0,INSUFFICIENT_EVENTS
ATRDR_FAST_BEAR,2020,659,268,57,22,2019-12-19 09:30:00,2020-02-11,0,0,12,4,0,PURGED_FORWARD_SPLIT
ATRDR_FAST_BEAR,2021,927,65,79,8,2020-11-11 09:30:00,2021-08-10,0,0,16,6,0,PURGED_FORWARD_SPLIT
ATRDR_FAST_BEAR,2022,992,452,87,38,2021-12-02 09:30:00,2022-02-15,0,0,22,9,0,PURGED_FORWARD_SPLIT
ATRDR_FAST_BEAR,2023,1444,45,125,3,2022-11-17 09:30:00,2023-08-30,0,0,31,2,0,INSUFFICIENT_EVENTS
ATRDR_SLOW_BEAR,2016,465,547,30,55,2015-10-26 16:00:00,2016-02-05,0,0,14,8,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2017,1012,961,85,57,2016-06-23 09:30:00,2017-01-25,0,0,22,27,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2018,1785,2047,132,165,2017-12-11 16:00:00,2018-01-10,0,0,43,39,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2019,4020,203,307,12,2018-12-06 09:30:00,2019-06-14,0,0,88,8,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2020,4223,348,319,21,2019-12-03 09:30:00,2020-04-08,0,0,96,15,42,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2021,4571,780,340,53,2020-12-25 16:00:00,2021-01-07,0,0,111,17,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2022,5393,957,395,69,2021-12-13 09:30:00,2022-02-28,0,0,129,19,0,PURGED_FORWARD_SPLIT
ATRDR_SLOW_BEAR,2023,6350,466,464,35,2022-11-08 16:00:00,2023-05-16,0,0,148,12,0,PURGED_FORWARD_SPLIT
MCB,2016,2450,995,175,72,2015-11-16 16:00:00,2016-06-07,0,0,20,10,0,PURGED_FORWARD_SPLIT
MCB,2017,3445,1213,247,83,2016-11-16 09:30:00,2017-02-21,0,0,30,11,0,PURGED_FORWARD_SPLIT
MCB,2018,4658,1021,330,70,2017-10-13 09:30:00,2018-01-04,0,0,41,10,0,PURGED_FORWARD_SPLIT
MCB,2019,5679,2099,400,168,2018-12-11 09:30:00,2019-02-15,0,0,51,18,0,PURGED_FORWARD_SPLIT
MCB,2020,7360,1818,540,146,2019-12-31 16:00:00,2020-03-04,0,0,67,16,0,PURGED_FORWARD_SPLIT
MCB,2021,9596,1199,714,91,2020-09-17 09:30:00,2021-04-08,0,0,85,12,0,PURGED_FORWARD_SPLIT
MCB,2022,10683,1023,798,72,2021-12-23 09:30:00,2022-01-05,0,0,97,13,0,PURGED_FORWARD_SPLIT
MCB,2023,11818,1857,877,131,2022-11-30 09:30:00,2023-01-19,0,0,110,14,0,PURGED_FORWARD_SPLIT
OGR,2020,1902,130,221,10,2019-12-18 09:42:00,2020-02-18,0,0,35,4,0,PURGED_FORWARD_SPLIT
OGR,2021,2032,196,231,24,2020-12-09 09:30:00,2021-01-18,0,0,39,16,0,PURGED_FORWARD_SPLIT
OGR,2022,2228,408,255,35,2021-12-15 09:30:00,2022-03-31,0,0,55,17,0,PURGED_FORWARD_SPLIT
OGR,2023,2636,107,290,9,2022-12-12 09:30:00,2023-03-23,0,0,72,8,0,PURGED_FORWARD_SPLIT
SMV6,2020,212,372,11,16,2019-11-18 09:30:00,2020-06-09,0,0,9,11,0,INSUFFICIENT_EVENTS
SMV6,2021,612,112,28,12,2020-12-18 09:30:00,2021-01-04,0,0,23,11,0,PURGED_FORWARD_SPLIT
SMV6,2022,833,130,44,6,2021-12-24 15:00:00,2022-06-08,0,0,35,4,0,PURGED_FORWARD_SPLIT
SMV6,2023,963,228,50,15,2022-08-19 15:00:00,2023-01-04,0,0,39,10,0,PURGED_FORWARD_SPLIT
