account,blocks,n_days,paired_mean_daily_difference,ci025,ci975,repetitions,limitation
ATRDR_BULL_CONTINUOUS_2014_2023_fixed_0.1,36,727,-1.304099413099547e-05,-3.489038654497594e-05,8.594173196096992e-06,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_H1_2,36,727,-1.5630443281087452e-06,-7.0000615578451715e-06,2.3644470853634963e-06,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_H2_0,36,727,-4.180632391147975e-06,-2.5696815030311615e-05,1.8164520521827227e-05,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
ATRDR_FAST_BEAR_CONTINUOUS_2014_2023_fixed_0.1,36,727,6.01401458257373e-06,1.7308539702175123e-06,1.076494820246266e-05,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
ATRDR_SLOW_BEAR_CONTINUOUS_2014_2023_fixed_0.1,36,727,-7.0865772163071794e-06,-1.985559630341272e-05,3.3016644116181446e-06,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
IFCGR_2022_2023_fixed_0.1,23,458,-3.1065150623132053e-06,-7.299202400864447e-06,-5.792093921580224e-09,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
MCB_CONTINUOUS_2014_2023_fixed_0.1,36,727,-1.4546956714902437e-05,-2.9966380166636656e-05,-1.9826262976074504e-06,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
MCB_CONTINUOUS_2014_2023_profit_0,36,727,-5.916099659573322e-06,-2.9905840340463863e-05,2.2995672548780108e-05,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
OGR_2022_2023_fixed_0.1,23,458,-3.1065150623132053e-06,-7.299202400864447e-06,-5.792093921580224e-09,1000,Frozen comparison only; no claim to remove selection bias; ATRDR account remains quarantined
