route,mechanism_account_admitted,reason,top_events,top_dates
ATRDR_BULL,False,Predeclared discovery B1 gate; no evaluation parameter selection,585,143
ATRDR_FAST_BEAR,True,Predeclared discovery B1 gate; no evaluation parameter selection,24,8
ATRDR_SLOW_BEAR,False,Predeclared discovery B1 gate; no evaluation parameter selection,193,71
MCB,False,Predeclared discovery B1 gate; no evaluation parameter selection,398,62
OGR,False,Predeclared discovery B1 gate; no evaluation parameter selection,13,11
IFCGR,False,Predeclared discovery B1 gate; no evaluation parameter selection,0,0
