route,period,policy,new_exit_status,start,end,days,total_return,cagr,max_drawdown,sharpe,worst5_daily,worst_month,utilization,capital_days
SMV6,DISCOVERY,NATIVE,NOT_OPENED_DISCOVERY_GATE_NOT_MET,2018-01-02,2021-12-31,973,0.24342754620822116,0.0560574570388479,-0.08677612631310538,0.7259408583585845,-0.01296727989889667,-0.021618479282414782,0.1462370900584342,142.28868862685647
SMV6,EVALUATION,NATIVE,NOT_OPENED_DISCOVERY_GATE_NOT_MET,2022-01-04,2023-12-29,484,0.08521849519683822,0.04212071378171922,-0.07575382749573245,0.5333573875193074,-0.012502672280887351,-0.047485453131349664,0.1162886152495487,56.28368978078157
