route,pnl_bin,age_bin,atr_bin,broken_events,normal_events,broken_advantage,normal_advantage,interpretation
ATRDR_BULL,-6.0,3.0,1.0,33,4,-0.02665653207069959,-0.1537645857757227,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-5.0,0.0,1.0,4,8,-0.014162478592549129,-0.16368947912411758,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-5.0,1.0,1.0,19,7,-0.03292666400797566,-0.057404145987624174,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-5.0,2.0,1.0,32,8,-0.014170429601856972,-0.07706772553063093,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-5.0,3.0,1.0,62,6,-0.017057987880533476,-0.10077104378756384,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-5.0,4.0,1.0,56,3,-0.00709216401525043,-0.007034557203688874,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,0.0,1.0,7,9,-0.050310977645670545,-0.13192883753871237,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,1.0,1.0,39,20,-0.058785307089354304,-0.018748576905127608,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,2.0,0.0,13,4,-0.051816104981218726,-0.037800302878938444,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,2.0,1.0,51,23,-0.02777838502267301,-0.03975706348259092,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,3.0,0.0,23,4,-0.02611509876159533,0.022967581398120208,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,3.0,1.0,93,20,-0.02735691504152531,-0.008824410279939555,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,4.0,1.0,90,11,-0.009133381209753799,-0.041488422633239465,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-4.0,5.0,1.0,44,4,0.0,0.0,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,0.0,0.0,3,8,0.006647907015363213,-0.07258307242459075,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,0.0,1.0,8,61,-0.04816163165949587,-0.05703525679924424,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,1.0,0.0,13,15,-0.0467107069402786,-0.023044825514635988,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,1.0,1.0,56,78,-0.03731576011273409,-0.01979076529031588,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,2.0,0.0,32,15,-0.03384330100226333,-0.03758718282280483,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,2.0,1.0,92,79,-0.011165018007685424,-0.020742112863914964,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,3.0,0.0,39,17,-0.027965358005004565,-0.02330283475950798,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,3.0,1.0,90,75,-0.021350242472296423,-0.039017391219014645,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,4.0,0.0,45,13,-0.012448545884430357,-0.012155120472293609,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,4.0,1.0,92,54,-0.010467701955972289,-0.017379239831177593,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,5.0,0.0,39,6,0.0,0.0,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-3.0,5.0,1.0,53,16,0.0,0.0,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,0.0,0.0,3,80,0.0142706855385512,-0.05041629218229983,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,0.0,1.0,8,263,0.051237893531487375,-0.037944854973470596,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,1.0,0.0,18,101,-0.017866831776062637,-0.03220366673089623,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,1.0,1.0,39,261,-0.025983043587618024,-0.03654146812288739,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,2.0,0.0,30,84,-0.011422003960843707,-0.02444097705306625,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,2.0,1.0,46,211,-0.020736096051987257,-0.02765273585869672,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,3.0,0.0,26,80,-0.021426173761512506,-0.01101856200004453,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,3.0,1.0,36,165,-0.007038470735324081,-0.0156945574467804,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,4.0,0.0,34,62,0.0027747971203719913,0.0004525700871684243,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,4.0,1.0,44,144,-0.011783034299791223,-0.0047921452622519504,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,5.0,0.0,19,32,0.0,0.0,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-2.0,5.0,1.0,24,88,0.0,0.0,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_BULL,-1.0,4.0,0.0,3,128,-0.004684017268067952,-0.0024720470881832287,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_FAST_BEAR,-4.0,1.0,2.0,3,4,0.0016130538184891685,-0.02017125719590463,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_FAST_BEAR,-4.0,2.0,2.0,4,3,0.019673937369643315,-0.033248537090265685,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_FAST_BEAR,-3.0,1.0,2.0,3,5,-0.1388952019733031,0.0026594133129523617,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_FAST_BEAR,-2.0,0.0,5.0,4,3,-0.0424379181769015,-0.2061328557119,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-6.0,3.0,1.0,4,4,-0.027116692234753915,-0.0427169413090878,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-5.0,5.0,1.0,9,3,0.011481930416786735,-0.009042968403756499,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-5.0,6.0,1.0,7,5,0.005260059210701361,-0.009024358440427635,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-4.0,2.0,1.0,3,6,0.08848598068200013,-0.03751917283057074,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-4.0,3.0,1.0,3,6,-0.008517084619458328,0.010288376012063368,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-4.0,4.0,1.0,6,6,0.015139352053984437,0.019346224943972878,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-4.0,5.0,1.0,6,10,0.04862986345088995,-0.03239406138846677,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-4.0,6.0,1.0,5,9,-0.0052695047343692515,0.0015006397448606504,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-3.0,2.0,1.0,3,18,-0.05485500415664366,-0.017138447839962337,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
ATRDR_SLOW_BEAR,-3.0,6.0,1.0,3,14,0.006092172181207194,-0.009067027319037663,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-5.0,0.0,1.0,3,5,0.014421000104839989,-0.19374902571113425,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-5.0,1.0,1.0,9,3,-0.05793637604270685,-0.09962035780887729,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-5.0,2.0,1.0,17,3,-0.0313007477557668,-0.11640269712892926,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-5.0,3.0,1.0,33,4,-0.02905875434178225,-0.13054936476180123,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-5.0,4.0,1.0,27,3,-0.009257064570980496,-0.007034557203688874,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-4.0,1.0,1.0,19,11,-0.09965682145393008,-0.07621088729247143,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-4.0,2.0,1.0,32,16,-0.021864516991551237,-0.04105833821232967,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-4.0,3.0,0.0,14,3,-0.02440486686143242,0.04133219325769422,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-4.0,3.0,1.0,57,13,-0.02628894254098831,-0.06292032342634603,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-4.0,4.0,1.0,55,10,-0.011591307399526886,-0.04996580813823418,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-3.0,0.0,1.0,6,28,-0.0308775089463675,-0.0876237897268451,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-3.0,1.0,0.0,12,13,-0.04839911916898132,-0.03410797025869454,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-3.0,1.0,1.0,35,43,-0.05108693789279867,-0.054704648225931324,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
MCB,-3.0,2.0,0.0,23,12,-0.02761443483570388,-0.038442314436376836,"Descriptive matched states, repeated episodes across bins not independent, no parameter selection"
