route,segment,policy,event_id,matched_original_source_paths,state_rows,missing_required_states,model_domain,missing_behavior,note
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221114|000897.SZ,True,11,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221107|600250.SH,True,16,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221114|000897.SZ,True,11,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221107|002962.SZ,True,17,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221107|600250.SH,True,16,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221114|000897.SZ,True,11,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20211125|600267.SH,True,17,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20220531|000429.SZ,True,17,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20221107|600250.SH,True,16,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20221114|000897.SZ,True,11,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220516|600692.SH,True,22,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220520|603626.SH,True,21,3,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
OGR,2018_2021,fixed_0.1,600433.SH|2018-10-11,True,12,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
OGR,2018_2021,fixed_0.1,600884.SH|2018-10-11,True,8,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
IFCGR,2018_2021,fixed_0.1,600433.SH|2018-10-11,True,12,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
IFCGR,2018_2021,fixed_0.1,600884.SH|2018-10-11,True,8,0,NOT_APPLICABLE_HAND_CODED_RULE_NO_PREDICTED_ORDER,No rule trigger with missing required feature; native remains,Complete source path available; not restricted to baseline-funded episodes
