route,segment,policy,event_id,change
ATRDR_BULL,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221114|000897.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221107|600250.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221114|000897.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,fixed_0.1,V29|BULL|V29B|20221115|600162.SH,CANCELLED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221107|002962.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221107|600250.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221114|000897.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221115|600162.SH,CANCELLED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H1_2,V29|BULL|V29B|20221117|603170.SH,CANCELLED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20211125|600267.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20220531|000429.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20221107|600250.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20221114|000897.SZ,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220516|600692.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220520|603626.SH,NEWLY_FUNDED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20211208|600059.SH,CANCELLED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20220601|600035.SH,CANCELLED
ATRDR_FAST_BEAR,CONTINUOUS_2014_2023,H2_0,V29|BULL|V29B|20221115|600162.SH,CANCELLED
OGR,2018_2021,fixed_0.1,600433.SH|2018-10-11,NEWLY_FUNDED
OGR,2018_2021,fixed_0.1,600884.SH|2018-10-11,NEWLY_FUNDED
IFCGR,2018_2021,fixed_0.1,600433.SH|2018-10-11,NEWLY_FUNDED
IFCGR,2018_2021,fixed_0.1,600884.SH|2018-10-11,NEWLY_FUNDED
