route,policy,family,value,period,start,end,selection_boundary_excluded,n,mature_n,censored_n,independent_events,signal_dates,triggered,filled,unfilled_attempts,trigger_dates,mean_advantage,median_advantage,total_advantage_amount,winner_denominator,winner_interruption,winner_harm,winner_to_loss,winner_harm_amount,severe_denominator,loss_rescue,loss_rescue_amount,native_tail,policy_tail,released_calendar_days
ATRDR_SLOW_BEAR,fixed_0.2,fixed,0.2,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,1,1,0,1,-0.0019313955245912995,0.0,-0.01005178983133461,115,1,1,1,-0.01005178983133461,8,0,,-0.14472711479765182,-0.1573182974066795,13.0
ATRDR_SLOW_BEAR,atr_1,atr,1.0,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,108,107,1,63,-0.015102356258952095,0.0,-0.1309508845195485,256,38,38,38,-0.1519309117545677,24,20,0.05130492161787324,-0.1582390632091516,-0.1474954760155206,2302.0
ATRDR_SLOW_BEAR,atr_1,atr,1.0,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,43,42,0,31,-0.004840801473117898,0.0,-0.033612953466214936,115,10,10,10,-0.042524709520654576,8,8,0.024945666656797795,-0.14472711479765182,-0.1056860417509908,771.0
ATRDR_SLOW_BEAR,atr_1.5,atr,1.5,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,75,73,0,47,-0.011720533101657174,0.0,-0.1003463894901648,256,21,21,21,-0.09777763974084697,24,17,0.03195685837769166,-0.1582390632091516,-0.16774961379255726,1466.0
ATRDR_SLOW_BEAR,atr_1.5,atr,1.5,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,23,23,0,18,-0.0015412847289361794,0.0,-0.00882705207508251,115,3,3,3,-0.015363928696718602,8,7,0.017722944529076384,-0.14472711479765182,-0.12135093357555382,378.0
ATRDR_SLOW_BEAR,atr_2,atr,2.0,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,46,42,0,36,-0.0055021572224493555,0.0,-0.04892707520501259,256,9,9,9,-0.04310062106128465,24,12,0.01625678902161248,-0.1582390632091516,-0.16869742362053472,709.0
ATRDR_SLOW_BEAR,atr_2,atr,2.0,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,17,16,0,13,-0.0018993604169585125,0.0,-0.011112187117399884,115,2,2,2,-0.012686415240522306,8,5,0.012208620653526401,-0.14472711479765182,-0.1353495025680635,245.0
ATRDR_SLOW_BEAR,atr_2.5,atr,2.5,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,30,27,0,26,-0.0026822134438507497,0.0,-0.022755658811155988,256,3,3,3,-0.012077086430696788,24,8,0.007815533074472919,-0.1582390632091516,-0.16716705385813332,406.0
ATRDR_SLOW_BEAR,atr_2.5,atr,2.5,EVALUATION,2021-01-01,2023-12-31,0,157,157,0,157,48,8,8,0,8,0.0006690504125084294,0.0,0.003035446337406172,115,0,0,0,,8,5,0.008487095712701053,-0.14472711479765182,-0.1273370892915011,141.0
ATRDR_SLOW_BEAR,atr_3,atr,3.0,DISCOVERY,2014-01-01,2020-12-31,2,340,340,0,340,111,17,16,0,17,-0.001764595918186625,0.0,-0.014256142656303603,256,2,2,2,-0.009536893349765225,24,6,0.006091166146888431,-0.1582390632091516,-0.1681572142874781,253.0
