strategy,segment,opportunities,accepted,skipped,no_entry_opportunities,start,end,days,total_return,cagr,max_drawdown,sharpe,worst5_daily,worst_month,utilization,capital_days
ATRDR,CONTINUOUS_2014_2023,4038,2121,1917,0,2014-01-03,2023-12-29,2433,2.1105406156705127,0.12036081721079439,-0.061690843241703264,1.5566730104667612,-0.011589915870113002,-0.03286846948279942,0.21538485055393636,524.0313413977271
MCB,CONTINUOUS_2014_2023,1904,1010,889,5,2014-02-13,2023-12-29,2409,0.932287950987247,0.06899599770032738,-0.05126486069895453,1.3617470090845685,-0.006813576157807479,-0.02137495290864777,0.11148245699110763,268.5612388915783
OGR,2018_2021,355,255,100,0,2018-01-02,2021-12-15,961,0.11016946776510506,0.0268071079742922,-0.014396305449991154,1.5398327099669191,-0.0009751144625677508,-0.0029115411343262343,0.014877198624777219,14.296987878410908
OGR,2022_2023,44,44,0,0,2022-01-04,2023-11-24,459,0.016086318828260504,0.00849563943119791,-0.0043268833963773234,1.6381680053850494,-0.0005078774749040963,-0.0011832680304707521,0.007052494862574335,3.23709514192162
IFCGR,2018_2021,347,248,99,0,2018-01-02,2021-12-15,961,0.10517720814314258,0.02563639277404617,-0.015496829810301871,1.4810128875238815,-0.0009659323586078615,-0.0029090663176787324,0.0146288126626559,14.05828896881232
IFCGR,2022_2023,44,44,0,0,2022-01-04,2023-11-24,459,0.016086318828260504,0.00849563943119791,-0.0043268833963773234,1.6381680053850494,-0.0005078774749040963,-0.0011832680304707521,0.007052494862574335,3.23709514192162
