strategy,segment,policy,sleeve,event_states,min_cash,max_gross_ratio,negative_cash_timestamps,exposure_violation_timestamps,violation_dates,borrowed_cash,margin,reservation_contract,absolute_tolerance_nav_units,ratio_tolerance,execution_scope,rejected_orders_account,partial_fills_account,rejection_reasons,account_days,daily_min_cash,daily_max_gross_ratio,daily_negative_cash_dates,daily_exposure_violation_dates,unvalued_event_states,unvalued_account_dates,units,amount_tolerance
ATRDR,CONTINUOUS_2014_2023,ATRDR_BULL:fixed_0.1,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1916,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 617}",2433,0.041038992691469156,0.9861455447836852,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.1,MAIN,2904,0.00016163635573010482,0.9998924022560847,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1916,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 451, ""MAX_K_30"": 616}",2433,0.041932527982338944,0.9859796086274509,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:fixed_0.1,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1916,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 451, ""MAX_K_30"": 616}",2433,0.041932527982338944,0.9859796086274509,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H1_2,MAIN,2904,0.00016163635573010482,0.9998924022560857,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1916,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 617}",2433,0.04185273303098275,0.9859275229368936,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H1_2,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1916,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 617}",2433,0.04185273303098275,0.9859275229368936,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H2_0,MAIN,2908,0.00016163635573010482,0.9998924022560856,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1914,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 451, ""MAX_K_30"": 614}",2433,0.041730891959341654,0.9859540325585776,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_FAST_BEAR:H2_0,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1914,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 451, ""MAX_K_30"": 614}",2433,0.041730891959341654,0.9859540325585776,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.1,MAIN,2902,0.00016163635573010482,0.9998924022560849,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1917,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 618}",2433,0.04140384800657473,0.9860403392644798,0,0,0,0,NORMALIZED_NAV,1e-10
ATRDR,CONTINUOUS_2014_2023,ATRDR_SLOW_BEAR:fixed_0.1,CHINEXT,1340,0.016141075291587727,0.9811328853998615,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,1917,0,"{""DAILY_CAP_10"": 849, ""INSUFFICIENT_CASH"": 450, ""MAX_K_30"": 618}",2433,0.04140384800657473,0.9860403392644798,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.1,MAIN,1290,0.0036962513583477935,0.9958233155139246,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.03234011387924442,0.9828965357718181,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,MCB:fixed_0.1,CHINEXT,728,0.0001939307669926102,0.999730757479755,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.03234011387924442,0.9828965357718181,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,MCB:profit_0,MAIN,1290,0.0036962513583477935,0.9959638380086872,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.031857662740601755,0.9831414618479646,0,0,0,0,NORMALIZED_NAV,1e-10
MCB,CONTINUOUS_2014_2023,MCB:profit_0,CHINEXT,728,0.0001939307669926102,0.999730757479755,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,889,0,"{""DAILY_CAP"": 456, ""INSUFFICIENT_CASH"": 163, ""MAX_K"": 270}",2409,0.031857662740601755,0.9831414618479646,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2018_2021,OGR:fixed_0.1,MAIN,355,0.0019407296467474754,0.998126574268309,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,98,0,"{""SKIPPED_CAPACITY"": 37, ""SKIPPED_DUPLICATE_SYMBOL"": 6, ""SKIPPED_INSUFFICIENT_CASH"": 55}",961,0.27781473239380916,0.7245384845635297,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2018_2021,OGR:fixed_0.1,CHINEXT,167,0.47096168418594925,0.5381768359232233,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,98,0,"{""SKIPPED_CAPACITY"": 37, ""SKIPPED_DUPLICATE_SYMBOL"": 6, ""SKIPPED_INSUFFICIENT_CASH"": 55}",961,0.27781473239380916,0.7245384845635297,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2022_2023,OGR:fixed_0.1,MAIN,55,0.8502405529875521,0.15469446568816314,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8829956146879852,0.12180460470798578,0,0,0,0,NORMALIZED_NAV,1e-10
OGR,2022_2023,OGR:fixed_0.1,CHINEXT,37,0.8883743038738108,0.11490276783943393,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8829956146879852,0.12180460470798578,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2018_2021,IFCGR:fixed_0.1,MAIN,343,0.0019313899477309045,0.9981265742683088,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,97,0,"{""SKIPPED_CAPACITY"": 37, ""SKIPPED_DUPLICATE_SYMBOL"": 6, ""SKIPPED_INSUFFICIENT_CASH"": 54}",961,0.2777837667501021,0.723899039441359,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2018_2021,IFCGR:fixed_0.1,CHINEXT,165,0.47096168418594925,0.5381768359232233,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,97,0,"{""SKIPPED_CAPACITY"": 37, ""SKIPPED_DUPLICATE_SYMBOL"": 6, ""SKIPPED_INSUFFICIENT_CASH"": 54}",961,0.2777837667501021,0.723899039441359,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2022_2023,IFCGR:fixed_0.1,MAIN,55,0.8502405529875521,0.15469446568816314,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8829956146879852,0.12180460470798578,0,0,0,0,NORMALIZED_NAV,1e-10
IFCGR,2022_2023,IFCGR:fixed_0.1,CHINEXT,37,0.8883743038738108,0.11490276783943393,0,0,0,0,0,IMMEDIATE_FILLS_NO_DEFERRED_BUY,1e-10,1e-10,FROZEN_NORMALIZED_MODEL; auction depth and integer-share brokerage equivalence unverified,0,0,{},459,0.8829956146879852,0.12180460470798578,0,0,0,0,NORMALIZED_NAV,1e-10
SMV6,CONTINUOUS_2013_2023,NATIVE,ALL,365,4.513061951322015,0.9999955291939305,0,0,0,0,0,IMMEDIATE_FILL_FEE_INCLUDED; NO_DEFERRED_BUYS,,1e-10,LOCAL_CALLBACK; CNY lot100 minute-cap50% fee0.0002 spread0.0016; native equivalence unverified,26,99,,2616,4.513061951322015,0.999995581982908,0,0,0,2,CNY,1e-08
