route,policy,family,value,stable_region,selection_status,selection_visibility_end
ATRDR_BULL,fixed_0.1,fixed,0.1,[],NO_STABLE_SIMPLE_STOP_DIAGNOSTIC_10PCT_ONLY,2020-12-31
ATRDR_FAST_BEAR,fixed_0.1,fixed,0.1,[],NO_STABLE_SIMPLE_STOP_DIAGNOSTIC_10PCT_ONLY,2020-12-31
ATRDR_SLOW_BEAR,fixed_0.1,fixed,0.1,[],NO_STABLE_SIMPLE_STOP_DIAGNOSTIC_10PCT_ONLY,2020-12-31
MCB,fixed_0.1,fixed,0.1,[],NO_STABLE_SIMPLE_STOP_DIAGNOSTIC_10PCT_ONLY,2020-12-31
OGR,fixed_0.1,fixed,0.1,[],NO_STABLE_SIMPLE_STOP_DIAGNOSTIC_10PCT_ONLY,2021-12-31
