episode_id,symbol,entry_date,outlay,proceeds,buys,sells,native_time,realized_pnl,native_return
SMV6|159901.SZ|2013-05-22,159901.SZ,2013-05-22,500357.56000792136,482660.68355300016,1,1,2013-06-06 15:00:00,-17696.876454921206,-0.035368460216012365
SMV6|159901.SZ|2013-09-13,159901.SZ,2013-09-13,491575.0997988538,480073.2731386001,1,1,2013-09-27 15:00:00,-11501.82666025369,-0.023397903321303426
SMV6|510500.SH|2014-11-27,510500.SH,2014-11-27,95727.88732571837,96773.44026658933,1,2,2015-01-20 09:30:00,1045.5529408709554,0.010922135336732364
SMV6|510500.SH|2015-02-17,510500.SH,2015-02-17,23855.80199611599,32762.760107359467,1,1,2015-05-08 09:30:00,8906.958111243475,0.37336653417452226
SMV6|159901.SZ|2016-07-18,159901.SZ,2016-07-18,7405.174573249656,7148.245744864001,1,1,2016-07-29 15:00:00,-256.9288283856549,-0.0346958502928183
SMV6|510300.SH|2016-07-14,510300.SH,2016-07-14,327484.5362242728,316697.1122586635,2,1,2016-08-01 09:30:00,-10787.423965609283,-0.03294025449257143
SMV6|510180.SH|2016-07-14,510180.SH,2016-07-14,8339.973140593807,8116.515447285261,2,3,2016-08-03 09:30:00,-223.45769330854637,-0.026793574696409195
SMV6|159901.SZ|2016-08-16,159901.SZ,2016-08-16,411098.25973722624,405834.9726436548,1,11,2016-09-12 09:30:00,-5263.287093571445,-0.012802990450350604
SMV6|510500.SH|2016-10-25,510500.SH,2016-10-25,241018.75580430363,241591.48369760645,4,3,2016-12-07 15:00:00,572.7278933028283,0.0023762793538268934
SMV6|510300.SH|2016-11-11,510300.SH,2016-11-11,362877.4594491017,361491.9423287747,2,2,2016-12-12 15:00:00,-1385.5171203269856,-0.003818140488611177
SMV6|510050.SH|2016-11-09,510050.SH,2016-11-09,489583.8581780388,503095.53645021433,2,3,2016-12-13 09:30:00,13511.678272175544,0.027598291991199453
SMV6|510180.SH|2016-11-14,510180.SH,2016-11-14,78766.01102109412,76426.2876914897,3,3,2016-12-15 15:00:00,-2339.723329604414,-0.029704733034885078
SMV6|159901.SZ|2017-03-16,159901.SZ,2017-03-16,22308.68571056016,22022.558927136004,1,1,2017-03-17 15:00:00,-286.1267834241553,-0.012825801893327715
SMV6|510500.SH|2017-03-27,510500.SH,2017-03-27,185890.61284864103,180732.09515127493,1,1,2017-03-31 15:00:00,-5158.5176973661,-0.02775028614041075
SMV6|159915.SZ|2017-09-01,159915.SZ,2017-09-01,649143.5987592,650302.950352608,2,3,2017-09-22 15:00:00,1159.3515934080351,0.0017859709248062572
SMV6|510500.SH|2017-08-31,510500.SH,2017-08-31,510859.9225118313,515952.8952561631,2,6,2017-09-26 15:00:00,5092.972744331812,0.009969411417694252
SMV6|512660.SH|2017-09-19,512660.SH,2017-09-19,41625.590653440006,41217.547801408,1,5,2017-09-26 15:00:00,-408.0428520320056,-0.00980269218109664
SMV6|510300.SH|2017-10-10,510300.SH,2017-10-10,487733.9912928,503394.2644743222,1,2,2017-11-30 15:00:00,15660.273181522207,0.0321082259204708
SMV6|510180.SH|2017-10-16,510180.SH,2017-10-16,43757.136967940525,45190.80411501746,1,4,2017-12-04 15:00:00,1433.667147076936,0.03276418994522734
SMV6|510050.SH|2018-01-15,510050.SH,2018-01-15,496336.63105439534,518200.76359510387,1,1,2018-02-02 15:00:00,21864.132540708524,0.0440510153245417
SMV6|510180.SH|2019-02-12,510180.SH,2019-02-12,77082.10081284565,92240.18227319999,2,1,2019-04-26 15:00:00,15158.08146035434,0.19664852541004252
SMV6|512800.SH|2019-02-14,512800.SH,2019-02-14,55214.368025471995,59611.53834739201,1,1,2019-04-26 15:00:00,4397.1703219200135,0.07963815360326998
SMV6|512800.SH|2019-07-31,512800.SH,2019-07-31,185399.44383427198,178251.04909871198,1,3,2019-08-05 15:00:00,-7148.394735559996,-0.03855672157220669
SMV6|159901.SZ|2019-09-04,159901.SZ,2019-09-04,256738.2598563233,252960.4064377752,2,2,2019-09-27 15:00:00,-3777.8534185480967,-0.0147148049560758
