gap,end,field,max_abs_error,rows,status
IFCGR,2026-09-04,cash,0,2106,PASS
IFCGR,2026-09-04,nav,0,2106,PASS
IFCGR,2026-09-04,gross_exposure,0,2106,PASS
IFCGR,2026-09-04,fills_positions,0,7859,PASS
OGR,2026-09-04,cash,0,2106,PASS
OGR,2026-09-04,nav,0,2106,PASS
OGR,2026-09-04,gross_exposure,0,2106,PASS
OGR,2026-09-04,fills_positions,0,7889,PASS
