event_id,strategy_fill,entry,symbol_fill,match,account
V29|BULL|V29B|20180103|300470.SZ,ATRDR,2018-01-04 09:30:00,300470.SZ,True,IFCGR
V29|BULL|V29B|20180103|300251.SZ,ATRDR,2018-01-04 09:30:00,300251.SZ,True,IFCGR
V29|BULL|V29B|20180103|600066.SH,ATRDR,2018-01-04 09:30:00,600066.SH,True,IFCGR
V29|BULL|V29B|20180103|603566.SH,ATRDR,2018-01-04 09:30:00,603566.SH,True,IFCGR
V29|BULL|V29B|20180103|603885.SH,ATRDR,2018-01-04 09:30:00,603885.SH,True,IFCGR
V72|V65|EARLY_TRANSITION|V53-20180103-300470.SZ,MCB,2018-01-04 09:30:00,300470.SZ,True,IFCGR
V72|V65|EARLY_TRANSITION|V53-20180103-603566.SH,MCB,2018-01-04 09:30:00,603566.SH,True,IFCGR
V29|BULL|V29B|20180104|600639.SH,ATRDR,2018-01-05 09:30:00,600639.SH,True,IFCGR
V29|BULL|V29B|20180104|601117.SH,ATRDR,2018-01-05 09:30:00,601117.SH,True,IFCGR
V29|BULL|V29B|20180104|600597.SH,ATRDR,2018-01-05 09:30:00,600597.SH,True,IFCGR
V29|BULL|V29B|20180104|002262.SZ,ATRDR,2018-01-05 09:30:00,002262.SZ,True,IFCGR
V29|BULL|V29B|20180104|002088.SZ,ATRDR,2018-01-05 09:30:00,002088.SZ,True,IFCGR
V29|BULL|V29B|20180104|002304.SZ,ATRDR,2018-01-05 09:30:00,002304.SZ,True,IFCGR
V29|BULL|V29B|20180105|600655.SH,ATRDR,2018-01-08 09:30:00,600655.SH,True,IFCGR
V29|BULL|V29B|20180105|000869.SZ,ATRDR,2018-01-08 09:30:00,000869.SZ,True,IFCGR
V29|BULL|V29B|20180105|002385.SZ,ATRDR,2018-01-08 09:30:00,002385.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180109|002863.SZ,ATRDR,2018-01-10 09:30:00,002863.SZ,True,IFCGR
SMV6|2018-01-15|510050.SH|0,SMV6,2018-01-15 09:30:00,510050.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180212|300264.SZ,ATRDR,2018-02-13 09:30:00,300264.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180214|002829.SZ,ATRDR,2018-02-22 09:30:00,002829.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300691.SZ,ATRDR,2018-02-23 09:30:00,300691.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300699.SZ,ATRDR,2018-02-23 09:30:00,300699.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|300011.SZ,ATRDR,2018-02-23 09:30:00,300011.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600105.SH,ATRDR,2018-02-23 09:30:00,600105.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|600730.SH,ATRDR,2018-02-23 09:30:00,600730.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|000590.SZ,ATRDR,2018-02-23 09:30:00,000590.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180222|002421.SZ,ATRDR,2018-02-23 09:30:00,002421.SZ,True,IFCGR
002631.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,002631.SZ,True,IFCGR
300268.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,300268.SZ,True,IFCGR
002200.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,002200.SZ,True,IFCGR
300076.SZ|2018-01-30,IFCGR,2018-02-23 09:30:00,300076.SZ,True,IFCGR
600698.SH|2018-01-31,IFCGR,2018-02-23 09:30:00,600698.SH,True,IFCGR
002446.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,002446.SZ,True,IFCGR
002702.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,002702.SZ,True,IFCGR
300220.SZ|2018-02-01,IFCGR,2018-02-23 09:30:00,300220.SZ,True,IFCGR
002401.SZ|2018-02-01,IFCGR,2018-02-23 09:30:00,002401.SZ,True,IFCGR
000917.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,000917.SZ,True,IFCGR
300025.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,300025.SZ,True,IFCGR
600601.SH|2018-01-31,IFCGR,2018-02-23 09:30:00,600601.SH,True,IFCGR
002759.SZ|2018-01-31,IFCGR,2018-02-23 09:30:00,002759.SZ,True,IFCGR
600571.SH|2018-02-01,IFCGR,2018-02-23 09:30:00,600571.SH,True,IFCGR
002261.SZ|2018-02-01,IFCGR,2018-02-23 09:30:00,002261.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|000868.SZ,ATRDR,2018-02-26 09:30:00,000868.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180223|002631.SZ,ATRDR,2018-02-26 09:30:00,002631.SZ,True,IFCGR
002338.SZ|2018-02-02,IFCGR,2018-02-26 09:30:00,002338.SZ,True,IFCGR
300106.SZ|2018-01-31,IFCGR,2018-02-26 09:30:00,300106.SZ,True,IFCGR
603958.SH|2018-02-02,IFCGR,2018-02-26 09:30:00,603958.SH,True,IFCGR
002106.SZ|2018-02-02,IFCGR,2018-02-26 09:30:00,002106.SZ,True,IFCGR
002724.SZ|2018-02-02,IFCGR,2018-02-26 09:30:00,002724.SZ,True,IFCGR
603336.SH|2018-02-02,IFCGR,2018-02-26 09:30:00,603336.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300692.SZ,ATRDR,2018-02-27 09:30:00,300692.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300719.SZ,ATRDR,2018-02-27 09:30:00,300719.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300726.SZ,ATRDR,2018-02-27 09:30:00,300726.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300710.SZ,ATRDR,2018-02-27 09:30:00,300710.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300696.SZ,ATRDR,2018-02-27 09:30:00,300696.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300192.SZ,ATRDR,2018-02-27 09:30:00,300192.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300223.SZ,ATRDR,2018-02-27 09:30:00,300223.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300452.SZ,ATRDR,2018-02-27 09:30:00,300452.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300701.SZ,ATRDR,2018-02-27 09:30:00,300701.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|300517.SZ,ATRDR,2018-02-27 09:30:00,300517.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|603648.SH,ATRDR,2018-02-27 09:30:00,603648.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002799.SZ,ATRDR,2018-02-27 09:30:00,002799.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|603320.SH,ATRDR,2018-02-27 09:30:00,603320.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|603029.SH,ATRDR,2018-02-27 09:30:00,603029.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|600760.SH,ATRDR,2018-02-27 09:30:00,600760.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002902.SZ,ATRDR,2018-02-27 09:30:00,002902.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|002901.SZ,ATRDR,2018-02-27 09:30:00,002901.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|603758.SH,ATRDR,2018-02-27 09:30:00,603758.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|601878.SH,ATRDR,2018-02-27 09:30:00,601878.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180226|603580.SH,ATRDR,2018-02-27 09:30:00,603580.SH,True,IFCGR
002799.SZ|2018-02-05,IFCGR,2018-02-27 09:30:00,002799.SZ,True,IFCGR
300517.SZ|2018-02-02,IFCGR,2018-02-27 09:30:00,300517.SZ,True,IFCGR
002836.SZ|2018-02-01,IFCGR,2018-02-27 09:30:00,002836.SZ,True,IFCGR
600113.SH|2018-02-02,IFCGR,2018-02-27 09:30:00,600113.SH,True,IFCGR
300380.SZ|2018-02-05,IFCGR,2018-02-27 09:30:00,300380.SZ,True,IFCGR
600830.SH|2018-02-02,IFCGR,2018-02-27 09:30:00,600830.SH,True,IFCGR
002846.SZ|2018-02-02,IFCGR,2018-02-27 09:30:00,002846.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180227|300534.SZ,ATRDR,2018-02-28 09:30:00,300534.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180227|300560.SZ,ATRDR,2018-02-28 09:30:00,300560.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180227|603717.SH,ATRDR,2018-02-28 09:30:00,603717.SH,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180227|002795.SZ,ATRDR,2018-02-28 09:30:00,002795.SZ,True,IFCGR
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20180227|002068.SZ,ATRDR,2018-02-28 09:30:00,002068.SZ,True,IFCGR
