opportunity_id,strategy,symbol_op,entry,actual_funding_status,event_id_ca,record_date,effective_date,tradable_date,pay_date
V29|BULL|V29B|20190222|603335.SH,ATRDR,603335.SH,2019-02-25 09:30:00,UNFUNDED,cninfo:distribution:012f8cb48730ce7b8f2a02ba1bc174c0,2019-04-19,2019-04-22,,2019-04-22
V29|BULL|V29B|20190222|603319.SH,ATRDR,603319.SH,2019-02-25 09:30:00,UNFUNDED,cninfo:distribution:fd66fda0c653de1655200029d7a5369c,2019-04-15,2019-04-16,,2019-04-16
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20200420|600753.SH,ATRDR,600753.SH,2020-04-21 09:30:00,FUNDED,cninfo:distribution:5740fb363ff9cef281f87ccec720a0d1,2020-05-29,2020-06-01,,
V29|BULL|V29B|20200421|603985.SH,ATRDR,603985.SH,2020-04-22 09:30:00,FUNDED,cninfo:distribution:80bea77db20b1858b35b6f36112e3022,2020-06-15,2020-06-16,,2020-06-16
V29|BULL|V29B|20200601|600480.SH,ATRDR,600480.SH,2020-06-02 09:30:00,FUNDED,cninfo:distribution:e07d691c9ab53dc82bad0d1c371568e6,2020-07-15,2020-07-16,,
V29|BULL|V29B|20200619|600999.SH,ATRDR,600999.SH,2020-06-22 09:30:00,FUNDED,cninfo:rights:710ab0c64b42f64ba9a7ec3c100c6153,2020-07-09,2020-07-20,,
V72|V65|MEDIUM_PARTICIPATION|V53-20200619-600999.SH,MCB,600999.SH,2020-06-22 09:30:00,FUNDED,cninfo:rights:710ab0c64b42f64ba9a7ec3c100c6153,2020-07-09,2020-07-20,,
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220513|600984.SH,ATRDR,600984.SH,2022-05-16 09:30:00,FUNDED,cninfo:distribution:c289e230f4b6c389aea95510d2d2db12,2022-06-22,2022-06-23,,2022-06-23
V29|V27|SLOW_SUPPLY_EXHAUSTION_TAKEOVER|20220513|603121.SH,ATRDR,603121.SH,2022-05-16 09:30:00,FUNDED,cninfo:distribution:b288deda653a25ff5c3f4dce2a07d30f,2022-06-06,2022-06-07,,2022-06-07
V29|BULL|V29B|20250513|603323.SH,ATRDR,603323.SH,2025-05-14 09:30:00,FUNDED,cninfo:distribution:24bc1a6c4debe03de7c80365fb83631a,2025-06-11,2025-06-12,,2025-06-12
V72|V65|MEDIUM_PARTICIPATION|V53-20250513-603323.SH,MCB,603323.SH,2025-05-14 09:30:00,FUNDED,cninfo:distribution:24bc1a6c4debe03de7c80365fb83631a,2025-06-11,2025-06-12,,2025-06-12
V29|BULL|V29B|20260421|605389.SH,ATRDR,605389.SH,2026-04-22 09:30:00,FUNDED,cninfo:distribution:55a87971d2da444781896403ff2e5128,2026-05-26,2026-05-27,,2026-05-27
