opportunity_id,status,error
SMV6|2018-01-15|510050.SH|0,PASS,
SMV6|2019-02-12|510180.SH|1,PASS,
SMV6|2019-02-14|510180.SH|2,PASS,
SMV6|2019-02-14|512800.SH|3,PASS,
SMV6|2019-07-31|512800.SH|4,PASS,
SMV6|2019-08-29|159928.SZ|5,PASS,
SMV6|2019-09-04|159928.SZ|6,PASS,
SMV6|2019-09-04|159901.SZ|7,PASS,
SMV6|2019-09-04|159915.SZ|8,PASS,
SMV6|2019-09-06|159928.SZ|9,PASS,
SMV6|2019-09-06|159901.SZ|10,PASS,
SMV6|2019-09-06|510300.SH|11,PASS,
SMV6|2019-09-16|159928.SZ|12,PASS,
SMV6|2019-09-16|510180.SH|13,PASS,
SMV6|2019-11-05|159901.SZ|14,PASS,
SMV6|2019-11-05|510300.SH|15,PASS,
SMV6|2019-11-13|159901.SZ|16,PASS,
SMV6|2019-12-09|159949.SZ|17,PASS,
SMV6|2019-12-16|159915.SZ|18,PASS,
SMV6|2019-12-17|512980.SH|19,PASS,
SMV6|2019-12-17|159901.SZ|20,PASS,
SMV6|2019-12-18|159901.SZ|21,PASS,
SMV6|2019-12-18|510500.SH|22,PASS,
SMV6|2020-06-09|159928.SZ|23,PASS,
SMV6|2020-06-10|159928.SZ|24,PASS,
SMV6|2020-06-10|512980.SH|25,PASS,
SMV6|2020-06-15|159928.SZ|26,PASS,
SMV6|2020-06-15|512980.SH|27,PASS,
SMV6|2020-06-15|159938.SZ|28,PASS,
SMV6|2020-06-18|159928.SZ|29,PASS,
SMV6|2020-06-18|159938.SZ|30,PASS,
SMV6|2020-06-18|515800.SH|31,PASS,
SMV6|2020-06-22|159928.SZ|32,PASS,
SMV6|2020-06-22|159938.SZ|33,PASS,
SMV6|2020-06-22|515800.SH|34,PASS,
SMV6|2020-06-22|510180.SH|35,PASS,
SMV6|2020-09-02|159980.SZ|36,PASS,
SMV6|2020-11-06|515210.SH|37,PASS,
SMV6|2020-11-06|510300.SH|38,PASS,
SMV6|2020-11-10|515210.SH|39,PASS,
SMV6|2020-11-10|159997.SZ|40,PASS,
SMV6|2020-11-10|159915.SZ|41,PASS,
SMV6|2020-11-17|515210.SH|42,PASS,
SMV6|2020-11-17|159997.SZ|43,PASS,
SMV6|2020-11-17|159980.SZ|44,PASS,
SMV6|2020-11-19|515210.SH|45,PASS,
SMV6|2020-11-19|510300.SH|46,PASS,
SMV6|2020-11-19|159997.SZ|47,PASS,
SMV6|2020-11-19|159980.SZ|48,PASS,
SMV6|2020-12-02|515210.SH|49,PASS,
SMV6|2020-12-02|159980.SZ|50,PASS,
SMV6|2020-12-02|512070.SH|51,PASS,
SMV6|2020-12-11|515210.SH|52,PASS,
SMV6|2020-12-11|510300.SH|53,PASS,
SMV6|2020-12-11|159980.SZ|54,PASS,
SMV6|2020-12-11|512070.SH|55,PASS,
SMV6|2020-12-22|159949.SZ|56,PASS,
SMV6|2020-12-22|159928.SZ|57,PASS,
SMV6|2020-12-22|512710.SH|58,PASS,
SMV6|2020-12-22|159901.SZ|59,PASS,
SMV6|2021-01-04|159928.SZ|60,PASS,
SMV6|2021-01-04|159905.SZ|61,PASS,
SMV6|2021-04-30|159980.SZ|62,PASS,
SMV6|2021-05-25|512100.SH|63,PASS,
SMV6|2021-05-26|512100.SH|64,PASS,
SMV6|2021-05-26|510500.SH|65,PASS,
SMV6|2021-05-28|512100.SH|66,PASS,
SMV6|2021-05-28|588000.SH|67,PASS,
SMV6|2021-06-11|512100.SH|68,PASS,
SMV6|2021-07-22|515000.SH|69,PASS,
SMV6|2021-11-15|515880.SH|70,PASS,
SMV6|2021-11-23|515880.SH|71,PASS,
SMV6|2021-11-23|159915.SZ|72,PASS,
SMV6|2021-11-30|512100.SH|73,PASS,
SMV6|2021-12-14|159928.SZ|74,PASS,
SMV6|2021-12-14|510050.SH|75,PASS,
SMV6|2021-12-17|512070.SH|76,PASS,
SMV6|2022-06-08|515170.SH|77,PASS,
SMV6|2022-06-09|515170.SH|78,PASS,
SMV6|2022-06-09|159601.SZ|79,PASS,
SMV6|2022-06-09|510150.SH|80,PASS,
SMV6|2022-06-09|515650.SH|81,PASS,
SMV6|2022-06-10|515170.SH|82,PASS,
SMV6|2022-06-10|159601.SZ|83,PASS,
SMV6|2022-06-10|510150.SH|84,PASS,
SMV6|2022-06-10|515650.SH|85,PASS,
SMV6|2022-06-15|510150.SH|86,PASS,
SMV6|2022-06-15|515650.SH|87,PASS,
SMV6|2022-06-15|159928.SZ|88,PASS,
SMV6|2022-08-18|512100.SH|89,PASS,
SMV6|2023-01-04|512980.SH|90,PASS,
SMV6|2023-01-06|512980.SH|91,PASS,
SMV6|2023-01-06|512010.SH|92,PASS,
SMV6|2023-01-09|512980.SH|93,PASS,
SMV6|2023-01-09|159601.SZ|94,PASS,
SMV6|2023-01-10|159601.SZ|95,PASS,
SMV6|2023-01-10|510180.SH|96,PASS,
SMV6|2023-01-10|159901.SZ|97,PASS,
SMV6|2023-03-07|159611.SZ|98,PASS,
SMV6|2023-03-23|159997.SZ|99,PASS,
SMV6|2023-03-23|512760.SH|100,PASS,
SMV6|2023-03-24|159997.SZ|101,PASS,
SMV6|2023-03-24|515000.SH|102,PASS,
SMV6|2023-03-24|512480.SH|103,PASS,
SMV6|2023-03-24|159995.SZ|104,PASS,
SMV6|2023-08-01|515450.SH|105,PASS,
SMV6|2023-08-01|159980.SZ|106,PASS,
SMV6|2023-09-07|159980.SZ|107,PASS,
SMV6|2023-11-16|159997.SZ|108,PASS,
SMV6|2024-01-03|159611.SZ|109,PASS,
SMV6|2024-03-01|515650.SH|110,PASS,
SMV6|2024-03-04|515650.SH|111,PASS,
SMV6|2024-03-04|510300.SH|112,PASS,
SMV6|2024-03-12|560050.SH|113,PASS,
SMV6|2024-04-29|560050.SH|114,PASS,
SMV6|2024-04-29|159601.SZ|115,PASS,
SMV6|2024-04-30|560050.SH|116,PASS,
SMV6|2024-04-30|159601.SZ|117,PASS,
SMV6|2024-04-30|560080.SH|118,PASS,
SMV6|2024-05-07|560050.SH|119,PASS,
SMV6|2024-05-07|560080.SH|120,PASS,
SMV6|2024-05-07|159905.SZ|121,PASS,
