strategy,trades,mature_trades,independent_signal_dates,trade_mean,trade_median,win_rate,holding_sessions,days,total_return,cagr,max_drawdown,sharpe,tail5,worst_year,avg_utilization,coverage_start,coverage_end,account_eligible_for_main_composite
ATRDR,2128,2104,429,0.02887684244375844,0.028648856046610938,0.6083650190114068,13.27138783269962,3058,3.1932602605806046,0.12069067068438466,-0.0999545138107335,1.446275428781902,-0.012254735614953416,0.05682581077842119,0.22227301506715974,2014-01-03,2026-08-03,True
MCB,690,690,82,0.03612580678487636,0.02746936673128864,0.5956521739130435,13.269565217391305,2397,0.9728839308751496,0.0715782984249802,-0.051344078733173704,1.4219476877788837,-0.006720706848051189,0.018877538938421035,,2014-02-13,2023-12-13,True
OGR,106,106,40,0.0723805258851853,0.06715140107794304,0.8679245283018868,9.10377358490566,646,0.04864158642594574,0.018063967922019586,-0.00602528560753024,1.6431576628518785,-0.0008230638204208484,0.000973417899079454,0.028566386062314715,2022-01-04,2024-08-30,True
IFCGR,168,156,67,0.061670886006829906,0.05942818664607652,0.8525641025641025,9.33974358974359,1109,0.06253257986908212,0.013338377970024906,-0.006196786170203139,1.4924189568290753,-0.0007585546343111557,0.000973417899079454,0.0259705618326013,2022-01-04,2026-08-03,True
SMV6,150,0,0,,,,,4026,4.263260636503657,0.10536973954949547,-0.10966988939974509,1.0392086065928015,-0.013985319012089204,-0.027260758579173983,0.17592582565680345,2010-01-04,2026-08-03,False
