stage,sheet,slot,blind_id
open,1,1,CASE_000769
open,1,2,CASE_000355
open,1,3,CASE_000549
open,1,4,CASE_000281
open,1,5,CASE_000448
open,1,6,CASE_000257
open,1,7,CASE_000133
open,1,8,CASE_000169
open,1,9,CASE_000213
open,1,10,CASE_000206
open,1,11,CASE_000696
open,1,12,CASE_000264
open,1,13,CASE_000658
open,1,14,CASE_000261
open,1,15,CASE_000567
open,1,16,CASE_000338
open,2,1,CASE_000799
open,2,2,CASE_000575
open,2,3,CASE_000768
open,2,4,CASE_000788
open,2,5,CASE_000584
open,2,6,CASE_000083
open,2,7,CASE_000314
open,2,8,CASE_000399
open,2,9,CASE_000446
open,2,10,CASE_000374
open,2,11,CASE_000069
open,2,12,CASE_000566
open,2,13,CASE_000116
open,2,14,CASE_000158
open,2,15,CASE_000689
open,2,16,CASE_000509
open,3,1,CASE_000345
open,3,2,CASE_000210
open,3,3,CASE_000233
open,3,4,CASE_000457
open,3,5,CASE_000361
open,3,6,CASE_000088
open,3,7,CASE_000660
open,3,8,CASE_000107
open,3,9,CASE_000074
open,3,10,CASE_000089
open,3,11,CASE_000359
open,3,12,CASE_000586
open,3,13,CASE_000006
open,3,14,CASE_000260
open,3,15,CASE_000039
open,3,16,CASE_000229
open,4,1,CASE_000132
open,4,2,CASE_000022
open,4,3,CASE_000404
open,4,4,CASE_000519
open,4,5,CASE_000416
open,4,6,CASE_000025
open,4,7,CASE_000492
open,4,8,CASE_000656
open,4,9,CASE_000433
open,4,10,CASE_000263
open,4,11,CASE_000667
open,4,12,CASE_000587
open,4,13,CASE_000762
open,4,14,CASE_000423
open,4,15,CASE_000347
open,4,16,CASE_000717
open,5,1,CASE_000752
open,5,2,CASE_000002
open,5,3,CASE_000473
open,5,4,CASE_000360
open,5,5,CASE_000507
open,5,6,CASE_000357
open,5,7,CASE_000748
open,5,8,CASE_000348
open,5,9,CASE_000458
open,5,10,CASE_000053
open,5,11,CASE_000594
open,5,12,CASE_000186
open,5,13,CASE_000610
open,5,14,CASE_000781
open,5,15,CASE_000283
open,5,16,CASE_000469
open,6,1,CASE_000501
open,6,2,CASE_000071
open,6,3,CASE_000070
open,6,4,CASE_000265
open,6,5,CASE_000466
open,6,6,CASE_000017
open,6,7,CASE_000119
open,6,8,CASE_000770
open,6,9,CASE_000297
open,6,10,CASE_000454
open,6,11,CASE_000336
open,6,12,CASE_000358
open,6,13,CASE_000031
open,6,14,CASE_000243
open,6,15,CASE_000097
open,6,16,CASE_000298
open,7,1,CASE_000515
open,7,2,CASE_000718
open,7,3,CASE_000325
open,7,4,CASE_000576
open,7,5,CASE_000317
open,7,6,CASE_000026
open,7,7,CASE_000390
open,7,8,CASE_000702
open,7,9,CASE_000413
open,7,10,CASE_000366
open,7,11,CASE_000737
open,7,12,CASE_000185
open,7,13,CASE_000489
open,7,14,CASE_000050
open,7,15,CASE_000155
open,7,16,CASE_000098
open,8,1,CASE_000248
open,8,2,CASE_000705
open,8,3,CASE_000395
open,8,4,CASE_000654
open,8,5,CASE_000313
open,8,6,CASE_000308
open,8,7,CASE_000295
open,8,8,CASE_000341
open,8,9,CASE_000639
open,8,10,CASE_000222
open,8,11,CASE_000277
open,8,12,CASE_000117
open,8,13,CASE_000383
open,8,14,CASE_000493
open,8,15,CASE_000520
open,8,16,CASE_000556
open,9,1,CASE_000227
open,9,2,CASE_000167
open,9,3,CASE_000406
open,9,4,CASE_000090
open,9,5,CASE_000013
open,9,6,CASE_000151
open,9,7,CASE_000170
open,9,8,CASE_000246
open,9,9,CASE_000598
open,9,10,CASE_000223
open,9,11,CASE_000324
open,9,12,CASE_000204
open,9,13,CASE_000635
open,9,14,CASE_000662
open,9,15,CASE_000500
open,9,16,CASE_000484
open,10,1,CASE_000401
open,10,2,CASE_000415
open,10,3,CASE_000483
open,10,4,CASE_000027
open,10,5,CASE_000028
open,10,6,CASE_000506
open,10,7,CASE_000624
open,10,8,CASE_000412
open,10,9,CASE_000600
open,10,10,CASE_000434
open,10,11,CASE_000545
open,10,12,CASE_000559
open,10,13,CASE_000203
open,10,14,CASE_000772
open,10,15,CASE_000011
open,10,16,CASE_000608
open,11,1,CASE_000042
open,11,2,CASE_000419
open,11,3,CASE_000583
open,11,4,CASE_000082
open,11,5,CASE_000642
open,11,6,CASE_000380
open,11,7,CASE_000699
open,11,8,CASE_000738
open,11,9,CASE_000015
open,11,10,CASE_000581
open,11,11,CASE_000510
open,11,12,CASE_000716
open,11,13,CASE_000205
open,11,14,CASE_000389
open,11,15,CASE_000211
open,11,16,CASE_000728
open,12,1,CASE_000563
open,12,2,CASE_000193
open,12,3,CASE_000798
open,12,4,CASE_000162
formal,1,1,CASE_000081
formal,1,2,CASE_000478
formal,1,3,CASE_000670
formal,1,4,CASE_000180
formal,1,5,CASE_000429
formal,1,6,CASE_000579
formal,1,7,CASE_000723
formal,1,8,CASE_000166
formal,1,9,CASE_000731
formal,1,10,CASE_000574
