blind_id,bars,future_candles,valid_history
CASE_000515,250,0,True
CASE_000360,250,0,True
CASE_000659,250,0,True
CASE_000227,250,0,True
CASE_000298,250,0,True
CASE_000310,250,0,True
CASE_000130,250,0,True
CASE_000473,250,0,True
CASE_000060,250,0,True
CASE_000143,250,0,True
CASE_000111,250,0,True
CASE_000408,250,0,True
CASE_000414,250,0,True
CASE_000502,250,0,True
CASE_000186,250,0,True
CASE_000508,250,0,True
CASE_000267,250,0,True
CASE_000511,250,0,True
CASE_000327,250,0,True
CASE_000680,250,0,True
CASE_000318,250,0,True
CASE_000474,250,0,True
CASE_000656,250,0,True
CASE_000169,250,0,True
CASE_000493,250,0,True
CASE_000221,250,0,True
CASE_000182,250,0,True
CASE_000498,250,0,True
CASE_000451,250,0,True
CASE_000039,250,0,True
CASE_000760,250,0,True
CASE_000255,250,0,True
CASE_000113,250,0,True
CASE_000538,250,0,True
CASE_000189,250,0,True
CASE_000208,250,0,True
CASE_000612,250,0,True
CASE_000175,250,0,True
CASE_000710,250,0,True
CASE_000481,250,0,True
CASE_000084,250,0,True
CASE_000096,250,0,True
CASE_000190,250,0,True
CASE_000480,250,0,True
CASE_000005,250,0,True
CASE_000705,250,0,True
CASE_000581,250,0,True
CASE_000026,250,0,True
CASE_000011,250,0,True
CASE_000073,250,0,True
CASE_000363,250,0,True
CASE_000413,250,0,True
CASE_000286,250,0,True
CASE_000354,250,0,True
CASE_000193,250,0,True
CASE_000695,250,0,True
CASE_000280,250,0,True
CASE_000159,250,0,True
CASE_000562,250,0,True
CASE_000483,250,0,True
CASE_000522,250,0,True
CASE_000583,250,0,True
CASE_000761,250,0,True
CASE_000147,250,0,True
CASE_000778,250,0,True
CASE_000681,250,0,True
CASE_000552,250,0,True
CASE_000740,250,0,True
CASE_000739,250,0,True
CASE_000070,250,0,True
CASE_000177,250,0,True
CASE_000467,250,0,True
CASE_000351,250,0,True
CASE_000653,250,0,True
CASE_000093,250,0,True
CASE_000176,250,0,True
CASE_000570,250,0,True
CASE_000543,250,0,True
CASE_000364,250,0,True
CASE_000002,250,0,True
CASE_000249,250,0,True
CASE_000737,250,0,True
CASE_000015,250,0,True
CASE_000763,250,0,True
CASE_000254,250,0,True
CASE_000299,250,0,True
CASE_000101,250,0,True
CASE_000728,250,0,True
CASE_000149,250,0,True
CASE_000337,250,0,True
CASE_000088,250,0,True
CASE_000628,250,0,True
CASE_000022,250,0,True
CASE_000398,250,0,True
CASE_000128,250,0,True
CASE_000454,250,0,True
CASE_000094,250,0,True
CASE_000620,250,0,True
CASE_000383,250,0,True
CASE_000342,250,0,True
CASE_000079,250,0,True
CASE_000136,250,0,True
CASE_000448,250,0,True
CASE_000500,250,0,True
CASE_000161,250,0,True
CASE_000492,250,0,True
CASE_000709,250,0,True
CASE_000599,250,0,True
CASE_000614,250,0,True
CASE_000795,250,0,True
CASE_000409,250,0,True
CASE_000214,250,0,True
CASE_000415,250,0,True
CASE_000380,250,0,True
CASE_000677,250,0,True
CASE_000263,250,0,True
CASE_000167,250,0,True
CASE_000404,250,0,True
CASE_000239,250,0,True
CASE_000575,250,0,True
CASE_000046,250,0,True
CASE_000252,250,0,True
CASE_000657,250,0,True
CASE_000752,250,0,True
CASE_000668,250,0,True
CASE_000743,250,0,True
CASE_000311,250,0,True
CASE_000330,250,0,True
CASE_000345,250,0,True
CASE_000565,250,0,True
CASE_000202,250,0,True
CASE_000355,250,0,True
CASE_000472,250,0,True
CASE_000449,250,0,True
CASE_000634,250,0,True
CASE_000009,250,0,True
CASE_000757,250,0,True
CASE_000234,250,0,True
CASE_000471,250,0,True
CASE_000652,250,0,True
CASE_000016,250,0,True
CASE_000574,250,0,True
CASE_000283,250,0,True
CASE_000443,250,0,True
CASE_000458,250,0,True
CASE_000357,250,0,True
CASE_000658,250,0,True
CASE_000017,250,0,True
CASE_000287,250,0,True
CASE_000402,250,0,True
CASE_000339,250,0,True
CASE_000627,250,0,True
CASE_000567,250,0,True
CASE_000712,250,0,True
CASE_000420,250,0,True
CASE_000302,250,0,True
CASE_000563,250,0,True
CASE_000436,250,0,True
CASE_000547,250,0,True
CASE_000226,250,0,True
CASE_000277,250,0,True
CASE_000154,250,0,True
CASE_000074,250,0,True
CASE_000148,250,0,True
CASE_000682,250,0,True
CASE_000405,250,0,True
CASE_000553,250,0,True
CASE_000317,250,0,True
CASE_000358,250,0,True
CASE_000702,250,0,True
CASE_000418,250,0,True
CASE_000643,250,0,True
CASE_000615,250,0,True
CASE_000056,250,0,True
CASE_000122,250,0,True
CASE_000690,250,0,True
CASE_000469,250,0,True
CASE_000247,250,0,True
CASE_000010,250,0,True
CASE_000211,250,0,True
CASE_000484,250,0,True
CASE_000463,250,0,True
CASE_000390,250,0,True
CASE_000158,250,0,True
CASE_000774,250,0,True
CASE_000064,250,0,True
CASE_000519,250,0,True
CASE_000174,250,0,True
CASE_000794,250,0,True
CASE_000663,250,0,True
CASE_000035,250,0,True
CASE_000240,250,0,True
CASE_000635,250,0,True
CASE_000533,250,0,True
CASE_000156,250,0,True
CASE_000071,250,0,True
CASE_000456,250,0,True
CASE_000655,250,0,True
CASE_000077,250,0,True
CASE_000588,250,0,True
CASE_000510,250,0,True
CASE_000430,250,0,True
CASE_000132,250,0,True
CASE_000381,250,0,True
CASE_000385,250,0,True
CASE_000556,250,0,True
CASE_000708,250,0,True
CASE_000495,250,0,True
CASE_000058,250,0,True
CASE_000560,250,0,True
CASE_000722,250,0,True
CASE_000477,250,0,True
CASE_000019,250,0,True
CASE_000603,250,0,True
CASE_000499,250,0,True
CASE_000112,250,0,True
CASE_000686,250,0,True
CASE_000387,250,0,True
CASE_000549,250,0,True
CASE_000059,250,0,True
CASE_000455,250,0,True
CASE_000699,250,0,True
CASE_000771,250,0,True
CASE_000297,250,0,True
CASE_000679,250,0,True
CASE_000412,250,0,True
CASE_000649,250,0,True
CASE_000618,250,0,True
CASE_000400,250,0,True
CASE_000687,250,0,True
CASE_000393,250,0,True
CASE_000629,250,0,True
CASE_000141,250,0,True
CASE_000470,250,0,True
CASE_000116,250,0,True
CASE_000350,250,0,True
CASE_000611,250,0,True
CASE_000596,250,0,True
CASE_000118,250,0,True
CASE_000514,250,0,True
CASE_000776,250,0,True
