dimension,n,exact,within1,spearman,missing_pair_fraction
direction,81,0.8641975308641975,1.0,0.958298324356709,0.0
turn,81,0.8395061728395061,0.9753086419753086,0.9119838415104814,0.0
retention,80,0.725,0.9625,0.8475461720639703,0.012345679012345734
quieting,79,0.759493670886076,0.9873417721518988,0.6751502484622679,0.024691358024691357
spike_distribution,81,0.7654320987654321,0.9753086419753086,0.7368133697651031,0.0
volume_alignment,79,0.7721518987341772,0.8734177215189873,0.15317382653053868,0.024691358024691357
rejection,80,0.975,1.0,0.6979824404521129,0.012345679012345734
context,81,0.7654320987654321,0.9876543209876543,0.9257733601801592,0.0
