year,dimension,winner_minus_loser,rank_ic
ALL,direction,0.016666666666666663,0.02102564249893972
ALL,turn,-0.061111111111111116,-0.03376192488896418
ALL,retention,0.02402869476891825,0.0004941114804440046
ALL,quieting,0.04644362845097239,0.01882394343462645
ALL,spike_distribution,0.016666666666666666,-0.010581220001458237
ALL,volume_alignment,0.09502923976608191,0.06947720373142638
ALL,rejection,0.039010919248349415,0.05893204716237035
ALL,context,0.05555555555555555,0.030394287503811887
2018,direction,-0.2222222222222222,-0.06317145918317003
2018,turn,-0.31111111111111106,-0.10398310001413227
2018,retention,-0.07594235033259422,-0.043865682711104186
2018,quieting,0.4277777777777778,0.17985992285426605
2018,spike_distribution,0.4,0.12011800595425165
2018,volume_alignment,0.019444444444444375,0.012515814863166804
2018,rejection,0.06818181818181818,0.08412260637442118
2018,context,-0.1777777777777778,-0.0407269688189589
2019,direction,0.1333333333333333,0.05047862308688605
2019,turn,0.06666666666666667,0.04836332582275033
2019,retention,0.13333333333333333,0.08152563803184161
2019,quieting,-0.13126614987080104,-0.11294398177689471
2019,spike_distribution,-0.06666666666666668,-0.00807311267948517
2019,volume_alignment,0.03514211886304908,0.040998613539509836
2019,rejection,0.022222222222222223,0.10094728988570417
2019,context,0.17777777777777776,0.07695480595751332
2020,direction,-0.0222222222222222,-0.04111013093833421
2020,turn,0.08888888888888888,-0.0023253681021794103
2020,retention,0.0,-0.04209366221416963
2020,quieting,-0.22222222222222224,-0.05894934032973495
2020,spike_distribution,0.08888888888888888,0.02607401938098128
2020,volume_alignment,0.15555555555555556,0.061885225537256054
2020,rejection,0.06666666666666667,0.09721040920952619
2020,context,0.13333333333333336,0.025442418692641824
2021,direction,0.17777777777777776,0.060536237129768355
2021,turn,-0.08888888888888885,-0.09500113884579892
2021,retention,0.0,-0.044293412734825746
2021,quieting,0.16060606060606059,0.11170714709063576
2021,spike_distribution,-0.35555555555555557,-0.1851263704593863
2021,volume_alignment,0.17323232323232318,0.13132835885433233
2021,rejection,0.0,-0.05551360447333128
2021,context,0.0888888888888889,0.019694218963215642
