year,dimension,label,score,n,fraction
ALL,direction,LOSER,-1.0,53,0.29444444444444445
ALL,direction,LOSER,1.0,43,0.2388888888888889
ALL,direction,LOSER,-2.0,34,0.18888888888888888
ALL,direction,LOSER,0.0,30,0.16666666666666666
ALL,direction,LOSER,2.0,20,0.1111111111111111
ALL,direction,NEUTRAL,-1.0,51,0.2833333333333333
ALL,direction,NEUTRAL,-2.0,46,0.25555555555555554
ALL,direction,NEUTRAL,1.0,36,0.2
ALL,direction,NEUTRAL,0.0,33,0.18333333333333332
ALL,direction,NEUTRAL,2.0,14,0.07777777777777778
ALL,direction,WINNER,1.0,46,0.25555555555555554
ALL,direction,WINNER,-1.0,43,0.2388888888888889
ALL,direction,WINNER,-2.0,37,0.20555555555555555
ALL,direction,WINNER,0.0,36,0.2
ALL,direction,WINNER,2.0,18,0.1
ALL,turn,LOSER,1.0,58,0.32222222222222224
ALL,turn,LOSER,-1.0,55,0.3055555555555556
ALL,turn,LOSER,0.0,27,0.15
ALL,turn,LOSER,-2.0,24,0.13333333333333333
ALL,turn,LOSER,2.0,16,0.08888888888888889
ALL,turn,NEUTRAL,-1.0,62,0.34444444444444444
ALL,turn,NEUTRAL,1.0,49,0.2722222222222222
ALL,turn,NEUTRAL,-2.0,38,0.2111111111111111
ALL,turn,NEUTRAL,0.0,20,0.1111111111111111
ALL,turn,NEUTRAL,2.0,11,0.06111111111111111
ALL,turn,WINNER,-1.0,52,0.28888888888888886
ALL,turn,WINNER,1.0,44,0.24444444444444444
ALL,turn,WINNER,0.0,32,0.17777777777777778
ALL,turn,WINNER,-2.0,30,0.16666666666666666
ALL,turn,WINNER,2.0,22,0.12222222222222222
ALL,retention,LOSER,-1.0,63,0.35
ALL,retention,LOSER,0.0,43,0.2388888888888889
ALL,retention,LOSER,1.0,33,0.18333333333333332
ALL,retention,LOSER,-2.0,24,0.13333333333333333
ALL,retention,LOSER,2.0,16,0.08888888888888889
ALL,retention,LOSER,,1,0.005555555555555556
ALL,retention,NEUTRAL,-1.0,72,0.4
ALL,retention,NEUTRAL,-2.0,41,0.22777777777777777
ALL,retention,NEUTRAL,1.0,28,0.15555555555555556
ALL,retention,NEUTRAL,0.0,27,0.15
ALL,retention,NEUTRAL,2.0,11,0.06111111111111111
ALL,retention,NEUTRAL,,1,0.005555555555555556
ALL,retention,WINNER,-1.0,59,0.3277777777777778
ALL,retention,WINNER,1.0,44,0.24444444444444444
ALL,retention,WINNER,-2.0,29,0.16111111111111112
ALL,retention,WINNER,0.0,28,0.15555555555555556
ALL,retention,WINNER,2.0,16,0.08888888888888889
ALL,retention,WINNER,,4,0.022222222222222223
ALL,quieting,LOSER,0.0,89,0.49444444444444446
ALL,quieting,LOSER,1.0,46,0.25555555555555554
ALL,quieting,LOSER,-1.0,28,0.15555555555555556
ALL,quieting,LOSER,,9,0.05
ALL,quieting,LOSER,-2.0,8,0.044444444444444446
ALL,quieting,NEUTRAL,0.0,96,0.5333333333333333
ALL,quieting,NEUTRAL,1.0,54,0.3
ALL,quieting,NEUTRAL,-1.0,22,0.12222222222222222
ALL,quieting,NEUTRAL,-2.0,7,0.03888888888888889
ALL,quieting,NEUTRAL,,1,0.005555555555555556
ALL,quieting,WINNER,0.0,93,0.5166666666666667
ALL,quieting,WINNER,1.0,48,0.26666666666666666
ALL,quieting,WINNER,-1.0,24,0.13333333333333333
ALL,quieting,WINNER,,8,0.044444444444444446
ALL,quieting,WINNER,-2.0,7,0.03888888888888889
ALL,spike_distribution,LOSER,1.0,72,0.4
ALL,spike_distribution,LOSER,0.0,50,0.2777777777777778
ALL,spike_distribution,LOSER,-1.0,43,0.2388888888888889
ALL,spike_distribution,LOSER,-2.0,14,0.07777777777777778
ALL,spike_distribution,LOSER,2.0,1,0.005555555555555556
ALL,spike_distribution,NEUTRAL,1.0,74,0.4111111111111111
ALL,spike_distribution,NEUTRAL,0.0,47,0.2611111111111111
ALL,spike_distribution,NEUTRAL,-1.0,41,0.22777777777777777
ALL,spike_distribution,NEUTRAL,-2.0,18,0.1
ALL,spike_distribution,WINNER,1.0,72,0.4
ALL,spike_distribution,WINNER,0.0,55,0.3055555555555556
ALL,spike_distribution,WINNER,-1.0,36,0.2
ALL,spike_distribution,WINNER,-2.0,16,0.08888888888888889
ALL,spike_distribution,WINNER,2.0,1,0.005555555555555556
ALL,volume_alignment,LOSER,1.0,121,0.6722222222222223
ALL,volume_alignment,LOSER,0.0,32,0.17777777777777778
ALL,volume_alignment,LOSER,-1.0,15,0.08333333333333333
ALL,volume_alignment,LOSER,,9,0.05
ALL,volume_alignment,LOSER,2.0,3,0.016666666666666666
ALL,volume_alignment,NEUTRAL,1.0,135,0.75
ALL,volume_alignment,NEUTRAL,0.0,23,0.12777777777777777
ALL,volume_alignment,NEUTRAL,-1.0,15,0.08333333333333333
ALL,volume_alignment,NEUTRAL,2.0,6,0.03333333333333333
ALL,volume_alignment,NEUTRAL,,1,0.005555555555555556
ALL,volume_alignment,WINNER,1.0,128,0.7111111111111111
ALL,volume_alignment,WINNER,0.0,21,0.11666666666666667
ALL,volume_alignment,WINNER,-1.0,15,0.08333333333333333
ALL,volume_alignment,WINNER,2.0,8,0.044444444444444446
ALL,volume_alignment,WINNER,,8,0.044444444444444446
ALL,rejection,LOSER,0.0,169,0.9388888888888889
ALL,rejection,LOSER,-1.0,9,0.05
ALL,rejection,LOSER,1.0,1,0.005555555555555556
ALL,rejection,LOSER,,1,0.005555555555555556
ALL,rejection,NEUTRAL,0.0,169,0.9388888888888889
ALL,rejection,NEUTRAL,-1.0,8,0.044444444444444446
