feature,control,mean_difference,median_abs_difference,p90_abs_difference
log_cap,NEUTRAL,-0.015815962824264822,0.5216818201545816,1.397725884666897
log_cap,LOSER,0.02158492643178344,0.5936028195603367,1.631784494029306
log_adv20,NEUTRAL,-0.133231775796794,0.5745345114983245,1.64925689131765
log_adv20,LOSER,0.08897687562388233,0.5547869864628279,1.5335369070230043
ret20,NEUTRAL,-0.008769924256453532,0.0569666433390123,0.15217955572289008
ret20,LOSER,0.010223276201459557,0.06260544737646806,0.1834944454761245
ret60,NEUTRAL,-0.036284945712144905,0.08725115755784046,0.26113156918140695
ret60,LOSER,-0.0002624163185478368,0.09071530719485443,0.3031874627701409
vol60,NEUTRAL,-0.001428388227606029,0.004804464991646602,0.01394656055156504
vol60,LOSER,0.000987524637702884,0.004532103258209902,0.012851010979362889
