blind_id,triplet_id,symbol,trade_date,label,match_neutral_distance,match_loser_distance
CASE_000617,235,300552.SZ,2021-04-22,LOSER,1.9332985019782982,1.0124046854163495
CASE_000308,25,000788.SZ,2018-09-05,NEUTRAL,0.7411254272874284,0.5819097442967567
CASE_000741,160,000999.SZ,2020-02-28,LOSER,1.838903113835158,1.4496023372489475
CASE_000080,11,002529.SZ,2018-07-11,LOSER,2.3559115053684505,2.0247644465056718
CASE_000419,57,002159.SZ,2018-05-28,WINNER,2.763538515272812,3.0369357027973334
CASE_000422,168,300636.SZ,2020-03-10,WINNER,2.1210289264821274,0.6047527665100454
CASE_000125,82,300473.SZ,2019-01-07,LOSER,0.6919215872472335,0.8743389406110864
CASE_000711,184,600206.SH,2021-01-29,NEUTRAL,0.9085776312035927,1.904859568048619
CASE_000324,19,600525.SH,2018-06-20,LOSER,1.9328533539605237,0.6933176510453944
CASE_000765,223,603131.SH,2021-04-16,LOSER,1.1200989131195092,1.0825543689876536
CASE_000586,209,300672.SZ,2021-01-20,WINNER,3.7478977366947634,2.199496961866747
CASE_000323,160,000538.SZ,2020-02-28,WINNER,1.838903113835158,1.4496023372489475
CASE_000142,78,002843.SZ,2019-11-29,LOSER,1.329159741598582,1.6090572363073434
CASE_000127,34,600351.SH,2018-01-04,NEUTRAL,0.8638114539396632,1.1110321931661669
CASE_000124,107,000897.SZ,2019-01-23,LOSER,2.143647783398471,1.8363381202078894
CASE_000165,117,002713.SZ,2019-07-02,LOSER,1.779296817109204,1.2857629773046964
CASE_000248,2,600316.SH,2018-10-19,WINNER,0.9964391540311247,1.9091544852203677
CASE_000466,75,000908.SZ,2019-05-09,LOSER,0.7552329244586419,1.164206416722501
CASE_000369,46,300075.SZ,2018-05-23,NEUTRAL,1.4944630859271855,1.9998891330398108
CASE_000578,153,000610.SZ,2020-04-23,LOSER,2.451190439777105,1.9606753744675551
CASE_000047,58,002686.SZ,2018-07-17,LOSER,1.0240217377809573,1.901520476547111
CASE_000746,140,603901.SH,2020-09-15,NEUTRAL,1.26760210833207,0.9549195413581736
CASE_000183,230,600745.SH,2021-03-08,LOSER,1.1165253525163703,1.5000768697893194
CASE_000336,1,002746.SZ,2018-10-11,NEUTRAL,3.4733774360058867,1.9684065661925563
CASE_000036,227,600405.SH,2021-09-13,NEUTRAL,1.390353939125255,0.7114772476462229
CASE_000326,141,603283.SH,2020-10-19,LOSER,2.2609152786420834,2.0598845591151065
