blind_id,sheet,direction,turn,retention,quieting,spike_distribution,volume_alignment,rejection,context
CASE_000081,1,1,0,0.0,0.0,1,1.0,0.0,1
CASE_000478,1,0,-1,-1.0,1.0,-2,1.0,-1.0,1
CASE_000670,1,1,0,1.0,1.0,1,0.0,0.0,1
CASE_000180,1,-1,0,-1.0,1.0,0,0.0,0.0,-1
CASE_000429,1,1,-2,-1.0,-1.0,-2,1.0,-1.0,1
CASE_000579,1,2,-1,1.0,1.0,1,0.0,0.0,2
CASE_000723,1,1,2,1.0,-1.0,0,1.0,1.0,0
CASE_000166,1,-1,-2,-2.0,1.0,1,0.0,0.0,-1
CASE_000731,1,-1,-2,-2.0,1.0,-2,1.0,-1.0,-2
CASE_000574,1,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000134,1,1,-2,-1.0,0.0,-1,1.0,-1.0,0
CASE_000793,1,1,1,1.0,0.0,0,1.0,0.0,2
CASE_000109,1,-2,-2,-2.0,-2.0,-1,1.0,0.0,-2
CASE_000747,1,1,-1,0.0,1.0,1,1.0,0.0,-1
CASE_000792,1,0,1,0.0,-2.0,0,1.0,1.0,0
CASE_000599,1,1,-1,-1.0,1.0,-2,1.0,-1.0,0
CASE_000418,2,0,-1,0.0,0.0,-1,0.0,1.0,-1
CASE_000681,2,-1,0,-1.0,1.0,-2,1.0,0.0,-1
CASE_000760,2,-1,-1,-2.0,1.0,1,1.0,0.0,-1
CASE_000302,2,1,2,2.0,-1.0,1,1.0,0.0,2
CASE_000754,2,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000061,2,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000207,2,1,1,0.0,0.0,0,1.0,0.0,1
CASE_000665,2,2,2,2.0,-1.0,1,2.0,0.0,2
CASE_000059,2,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000521,2,-1,1,-1.0,0.0,0,1.0,0.0,-2
CASE_000664,2,-2,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000171,2,2,1,2.0,0.0,2,2.0,0.0,2
CASE_000220,2,-1,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000068,2,-1,2,-1.0,0.0,-1,1.0,0.0,-1
CASE_000150,2,1,2,1.0,0.0,0,1.0,0.0,-1
CASE_000640,2,0,1,0.0,0.0,-1,0.0,0.0,0
CASE_000239,3,1,1,1.0,0.0,1,1.0,0.0,1
CASE_000085,3,1,0,1.0,0.0,1,0.0,0.0,1
CASE_000763,3,1,1,1.0,0.0,0,1.0,0.0,2
CASE_000224,3,1,2,1.0,0.0,0,1.0,0.0,-1
CASE_000703,3,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000692,3,-2,-2,-2.0,1.0,-1,0.0,0.0,-2
CASE_000376,3,-2,-2,-2.0,0.0,1,1.0,0.0,-2
CASE_000184,3,-1,-1,-1.0,1.0,0,0.0,0.0,-1
CASE_000710,3,-1,-1,-2.0,1.0,1,1.0,0.0,-2
CASE_000417,3,-1,1,-1.0,0.0,1,1.0,0.0,-1
CASE_000099,3,1,0,1.0,0.0,0,0.0,0.0,1
CASE_000108,3,2,1,1.0,0.0,1,1.0,0.0,0
CASE_000032,3,-2,-2,,,-2,,,-2
CASE_000543,3,0,0,0.0,-1.0,0,0.0,0.0,0
CASE_000734,3,-1,-1,-1.0,-1.0,0,0.0,0.0,-1
CASE_000363,3,-1,-1,-1.0,1.0,1,0.0,0.0,-1
CASE_000431,4,0,2,1.0,-1.0,0,1.0,0.0,0
CASE_000648,4,-2,-2,-2.0,1.0,0,0.0,0.0,-1
CASE_000058,4,0,2,0.0,-2.0,-1,1.0,0.0,0
CASE_000129,4,-2,-1,-1.0,1.0,1,1.0,0.0,-1
CASE_000189,4,1,0,1.0,0.0,0,1.0,0.0,1
CASE_000278,4,-1,-1,-2.0,0.0,0,1.0,0.0,-1
CASE_000282,4,-1,2,0.0,-2.0,-1,1.0,0.0,0
CASE_000449,4,-1,-1,-2.0,1.0,-2,1.0,0.0,-1
CASE_000141,4,0,-2,-2.0,0.0,0,0.0,0.0,0
CASE_000350,4,-2,1,-1.0,1.0,1,2.0,0.0,-2
CASE_000029,4,-1,-2,-2.0,0.0,1,1.0,0.0,-2
CASE_000387,4,-2,-1,-2.0,0.0,-1,1.0,0.0,-2
CASE_000495,4,2,1,2.0,0.0,2,2.0,0.0,2
CASE_000072,4,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000385,4,1,-2,-1.0,0.0,0,1.0,0.0,-1
CASE_000779,4,-2,0,-1.0,1.0,1,0.0,0.0,-1
CASE_000305,5,-1,1,-1.0,0.0,1,1.0,0.0,-2
CASE_000614,5,1,0,1.0,-1.0,1,0.0,0.0,1
CASE_000708,5,-1,1,0.0,,-1,,0.0,0
CASE_000759,5,1,1,2.0,0.0,0,1.0,0.0,2
CASE_000232,5,1,-1,1.0,1.0,1,1.0,0.0,1
CASE_000551,5,1,-2,-1.0,1.0,-2,1.0,-1.0,0
CASE_000585,5,-2,-1,-2.0,1.0,1,2.0,0.0,-2
CASE_000191,5,0,-1,-1.0,0.0,0,1.0,0.0,0
CASE_000565,5,2,1,1.0,0.0,1,1.0,0.0,2
CASE_000476,5,-2,-1,-1.0,0.0,0,1.0,0.0,-1
CASE_000368,5,-2,-1,-1.0,1.0,1,1.0,0.0,-2
CASE_000367,5,-1,2,0.0,0.0,0,1.0,0.0,-1
CASE_000037,5,2,1,2.0,0.0,1,1.0,0.0,2
CASE_000077,5,0,0,0.0,0.0,0,0.0,0.0,-1
