dimension,n_pairs,paired_difference,bootstrap_lo,bootstrap_hi,winner_gt_loser,winner_eq_loser,modal_share,note
direction,180,0.016666666666666666,-0.15555555555555556,0.2,0.31666666666666665,0.37222222222222223,0.2722222222222222,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
turn,180,-0.06111111111111111,-0.25013888888888886,0.13333333333333333,0.3333333333333333,0.3111111111111111,0.31296296296296294,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
retention,175,0.005714285714285714,-0.19428571428571428,0.20014285714285637,0.33714285714285713,0.33714285714285713,0.36329588014981273,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
quieting,164,0.006097560975609756,-0.15853658536585366,0.15853658536585366,0.2682926829268293,0.42073170731707316,0.5325670498084292,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
spike_distribution,180,0.016666666666666666,-0.17222222222222222,0.19444444444444445,0.29444444444444445,0.39444444444444443,0.40370370370370373,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
volume_alignment,164,0.0975609756097561,-0.06707317073170732,0.25,0.27439024390243905,0.5182926829268293,0.735632183908046,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
rejection,175,0.04,0.0,0.08571428571428572,0.05714285714285714,0.9257142857142857,0.9569288389513109,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
context,180,0.05555555555555555,-0.1388888888888889,0.24458333333333257,0.32222222222222224,0.3611111111111111,0.2722222222222222,Descriptive triplet bootstrap; overlapping outcomes and shared dates limit independence
