year,dimension,score,n,ir20,ir40,ir60,persistent_excess_score,mfe20,mfe40,mfe60,mae20,mae40,mae60,future_dd60
ALL,direction,-2.0,117,0.000569276495026363,0.008232949707060868,0.015372341833152633,0.5076550917361737,0.10449864588908916,0.15141856600352643,0.21285654558482622,-0.10030320955778843,-0.13303200533450055,-0.15698225048499664,-0.20638510688308712
ALL,direction,-1.0,147,0.004827418832427077,0.008561091777835783,0.015910808565539645,0.47380070653831347,0.1451173495466777,0.21515013014327522,0.2799587274137187,-0.08900408297701493,-0.12439467789973052,-0.14506570444294337,-0.21602200424607024
ALL,direction,0.0,99,0.021245976871026355,0.05985557617155008,0.06432352549620252,0.5291813387571352,0.14011496321234446,0.2625330537295982,0.3307753853692542,-0.08737461687212059,-0.1139546292515058,-0.12837494460627202,-0.20207624125493814
ALL,direction,1.0,125,0.02196766607967496,0.021263177728572148,0.03195376729338259,0.5148002755473798,0.13218872643908552,0.20038095602877365,0.24588355174974955,-0.1096416632058842,-0.13379899907553072,-0.14959695401446335,-0.2103664267886927
ALL,direction,2.0,52,0.027419015548241374,0.009190139056434525,0.019208425857551774,0.48864596430120777,0.15022361123165962,0.22163409242482013,0.2743271768138206,-0.1015852901714759,-0.14782001772545764,-0.1781311508131679,-0.24272794450740864
ALL,turn,-2.0,92,0.004731010726146234,0.019762154450969092,0.0258843463174939,0.52677606006362,0.11060975474817361,0.16861921229634386,0.21920212107385822,-0.0926976108664361,-0.12114918276518029,-0.14215517412113665,-0.20252138208471407
ALL,turn,-1.0,169,0.016215173845887547,0.02526965350149884,0.041997288328479675,0.49979585568655427,0.12647761932702134,0.19789524085370555,0.2684306212597143,-0.09288956593058192,-0.12105594061854169,-0.13681236764607313,-0.19700837460643295
ALL,turn,0.0,79,0.007678127203145297,0.03252287664193676,0.044813205897253676,0.52349266143434,0.12421393386004881,0.2203710534349237,0.294570509188313,-0.09056133983462572,-0.12368695575826429,-0.14742152565449188,-0.20699127152919777
ALL,turn,1.0,151,0.006314377779551343,0.004918133499409395,0.003906972459812009,0.46305407560736733,0.13956149036335183,0.2164681913569953,0.26363267337631024,-0.1031734950547043,-0.13795580094187646,-0.1590179442723482,-0.2236141022243422
ALL,turn,2.0,49,0.0472586578870044,0.03842014348349533,0.038560066080930454,0.5507539573755105,0.19036104033531806,0.26230882919564263,0.31008969470303255,-0.11217847619792659,-0.14973494186540415,-0.1735829429961325,-0.2608382475457361
ALL,retention,-2.0,94,0.011265833947670922,0.02688135825748648,0.023017358641778864,0.5235114972465348,0.12670854816831775,0.19249257903941017,0.24730096581495564,-0.08887646327816616,-0.11541479705931651,-0.13068699181250468,-0.1971200398424276
ALL,retention,-1.0,194,0.00419522064037517,0.01604140804358588,0.036403397427447,0.49343039018455875,0.1144750005074128,0.18341319825422336,0.2534578218352286,-0.09501741298659844,-0.1280975629818826,-0.15021593938929068,-0.2021063060310861
ALL,retention,0.0,98,-0.0036608843342578637,-0.02443270618615838,-0.011214829677004363,0.43291534359746725,0.14111338876586232,0.20400682003541157,0.26992228382168415,-0.1006367054086466,-0.1349779645479366,-0.15032247585329492,-0.21885393970343858
ALL,retention,1.0,105,0.03492900704851981,0.06162122243976965,0.05375706739813293,0.5516347300501391,0.14784868651764255,0.25800006466424896,0.2958748815014938,-0.10170037104804022,-0.1278770193760906,-0.14470810123844802,-0.2199946051997583
ALL,retention,2.0,43,0.03810745473629089,0.02013173315478056,0.0261542531023898,0.5014613630942718,0.1718839075975019,0.237263791249154,0.2892179199836424,-0.10664446516219385,-0.1502887417536638,-0.18829699660429186,-0.261677220424768
ALL,quieting,-2.0,22,0.008455718279945039,-0.008502989525217934,0.02635413304782683,0.4746884469802757,0.15704575948348995,0.2116544000225976,0.3047052450031891,-0.10850161740762804,-0.13215106769154392,-0.14141907814168778,-0.2214394960411517
ALL,quieting,-1.0,74,0.02160133772976006,0.01514952347364537,0.032472768481499846,0.48219889541141786,0.15025493374157356,0.21648660772662157,0.26703386019232256,-0.1226883610190606,-0.1528004269101176,-0.17246084559264824,-0.23290999760193704
ALL,quieting,0.0,278,0.014166927413102734,0.020598617411763206,0.0249368534913223,0.5080128229458005,0.1376471337759513,0.21607632673066715,0.26667595601042776,-0.09276938412258068,-0.12237887844445078,-0.14118718765989063,-0.2103553296234351
ALL,quieting,1.0,148,0.010316623172859576,0.02772000743648665,0.03131576161230337,0.5068463008641307,0.11465044389782708,0.19093430908031925,0.25969333767286484,-0.08741062235968834,-0.12437730022556398,-0.1450762369514833,-0.20053755911741214
ALL,spike_distribution,-2.0,48,0.03506893192430974,0.082706770978373,0.08370155150160631,0.5370605713379325,0.15674760966002715,0.25069146517439905,0.3021310632324436,-0.0917475871813699,-0.12016123511086345,-0.15128742843672488,-0.2223021402019044
ALL,spike_distribution,-1.0,120,0.010401955585815182,-0.001399404891023882,0.003067697667240977,0.47366178906894546,0.14921876484161914,0.2180061028844469,0.27433179662799423,-0.09980673437318952,-0.13526719089885483,-0.15472028673118868,-0.2306448876592735
ALL,spike_distribution,0.0,152,0.01897615908344833,0.030479591800748114,0.032670293365414514,0.5170248699391519,0.14743460321090066,0.2268380048379907,0.28604001731914996,-0.09297695525989946,-0.12080539475650076,-0.13639179003516197,-0.20245652393590488
