year,dimension,label,n,valid,mean,median,std
ALL,direction,LOSER,180,180,-0.2111111111111111,0.0,1.3031499821024097
ALL,direction,NEUTRAL,180,180,-0.4388888888888889,-1.0,1.2779343007255206
ALL,direction,WINNER,180,180,-0.19444444444444445,0.0,1.299321792244464
ALL,turn,LOSER,180,180,-0.07222222222222222,0.0,1.2328400040074408
ALL,turn,NEUTRAL,180,180,-0.37222222222222223,-1.0,1.2552929527679095
ALL,turn,WINNER,180,180,-0.13333333333333333,0.0,1.2963205341944946
ALL,retention,LOSER,180,179,-0.2569832402234637,0.0,1.1712347535964496
ALL,retention,NEUTRAL,180,179,-0.5810055865921788,-1.0,1.1793528481409
ALL,retention,WINNER,180,176,-0.23295454545454544,-0.5,1.250025973756119
ALL,quieting,LOSER,180,171,0.011695906432748537,0.0,0.7895516530699549
ALL,quieting,NEUTRAL,180,179,0.1005586592178771,0.0,0.7576944039268154
ALL,quieting,WINNER,180,172,0.05813953488372093,0.0,0.7624928516630224
ALL,spike_distribution,LOSER,180,180,0.016666666666666666,0.0,0.9886224262457213
ALL,spike_distribution,NEUTRAL,180,180,-0.016666666666666666,0.0,1.0219654631254556
ALL,spike_distribution,WINNER,180,180,0.03333333333333333,0.0,0.9910211425736243
ALL,volume_alignment,LOSER,180,171,0.6549707602339181,1.0,0.6626296758939346
ALL,volume_alignment,NEUTRAL,180,179,0.7374301675977654,1.0,0.65625434349379
ALL,volume_alignment,WINNER,180,172,0.75,1.0,0.6764631099929149
ALL,rejection,LOSER,180,179,-0.0446927374301676,0.0,0.23274688596088008
ALL,rejection,NEUTRAL,180,179,-0.0335195530726257,0.0,0.23462715679438537
ALL,rejection,WINNER,180,176,-0.005681818181818182,0.0,0.1308066879421293
ALL,context,LOSER,180,180,-0.2833333333333333,0.0,1.3256178068479634
ALL,context,NEUTRAL,180,180,-0.5722222222222222,-1.0,1.3161249858103752
ALL,context,WINNER,180,180,-0.22777777777777777,0.0,1.3936430117487586
2018,direction,LOSER,45,45,-0.7777777777777778,-1.0,1.1459194182538808
2018,direction,NEUTRAL,45,45,-1.3777777777777778,-2.0,0.747386017119573
2018,direction,WINNER,45,45,-1.0,-2.0,1.224744871391589
2018,turn,LOSER,45,45,-0.35555555555555557,-1.0,1.299572579307862
2018,turn,NEUTRAL,45,45,-0.6666666666666666,-1.0,1.148120994574099
2018,turn,WINNER,45,45,-0.6666666666666666,-1.0,1.2247448713915892
2018,retention,LOSER,45,44,-0.7045454545454546,-1.0,0.9542937350572704
2018,retention,NEUTRAL,45,44,-1.2272727272727273,-1.0,0.7735041487129269
2018,retention,WINNER,45,41,-0.7804878048780488,-1.0,1.0127239288658885
2018,quieting,LOSER,45,36,-0.027777777777777776,0.0,0.7740842003337554
2018,quieting,NEUTRAL,45,44,0.18181818181818182,0.0,0.7857074215125327
2018,quieting,WINNER,45,40,0.4,0.0,0.5453768398418632
2018,spike_distribution,LOSER,45,45,-0.2,0.0,1.0357254813546264
2018,spike_distribution,NEUTRAL,45,45,0.044444444444444446,0.0,1.0434983894999017
2018,spike_distribution,WINNER,45,45,0.2,0.0,0.9908673886137246
2018,volume_alignment,LOSER,45,36,0.5555555555555556,1.0,0.7725447539304092
2018,volume_alignment,NEUTRAL,45,44,0.7727272727272727,1.0,0.803007033582575
2018,volume_alignment,WINNER,45,40,0.575,1.0,0.8129559864454139
2018,rejection,LOSER,45,44,-0.06818181818181818,0.0,0.25497170592935275
2018,rejection,NEUTRAL,45,44,-0.045454545454545456,0.0,0.21070705494148542
2018,rejection,WINNER,45,41,0.0,0.0,0.0
2018,context,LOSER,45,45,-0.9333333333333333,-1.0,1.1755076272905176
2018,context,NEUTRAL,45,45,-1.6222222222222222,-2.0,0.6497862896539311
2018,context,WINNER,45,45,-1.1111111111111112,-2.0,1.1912984173547445
2019,direction,LOSER,45,45,0.15555555555555556,0.0,1.2423503303957157
2019,direction,NEUTRAL,45,45,-0.044444444444444446,0.0,1.2052075557866586
2019,direction,WINNER,45,45,0.28888888888888886,0.0,1.03621299631754
2019,turn,LOSER,45,45,0.08888888888888889,0.0,1.1445964398428867
2019,turn,NEUTRAL,45,45,-0.2222222222222222,0.0,1.2411301464407507
2019,turn,WINNER,45,45,0.15555555555555556,0.0,1.2423503303957155
2019,retention,LOSER,45,45,-0.06666666666666667,0.0,1.2321452098603551
2019,retention,NEUTRAL,45,45,-0.3333333333333333,-1.0,1.1281521496355325
2019,retention,WINNER,45,45,0.06666666666666667,0.0,1.194685200072692
2019,quieting,LOSER,45,45,0.17777777777777778,0.0,0.7473860171195731
2019,quieting,NEUTRAL,45,45,0.1111111111111111,0.0,0.7142135605692528
2019,quieting,WINNER,45,43,0.046511627906976744,0.0,0.688458885312939
2019,spike_distribution,LOSER,45,45,0.17777777777777778,0.0,0.9363587329478359
2019,spike_distribution,NEUTRAL,45,45,0.17777777777777778,0.0,0.9603240193925289
2019,spike_distribution,WINNER,45,45,0.1111111111111111,0.0,0.9821641739782938
2019,volume_alignment,LOSER,45,45,0.7555555555555555,1.0,0.48409031630826316
2019,volume_alignment,NEUTRAL,45,45,0.7555555555555555,1.0,0.4840903163082634
2019,volume_alignment,WINNER,45,43,0.7906976744186046,1.0,0.6746476870642409
2019,rejection,LOSER,45,45,-0.022222222222222223,0.0,0.26014758825860307
2019,rejection,NEUTRAL,45,45,-0.022222222222222223,0.0,0.14907119849998599
2019,rejection,WINNER,45,45,0.0,0.0,0.0
2019,context,LOSER,45,45,0.06666666666666667,0.0,1.2684994714586637
2019,context,NEUTRAL,45,45,-0.13333333333333333,0.0,1.2540842366951561
2019,context,WINNER,45,45,0.24444444444444444,0.0,1.208973184820971
2020,direction,LOSER,45,45,0.37777777777777777,1.0,1.133957047625079
2020,direction,NEUTRAL,45,45,0.24444444444444444,0.0,1.069314894422753
2020,direction,WINNER,45,45,0.35555555555555557,0.0,1.0478453120474405
2020,turn,LOSER,45,45,0.17777777777777778,1.0,1.2114771015899424
2020,turn,NEUTRAL,45,45,-0.2222222222222222,-1.0,1.2593087730412211
2020,turn,WINNER,45,45,0.26666666666666666,0.0,1.2862913567871994
2020,retention,LOSER,45,45,0.17777777777777778,0.0,1.0288760171108369
2020,retention,NEUTRAL,45,45,-0.17777777777777778,0.0,1.2300940261343085
2020,retention,WINNER,45,45,0.17777777777777778,0.0,1.1925695879998879
2020,quieting,LOSER,45,45,-0.17777777777777778,0.0,0.860467338371446
2020,quieting,NEUTRAL,45,45,-0.06666666666666667,0.0,0.8893306982833165
2020,quieting,WINNER,45,45,-0.4,0.0,0.8090398349558905
2020,spike_distribution,LOSER,45,45,-0.3333333333333333,0.0,0.9770084209183945
2020,spike_distribution,NEUTRAL,45,45,-0.5111111111111111,0.0,1.0140428138312645
2020,spike_distribution,WINNER,45,45,-0.24444444444444444,0.0,1.0259265336880865
2020,volume_alignment,LOSER,45,45,0.6666666666666666,1.0,0.7071067811865474
2020,volume_alignment,NEUTRAL,45,45,0.7111111111111111,1.0,0.6260344973874777
2020,volume_alignment,WINNER,45,45,0.8222222222222222,1.0,0.5346574472113761
2020,rejection,LOSER,45,45,-0.06666666666666667,0.0,0.2522624895547563
2020,rejection,NEUTRAL,45,45,-0.06666666666666667,0.0,0.33028912953790807
2020,rejection,WINNER,45,45,0.0,0.0,0.21320071635561044
2020,context,LOSER,45,45,0.26666666666666666,0.0,1.3551249523064786
2020,context,NEUTRAL,45,45,0.06666666666666667,0.0,1.213559752433836
2020,context,WINNER,45,45,0.4,0.0,1.2321452098603547
2021,direction,LOSER,45,45,-0.6,-1.0,1.3382485161243747
2021,direction,NEUTRAL,45,45,-0.5777777777777777,-1.0,1.3897169248854717
2021,direction,WINNER,45,45,-0.4222222222222222,-1.0,1.389716924885471
2021,turn,LOSER,45,45,-0.2,-1.0,1.2358287613066494
2021,turn,NEUTRAL,45,45,-0.37777777777777777,-1.0,1.353260186110983
