architecture,status
P0_NATIVE,RECONCILED_NATIVE
P1_SHARED_CASH_NATIVE_ORDER,NOT_RUN_NO_CAUSAL_PRIORITY
P2_SHARED_OPPORTUNITY,STOPPED_NO_CAUSAL_PRIORITY
P3_ROLE_FAMILY_CAP,STOPPED_NO_CAUSAL_PRIORITY
