trade_date,decision_at,fill_at,symbol,quantity,price,notional,account_source_file,account_row_id,event_id,execution_function,order_request_source,desired_position_source,callback_source,signal_source,input_source,provenance_status
2024-01-03 00:00:00,2024-01-03 00:00:00,2024-01-03 09:30:00,159611.SZ,563700.0,0.8827056,497680.66294934397,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5025,SMV6|2024-01-03|159611.SZ|109,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-03-01 00:00:00,2024-03-01 00:00:00,2024-03-01 09:30:00,515650.SH,320400.0,1.1198952,358886.184964416,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5189,SMV6|2024-03-01|515650.SH|110,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 09:30:00,515650.SH,290400.0,1.1218967999999998,325863.990486144,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5190,SMV6|2024-03-04|515650.SH|111,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-03-04 00:00:00,2024-03-04 00:00:00,2024-03-04 09:30:00,510300.SH,206200.0,3.317711872072582,684249.0104589707,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5191,SMV6|2024-03-04|510300.SH|112,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-03-12 00:00:00,2024-03-12 00:00:00,2024-03-12 09:30:00,560050.SH,335400.0,0.7275815999999999,244079.674813728,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5219,SMV6|2024-03-12|560050.SH|113,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 09:30:00,560050.SH,188600.0,0.7495991999999999,141402.68400182397,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5423,SMV6|2024-04-29|560050.SH|114,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-04-29 00:00:00,2024-04-29 00:00:00,2024-04-29 09:30:00,159601.SZ,444200.0,0.7526016,334372.49184614397,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5424,SMV6|2024-04-29|159601.SZ|115,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 09:30:00,560050.SH,116600.0,0.7566048,88237.763703936,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5452,SMV6|2024-04-30|560050.SH|116,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 09:30:00,159601.SZ,162100.0,0.7596071999999999,123156.95358542398,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5454,SMV6|2024-04-30|159601.SZ|117,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
2024-04-30 00:00:00,2024-04-30 00:00:00,2024-04-30 09:30:00,560080.SH,138600.0,1.155924,160243.10861328,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04/fills.parquet,5456,SMV6|2024-04-30|560080.SH|118,registered_smv6_rollforward_builder.py -> smv6._run_callbacks -> IntentPlatform.order_target_percent,post2023 replay IntentPlatform.intents.parquet,smv6 callback context positions/target_weight,src/five_strategy_bundle/strategies/smv6.py:frozen_namespace callbacks,registered ETF daily eligibility + callback state,market_data_qmt_v1 + market_data_hybrid_etf_longest_v1 + qmt_delta,MATCHED_NATIVE_INTENT
