economic_opportunity_id,strategy_label,parent_opportunity_id,symbol,decision_at,signal_at,variant_type,bull_eligible,mcb_confirmed,ogr_eligible,ifcgr_pass,atrdr_route,smv6_opportunity,lineage_evidence
ECO|ATRDR_Bull|V29|BULL|V29B|20180103|300251.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180103|300251.SZ,300251.SZ,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180103|300470.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180103|300470.SZ,300470.SZ,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180103|600066.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180103|600066.SH,600066.SH,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180103|603566.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180103|603566.SH,603566.SH,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180103|603885.SH,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180103|603885.SH,603885.SH,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|MCB|V72|V65|EARLY_TRANSITION|V53-20180103-300470.SZ,MCB,MCB|V72|V65|EARLY_TRANSITION|V53-20180103-300470.SZ,300470.SZ,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,False,True,False,False,MCB,False,frozen opportunity master source row
ECO|MCB|V72|V65|EARLY_TRANSITION|V53-20180103-603566.SH,MCB,MCB|V72|V65|EARLY_TRANSITION|V53-20180103-603566.SH,603566.SH,2018-01-03 15:00:00,2018-01-03 15:00:00,strategy_labelled_native_opportunity,False,True,False,False,MCB,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|002088.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|002088.SZ,002088.SZ,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|002262.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|002262.SZ,002262.SZ,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
ECO|ATRDR_Bull|V29|BULL|V29B|20180104|002304.SZ,ATRDR Bull,ATRDR_Bull|V29|BULL|V29B|20180104|002304.SZ,002304.SZ,2018-01-04 15:00:00,2018-01-04 15:00:00,strategy_labelled_native_opportunity,True,False,False,False,BULL,False,frozen opportunity master source row
