strategy,legal_opportunity_count,independent_decision_dates,mean_shadow_native_return,median_shadow_native_return,p10_shadow_native_return,positive_fraction,mean_holding_days,return_per_occupied_capital_day,quality_status
ATRDR Bull,2089,266,0.02358287583722506,0.0124648993170708,-0.09437751330969532,0.3887027285782671,19.592167005879695,1519374.510893838,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
ATRDR Fast Bear,109,29,0.05335032205998002,0.0956087824351297,-0.07388442724269392,0.8073394495412844,18.368692660550458,285172.79742908815,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
ATRDR Slow Bear,674,144,0.03325506051118028,0.0956087824351295,-0.09564178965103748,0.5712166172106825,19.799823835784313,668185.9216847033,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
IFCGR,292,78,,,,0.0,,0.0,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
MCB,1505,132,0.03355035151811191,0.02195444040067795,-0.08608295972598702,0.4079734219269103,19.138981305449935,996553.8467795776,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
OGR,412,119,0.061924537581910265,0.067063995125662,-0.02310048153369973,0.8786407766990292,13.596148530204962,170223.5638401699,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
SMV6,109,55,0.025831090187623314,0.0002510392565503,-0.03292948457364436,0.3669724770642202,25.872835497835496,161518.7715200001,DESCRIPTIVE_NATIVE_LIFECYCLE_ONLY
