strategy,year,pre_capital_opportunity_count,native_entry_intent_count,native_fill_count,native_exit_count,opportunity_source,native_source,opportunity_first_date,opportunity_last_date,coverage_status
ATRDR Fast Bear,2025,20,20,20,20,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-01-14 15:00:00,2025-01-14 15:00:00,PASS
ATRDR Fast Bear,2026 YTD,13,13,13,13,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-03-30 15:00:00,2026-06-23 15:00:00,PASS
ATRDR Slow Bear,2018,295,295,165,165,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-01-09 15:00:00,2018-11-06 15:00:00,PASS
ATRDR Slow Bear,2019,12,12,12,13,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-06-13 15:00:00,2019-11-01 15:00:00,PASS
ATRDR Slow Bear,2020,23,23,23,23,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2020-04-07 15:00:00,2020-12-21 15:00:00,PASS
ATRDR Slow Bear,2021,53,53,53,53,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2021-01-06 15:00:00,2021-11-11 15:00:00,PASS
ATRDR Slow Bear,2022,69,69,69,69,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2022-02-25 15:00:00,2022-10-20 15:00:00,PASS
ATRDR Slow Bear,2023,35,35,35,37,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2023-05-15 15:00:00,2023-11-03 15:00:00,PASS
ATRDR Slow Bear,2024,146,146,146,148,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2024-02-22 15:00:00,2024-07-19 15:00:00,PASS
ATRDR Slow Bear,2025,11,11,10,10,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2025-01-21 15:00:00,2025-12-31 15:00:00,PASS
ATRDR Slow Bear,2026 YTD,30,30,31,31,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2026-04-13 15:00:00,2026-08-03 15:00:00,PASS
MCB,2018,72,72,70,71,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2018-01-03 15:00:00,2018-11-16 15:00:00,PASS
MCB,2019,272,272,168,168,opportunity_capital_v1/opportunity_master.csv.gz,/Users/linmei/Documents/CY-worktrees/five-strategy-capital-admission-v1/research/scaling_regime_v1/cache/accounts/IFCGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,2019-02-14 15:00:00,2019-12-30 15:00:00,PASS
