gap,mcb_mode,target,mechanic,year,state_family,from_state,to_state,switch_count,mean_forward_5d_incremental_pnl,sum_overlapping_forward_5d_incremental_pnl,mean_forward_20d_incremental_pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,9,22768.456576688524,204916.10919019673,6488.800746780296
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,28407.86520635533,255670.786857198,9362.447564582128
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,TRANSITION,9,13778.074980199752,124002.67482179776,14837.935085592888
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,BEAR,1,151439.43518617284,151439.43518617284,49703.29320711363
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,TRANSITION,1,-57160.72321765032,-57160.72321765032,46430.62700470351
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BEAR,8,6684.584250502987,53476.674004023895,1086.9891892386295
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BULL,2,-24614.78204852948,-49229.56409705896,52215.22952002473
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,8,3979.3868021310773,31835.09441704862,25867.332153038467
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,-2833.899373937812,-25505.09436544031,62915.96975460442
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,BULL,1,38511.50988279097,38511.50988279097,491713.80963817984
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,TRANSITION,12,-31042.259632693447,-372507.1155923214,47148.45814005053
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,TRANSITION,9,-45090.45859194102,-405814.1273274692,12935.604957304899
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BEAR,12,6920.16967508127,83042.03610097524,134680.31759011498
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BULL,9,13263.361273992392,119370.25146593153,-48416.39639597655
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,17,114176.6103677336,1941002.3762514712,512162.2788854085
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,16,143658.57708324696,2298537.2333319513,588079.4107389934
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,BULL,2,503353.0387498834,1006706.0774997668,1177261.526705203
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,TRANSITION,11,287321.97991856985,3160541.779104268,1027806.0737287924
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,BEAR,1,-159232.3227529237,-159232.3227529237,358430.4024445219
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,TRANSITION,9,78849.61500576521,709646.5350518869,371111.5483562907
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BEAR,13,289427.50545005244,3762557.5708506815,885031.7772639586
