gap,mcb_mode,target,mechanic,year,state_family,from_state,to_state,switch_count,mean_forward_5d_incremental_pnl,sum_overlapping_forward_5d_incremental_pnl,mean_forward_20d_incremental_pnl
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BULL,7,-24224.583149626586,-169572.0820473861,236151.03532554914
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,10,103366.78871100432,1033667.8871100432,1037886.3157459653
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,11,139603.42729295063,1535637.7002224568,1079995.4243583716
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,BULL,2,434758.8426233772,869517.6852467544,2265284.5160865723
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,TRANSITION,9,450523.44337807945,4054710.9904027153,1511243.8328942459
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,BEAR,1,0.0,0.0,2408261.934793856
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,TRANSITION,12,201181.72489156443,2414180.698698773,953662.4279858476
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,BEAR,9,437316.5025945585,3935848.5233510267,1762597.8616259804
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,BULL,12,183244.38763381648,2198932.651605798,1057862.0590875894
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,10,-82019.16839232315,-820191.6839232314,483896.22519415495
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,482204.70748603786,4339842.367374341,724517.8011453989
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,BULL,1,-41365.84859374724,-41365.84859374724,2119455.0507988455
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,TRANSITION,7,-140066.1732974038,-980463.2130818265,128114.36437359972
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,BEAR,1,-56643.63758735545,-56643.63758735545,2317218.048609645
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,TRANSITION,8,339621.6076043537,2716972.8608348295,530404.8996817389
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,BEAR,7,-898368.2714437379,-6288577.900106166,77831.55121016502
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,BULL,7,766471.0556316751,5365297.389421726,1284864.8605162727
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,13,-24917.008802567932,-323921.1144333831,1221905.6475636298
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,13,-60448.278992828666,-785827.6269067726,881727.810394909
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,BULL,1,-873061.0781228151,-873061.0781228151,-1937521.04093168
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,TRANSITION,12,48329.76454606856,579957.1745528227,775681.4662013479
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,BEAR,2,19662.55117833476,39325.10235666952,-78787.44015842106
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,TRANSITION,7,-330349.3438881959,-2312445.4072173713,637961.0819553613
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,BEAR,12,79364.1660659967,952369.9927919604,795503.1294878832
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,BULL,8,-133781.70479963647,-1070253.6383970918,44872.43636455381
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,15,36244.20117618886,543663.0176428328,-631773.3095726515
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,15,418519.7929932076,6277796.894898114,-846407.4175062202
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,TRANSITION,9,109648.73330396849,986838.5997357164,-2118484.0668307166
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,TRANSITION,9,557406.4812250568,5016658.331025511,-597323.1353456252
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,BEAR,8,-810044.4632612318,-6480355.706089854,-2016260.6255085215
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,BULL,9,812316.0040030275,7310844.036027247,-593199.9676120082
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,11,230201.3522069488,2532214.874276437,4408929.83606604
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,11,133576.76935270836,1469344.4628797919,4169647.868009213
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,TRANSITION,13,788788.4480480873,10254249.824625134,4246603.722297258
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,BEAR,1,-2417259.1933075925,-2417259.1933075925,7550.478597931564
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,TRANSITION,14,392064.54984451225,5488903.6978231715,1669089.1767411556
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,BEAR,13,894485.0037221768,11628305.048388299,4794615.122228583
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,BULL,15,-332744.3993402772,-4991165.9901041575,889960.1409212811
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,5,-1001624.6213504843,-5008123.106752422,-4426348.215744563
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,6,2239923.7545625647,13439542.527375387,3357663.0587937366
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,TRANSITION,4,3378981.1034832727,13515924.41393309,3713152.898588277
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,BULL,TRANSITION,5,-527753.285297668,-2638766.42648834,940456.5886635963
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,BEAR,3,-687418.5163019429,-2062255.5489058285,-5824450.351677619
IFCGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,BULL,5,2333026.842638414,11665134.21319207,3448906.9713211
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,9,-2094.9970952352087,-18854.97385711688,-9862.592837685512
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,-10960.649889980132,-98645.84900982119,-17257.388750482143
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,TRANSITION,9,-14150.264603402155,-127352.3814306194,-16397.337285783764
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,BEAR,1,26829.987225080848,26829.987225080848,7686.12568423897
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,TRANSITION,1,12772.92721134983,12772.92721134983,13247.553318213671
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BEAR,8,-5710.620135274716,-45684.961082197726,-12056.182652926072
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BULL,2,31878.6710327724,63757.3420655448,32592.444346228614
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,8,-432.2938271440796,-3458.350617152637,-8235.705559206312
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,-6048.579331179977,-54437.213980619796,-21515.25312813868
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,BULL,1,6339.781968355179,6339.781968355179,-178873.85174700525
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,TRANSITION,12,-6575.682835051945,-78908.19402062334,8832.34940033375
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,TRANSITION,9,-7002.938182961506,-63026.443646653555,-12898.612254150832
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BEAR,12,1646.9944685221806,19763.933622266166,10448.5096164896
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BULL,9,-23606.41252712926,-212457.71274416335,-21557.113818339694
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,17,11813.98416240738,200837.73076092545,67896.56491912786
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,16,10953.715256135038,175259.4440981606,67952.38787052134
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,BULL,2,82369.62969982065,164739.2593996413,156408.44009578135
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,TRANSITION,11,29680.38353250836,326484.218857592,134198.0027155563
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,BEAR,1,-17297.523819129914,-17297.523819129914,3914.12429537531
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,TRANSITION,9,8914.661102760894,80231.94992484804,45127.9789120974
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BEAR,13,38791.63547409863,504291.2611632822,135772.94385030522
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BULL,7,-14809.208381394988,-103664.45866976492,-30969.64367184495
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,10,12134.665094440617,121346.65094440617,85359.52611200287
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,11,9552.440163324418,105076.8417965686,71138.63162458291
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,BULL,2,33645.91065078834,67291.82130157668,151991.536957677
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,TRANSITION,9,37891.896693051065,341027.0702374596,115125.46267911067
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,BEAR,1,0.0,0.0,207102.0441782698
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,BULL,TRANSITION,12,2175.5190554444366,26106.22866533324,41730.56419961923
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,BEAR,9,43828.345131008886,394455.10617908,141190.7482067713
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2021,market_regime,TRANSITION,BULL,12,11479.958050499592,137759.4966059951,59360.85610204213
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,10,2897.904661387112,28979.04661387112,40833.15855111163
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,36057.86410115152,324520.7769103637,46767.84734334486
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,BULL,1,2942.052823325619,2942.052823325619,178234.05893403757
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BEAR,TRANSITION,7,-14950.370999106872,-104652.5969937481,-13253.915458277666
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,BEAR,1,28126.943527057767,28126.943527057767,200121.0723054232
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,BULL,TRANSITION,8,25774.39975511923,206195.19804095384,52607.810835446115
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,BEAR,7,-50503.479614118776,-353524.35729883146,143.84663290969496
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2022,market_regime,TRANSITION,BULL,7,65519.83936550428,458638.87555853,106513.93411138534
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,13,-2663.0494663256864,-34619.643062233925,57758.27522845136
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,13,-5522.269246607875,-71789.50020590238,30336.369570383802
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,BULL,1,-40836.966335285455,-40836.966335285455,-91030.0173009364
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BEAR,TRANSITION,12,572.9189109853469,6875.026931824163,32608.954852775903
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,BEAR,2,-10319.64617608441,-20639.29235216882,-17089.502223674208
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,BULL,TRANSITION,7,-17491.102800212935,-122437.71960149053,25692.607165259975
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,BEAR,12,5580.473732275578,66965.68478730693,40453.80845398215
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2023,market_regime,TRANSITION,BULL,8,-5993.031576463487,-47944.252611707896,-13685.36995705613
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,15,-8148.28570432427,-122224.28556486405,-18991.751016960912
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,15,-37245.69587345042,-558685.4381017564,-79650.51324224366
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BEAR,TRANSITION,9,-79502.41274605505,-715521.7147144955,-201946.35906657143
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,BULL,TRANSITION,9,28253.286962633538,254279.58266370185,28254.679411613175
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,BEAR,8,-53783.981558742234,-430271.8524699379,-125530.86409041518
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2024,market_regime,TRANSITION,BULL,9,-32659.082278234055,-293931.7405041065,-38406.77271866364
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,11,8072.361747301437,88795.97922031581,20908.339971627443
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,11,-9063.196269657125,-99695.15896622837,-3683.5613566044394
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BEAR,TRANSITION,13,35677.84684667658,463812.0090067955,88158.12527541466
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,BEAR,1,-85796.20704798307,-85796.20704798307,41194.355037976056
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,BULL,TRANSITION,14,-2259.7100431492686,-31635.94060408976,2509.6403315005414
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,BEAR,13,45373.90140717641,589860.7182932934,100067.1152670354
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2025,market_regime,TRANSITION,BULL,15,-10766.277923639118,-161494.16885458678,-9076.191358947444
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,5,-34147.16175994389,-170735.80879971944,-158512.6166904755
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,6,13194.911993924528,79169.47196354717,-961.1859767269337
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,BEAR,TRANSITION,4,20922.7743294416,83691.0973177664,-39025.32152634859
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,BULL,TRANSITION,5,-26071.332916822284,-130356.66458411142,14250.045522360504
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,BEAR,3,-22994.10819200985,-68982.32457602955,-280945.88517414714
IFCGR,confirmation_tag,G25,FULL_BOOK_NORMALIZATION,2026,market_regime,TRANSITION,BULL,5,-4959.847209474817,-24799.236047374085,10077.597187200934
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,9,6642.00647041512,59778.05823373608,-1989.904181882739
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,1901.4353960185415,17112.918564166874,-6327.158893046897
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BEAR,TRANSITION,9,-5037.930665437132,-45341.37598893419,-3993.348015546071
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,BEAR,1,67423.84275922459,67423.84275922459,21577.53453518171
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,BULL,TRANSITION,1,-9254.40047665406,-9254.40047665406,25571.464133217
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BEAR,8,-955.7230656860629,-7645.784525488503,-4935.834021515795
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2018,market_regime,TRANSITION,BULL,2,13952.238111190964,27904.476222381927,40177.21332261106
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,8,4533.708882230103,36269.671057840824,20672.64890926413
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,9,-6254.383198348598,-56289.448785137385,6358.168270335429
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,BULL,1,16353.956262346357,16353.956262346357,38716.44207951799
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,BEAR,TRANSITION,12,-14551.395379499998,-174616.74455399998,21085.613083911983
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,BULL,TRANSITION,9,-15888.816884879643,-142999.3519639168,12047.180492178126
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BEAR,12,3786.6948474865253,45440.3381698383,50259.16126189342
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2019,market_regime,TRANSITION,BULL,9,-11800.37118986518,-106203.34070878662,-26916.737053035136
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,17,12321.512572266818,209465.71372853592,111714.00028301173
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,16,20461.52703965694,327384.43263451103,141883.5758499375
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,BULL,2,200697.0033032284,401394.0066064568,371391.48650584044
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BEAR,TRANSITION,11,76923.26271215995,846155.8898337595,314441.7679736413
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,BEAR,1,-48367.41756657045,-48367.41756657045,-26792.731961340643
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,BULL,TRANSITION,9,4889.165712516237,44002.49141264614,103647.11146759076
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BEAR,13,87232.07489795532,1134016.973673419,271511.84613691666
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2020,market_regime,TRANSITION,BULL,7,-39830.851198579185,-278815.9583900543,5114.876909558661
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MAJORITY_POSITIVE_20D,MINORITY_POSITIVE_20D,10,29807.603330796584,298076.03330796584,260639.66404253634
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,breadth_bucket,MINORITY_POSITIVE_20D,MAJORITY_POSITIVE_20D,11,34655.64425188489,381212.0867707338,257939.83904747953
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,BULL,2,104088.5685369568,208177.1370739136,512777.74180945894
IFCGR,confirmation_tag,G50,FULL_BOOK_NORMALIZATION,2021,market_regime,BEAR,TRANSITION,9,110427.29077046571,993845.6169341914,366958.4142360501
