trade_date,cash,gross_exposure,nav,fees,max_security_exposure,virtual_nav,ATRDR_exposure,ATRDR_nav,MCB_exposure,MCB_nav,OGR_exposure,OGR_nav,SMV6_exposure,SMV6_nav,shared_exposure,previous_nav,gap,mcb_mode,target,mechanic,IFCGR_exposure,IFCGR_nav
2018-02-05,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-06,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-07,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-08,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-09,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-12,4902998.997523572,27084.529279376875,4930083.52680295,2611.3667413734374,27084.529279376875,4930083.526802946,27084.529279376875,1596116.6558809837,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-13,4879251.10106283,50469.01814291559,4929720.119205745,2658.767732313043,27084.529279376875,4929720.119205742,50469.01814291559,1595753.24828378,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4930083.52680295,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-14,4879251.10106283,50469.01814291559,4929720.119205745,2658.767732313043,27084.529279376875,4929720.119205742,50469.01814291559,1595753.24828378,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4929720.119205745,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-22,4849795.1089942055,79630.53518904457,4929425.64418325,2717.5621276595975,29043.014568779967,4929425.644183247,79630.53518904457,1595458.7732612852,0.0,1311929.1216591196,0.0,1000000.0,0.0,1022037.7492628423,0,4929720.119205745,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-23,4560800.780418381,369404.71284438507,4930205.493262766,3294.397114836891,29279.44698842106,4930205.493262764,268384.0264013398,1595212.3107477545,0.0,1311929.1216591196,101020.6864430453,1001026.3115930472,0.0,1022037.7492628423,0,4929425.64418325,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-26,4491418.349281376,449853.42643733777,4941271.775718714,3565.768194964813,37699.599924593174,4941271.775718711,307990.9843037958,1602041.2818562582,0.0,1311929.1216591196,141862.44213354198,1005263.6229404898,0.0,1022037.7492628423,0,4930205.493262766,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-27,3953423.769487881,995218.5243224574,4948642.293810339,4825.272445401491,37699.599924593174,4948642.293810338,820760.9091597244,1606751.0576279475,0.0,1311929.1216591196,174457.61516273304,1007924.3652604276,0.0,1022037.7492628423,0,4941271.775718714,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
2018-02-28,3687204.0948435706,1259852.8942595008,4947056.989103071,5539.649694103506,37966.0281926115,4947056.989103073,1099154.0480725009,1605492.2724849423,0.0,1311929.1216591196,160698.84618699993,1007597.845696167,0.0,1022037.7492628423,0,4948642.293810339,OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,,
