gap,mcb_mode,target,mechanic,year,capital_days_root,capital_days_account
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2023,10755993338.712458,10755993338.71246
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2024,11142085571.389912,11142085571.389915
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2025,16006839208.01684,16006839208.016838
IFCGR,independent,G100,FULL_BOOK_NORMALIZATION,2026,13752346653.56175,13752346653.56176
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2018,377555103.6101735,377555103.6101735
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2019,409334343.69463277,409334343.6946328
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2020,464486841.0686324,464486841.0686325
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2021,519018781.8108853,519018781.8108852
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2022,686660423.6614587,686660423.6614587
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2023,664499763.005966,664499763.0059662
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2024,687312221.3547658,687312221.3547659
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2025,796108000.7049838,796108000.7049832
IFCGR,independent,G25,FULL_BOOK_NORMALIZATION,2026,564880115.7952048,564880115.7952051
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2018,759571110.1024742,759571110.1024742
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2019,875377789.9560155,875377789.9560156
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2020,1134086619.721701,1134086619.7217002
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2021,1330518323.2373252,1330518323.2373252
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2022,2080823823.413621,2080823823.413621
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2023,2129057509.047776,2129057509.047776
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2024,2253738319.4154305,2253738319.415432
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,2752120264.469316,2752120264.4693165
IFCGR,independent,G50,FULL_BOOK_NORMALIZATION,2026,2105374349.4013512,2105374349.40135
