calendar_year,row_count,mismatch,late,last_source_effective_date
2013,428230,0,0,2013-12-31
2014,453994,0,0,2014-12-31
2015,493872,0,0,2015-12-31
2016,528883,0,0,2016-12-30
2017,614336,0,0,2017-12-29
2018,665089,0,0,2018-12-28
2019,691328,0,0,2019-12-31
2020,722475,0,0,2020-12-31
2021,787824,0,0,2021-12-31
2022,841121,0,0,2022-12-30
2023,884547,0,0,2023-12-29
2024,901450,0,0,2024-12-31
2025,905175,0,0,2025-12-31
2026,609586,59392,0,2026-08-13
