end,strategy,layer,rows,status,scope
2021-12-31,ATRDR,fast_signals,532,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2021-12-31,ATRDR,slow_signals,2809,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2021-12-31,ATRDR,bull_signals,2312,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2021-12-31,MCB,signals,1480,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2021-12-31,OGR,frozen_predecision_signal_identity,370,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2021-12-31,IFCGR,frozen_predecision_signal_identity,362,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2022-12-31,ATRDR,fast_signals,648,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2022-12-31,ATRDR,slow_signals,3193,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2022-12-31,ATRDR,bull_signals,2480,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2022-12-31,MCB,signals,1554,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2022-12-31,OGR,frozen_predecision_signal_identity,410,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2022-12-31,IFCGR,frozen_predecision_signal_identity,402,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2023-12-31,ATRDR,fast_signals,666,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2023-12-31,ATRDR,slow_signals,3410,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2023-12-31,ATRDR,bull_signals,2877,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2023-12-31,MCB,signals,1904,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2023-12-31,OGR,frozen_predecision_signal_identity,420,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2023-12-31,IFCGR,frozen_predecision_signal_identity,412,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2024-12-31,ATRDR,fast_signals,1167,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2024-12-31,ATRDR,slow_signals,4377,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2024-12-31,ATRDR,bull_signals,3814,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2024-12-31,MCB,signals,2673,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2024-12-31,OGR,frozen_predecision_signal_identity,480,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2024-12-31,IFCGR,frozen_predecision_signal_identity,470,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2025-12-31,ATRDR,fast_signals,1319,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2025-12-31,ATRDR,slow_signals,4729,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2025-12-31,ATRDR,bull_signals,4179,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2025-12-31,MCB,signals,2878,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2025-12-31,OGR,frozen_predecision_signal_identity,515,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2025-12-31,IFCGR,frozen_predecision_signal_identity,502,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2026-09-04,ATRDR,fast_signals,1397,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2026-09-04,ATRDR,slow_signals,4937,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2026-09-04,ATRDR,bull_signals,4372,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2026-09-04,MCB,signals,3008,PASS,RAW_DAILY_BOUND_BEFORE_FEATURE_AND_SIGNAL_PRODUCTION
2026-09-04,OGR,frozen_predecision_signal_identity,546,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
2026-09-04,IFCGR,frozen_predecision_signal_identity,528,PASS,FROZEN_INTERMEDIATE_PREFIX_PLUS_ACTUAL_ACCOUNT_INTENT_PREFIX;NOT_RAW_MINUTE_REPRODUCTION
