gap,mcb_mode,target,mechanic,year,scope,peak,trough,market_state_after_peak,breadth_after_peak,volatility_after_peak,state_source,market_transition_count,breadth_transition_count,incremental_scaling_pnl
OGR,confirmation_tag,G100,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-6116919.795521132
OGR,independent,G50,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-957975.3711165636
IFCGR,confirmation_tag,G75,FULL_BOOK_NORMALIZATION,2025,ANNUAL_LOCAL,2025-03-06,2025-04-07,TRANSITION,MAJORITY_POSITIVE_20D,0.2329762882153735,2025-03-06 15:00:00,7,3,-2819114.157495672
IFCGR,independent,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-205514.87133074552
IFCGR,independent,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-205514.87133074552
IFCGR,confirmation_tag,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-203749.48617598228
IFCGR,confirmation_tag,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-203749.48617598228
OGR,confirmation_tag,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-205674.79904979467
OGR,confirmation_tag,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-205674.79904979467
OGR,independent,G25,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-209539.18625480123
OGR,independent,G25,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-10-09,2025-11-18,BULL,MAJORITY_POSITIVE_20D,0.21030772252347635,2025-10-09 15:00:00,0,0,-209539.18625480123
IFCGR,independent,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7864621.446132882
IFCGR,confirmation_tag,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7825928.843774036
IFCGR,confirmation_tag,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7825928.843774036
OGR,independent,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7672116.394377425
OGR,independent,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7672116.394377425
OGR,confirmation_tag,G100,ENTRY_ONLY,2025,FULL_PATH_TROUGH_IN_YEAR,2025-11-11,2025-11-21,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7427005.565110147
OGR,confirmation_tag,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-11-21,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7427005.565110147
IFCGR,independent,G100,ENTRY_ONLY,2025,ANNUAL_LOCAL,2025-11-11,2025-12-31,BULL,MAJORITY_POSITIVE_20D,0.1799968783392563,2025-11-11 15:00:00,0,0,-7864621.446132882
