gap,mcb_mode,target,mechanic,year,period_label,days,opening_nav,closing_nav,net_pnl,annual_return,MaxDD,CVaR5,Sharpe,average_gross,p95_gross,turnover,traded_notional,fees,capital_days,capital_days_basis,max_single_name,max_family_exposure,max_Demand_family,max_gross,source,MaxDD_basis,concentration_basis
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2018,2018,243,4904782.129191859,5262970.692452654,358188.56326079555,0.0730284350713479,0.0238661702465957,-0.0066736941891984,1.5410118975115743,0.126729850398847,0.3784065188632237,4.610744676103259,23331645.887821168,44822.615394183704,221042622.81844944,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.1070385004001935,0.4969419855095663,0.4969419855095663,0.453200789069667,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2019,2019,244,5262970.692452654,5744864.912177166,481894.2197245117,0.0915631585058169,0.0370506039790196,-0.0080086857531555,1.5946753781674343,0.1313377025343128,0.6150432067053285,5.1444944829382795,29198848.19411158,46707.41059249741,265351686.64674497,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0907318864914851,0.6147437712014965,0.6147437712014965,0.7475212569862943,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2020,2020,243,5744864.912177166,6342499.396768907,597634.4845917411,0.1040293364122382,0.0418675055543223,-0.0111277874925731,1.432921299597155,0.1688666302401356,0.5816923890741144,5.8040633172418215,35129892.09608911,56992.246360919526,366938770.51156515,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0957561543622945,0.6181112128417281,0.6181112128417281,0.7596878055153231,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2021,2021,243,6342499.396768907,6883997.879988496,541498.4832195891,0.0853761978275389,0.014637973221858,-0.0046506894862246,2.626206200174617,0.1220420298409337,0.4087648154086737,4.7686384721922686,31284650.425202437,45055.41639247944,283092173.0836595,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0988160750922585,0.4342476784422754,0.4342476784422754,0.5303850946219818,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2022,2022,242,6883997.879988496,7180337.019533736,296339.1395452395,0.0430475349806085,0.0293910967213052,-0.006716573759102,1.1040879212597137,0.140313362712333,0.3964914031143713,4.899511278185521,34359799.40641275,62074.37004875837,345784698.50535536,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0918169296248363,0.4136759757926589,0.4136759757926589,0.4346830645104229,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2023,2023,242,7180337.019533736,7555783.543522249,375446.5239885133,0.0522881478915446,0.0150809872580685,-0.0067419714291912,1.280038865042603,0.1365074582970755,0.5964374430788713,4.775358964298187,35814498.87700562,58322.14660421619,373509840.4582272,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0903177367176507,0.6525849684415724,0.6525849684415724,0.7761471597418587,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2024,2024,242,7555783.543522249,8654110.565589283,1098327.0220670337,0.1453624254507204,0.0611515154465779,-0.0099020807310005,1.394279670619602,0.1650706054772244,0.4884160181663042,6.883022992648751,54429214.20330609,90203.35000081558,505580732.1701012,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.0899249261452185,0.6531663326052427,0.6531663326052427,0.7057524671907509,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2025,2025,243,8654110.565589283,9477642.181868974,823531.6162796915,0.0951607458719374,0.0333577132044945,-0.0074315874605878,1.80542361079956,0.2428891663284249,0.6194276506086525,8.692832825951557,78144274.34543249,103202.47877254651,774206651.9891176,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.1140524281758434,0.5965359357571351,0.5965359357571351,0.766657005670732,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,independent,NATIVE,FULL_BOOK_NORMALIZATION,2026,2026 YTD,164,9477642.181868974,10500720.151720475,1023077.9698515031,0.1079464649771948,0.0200231591524268,-0.0070041455361331,2.669226977226217,0.1698931280419289,0.5764124382682111,4.684820308139036,48006926.46667801,66527.76074158936,420313317.3850779,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.135306670033432,0.5368837806638269,0.5368837806638269,0.705808547580873,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__independent__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
OGR,confirmation_tag,NATIVE,FULL_BOOK_NORMALIZATION,2018,2018,243,4904782.129191859,5271618.106566146,366835.9773742873,0.0747914928149375,0.0235562496059734,-0.0061591275298001,1.6820854518214938,0.1185686820155257,0.3537078324850462,4.339037997709577,21980963.105028663,42121.24982859867,206966589.68506712,Calendar Jan 1 to next Jan 1; final YTD through end date plus one midnight,0.1069989791581417,0.4526679211236764,0.4526679211236764,0.4166882100205462,/Users/linmei/Documents/CY-worktrees/five-strategy-scaling-regime-v1/research/scaling_regime_v1/cache/accounts/OGR__confirmation_tag__NATIVE__FULL_BOOK_NORMALIZATION__2026-09-04,Prior year-end NAV included in annual peak; daily closes,All recorded completed timestamps
